,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB
AAPL,4.668359842385644e-08,4.709598513133175e-08,4.754899984626687e-08,4.688120136107984e-08,5.136486143038968e-08,6.936670100711518e-08,6.441787335106353e-08,6.69629299030001e-08,6.69629299030001e-08,4.765707406551872e-08,6.69629299030001e-08,5.8985657169828395e-08,5.734442634842801e-08,6.251216493939392e-08
AMZN,3.5218709333124535e-08,3.354986607204279e-08,3.428055459285247e-08,3.5202945833610314e-08,3.35407571323e-08,5.699506149274601e-08,5.699506090275234e-08,3.806065380065843e-08,3.790757214259812e-08,3.521870933312467e-08,6.281876107858634e-08,4.078536536874093e-08,3.4199189920619125e-08,4.082090428989338e-08
JPM,1.0767397421798795e-07,1.137933591172929e-07,1.1612042399977943e-07,1.0839738108490995e-07,1.0920019445650139e-07,1.0856315954525501e-07,1.0784637734390831e-07,1.2239985949212564e-07,1.2210610880158856e-07,1.1059670063778394e-07,1.37045841777595e-07,1.3399671376845907e-07,1.2801440855348512e-07,1.2737271156405242e-07
