feature,treeshap,ale_vi,model,ticker,horizon
RVD,0.15716476827621714,0.13902234697347246,RF,AAPL,1
RVW,0.09757278963162817,0.083334128886238,RF,AAPL,1
RVM,0.04327487962745494,0.013954580693655894,RF,AAPL,1
RVD_pos,0.05487854000984283,0.0905181536276121,RF,AAPL,1
RVD_neg,0.11338471297923673,0.16418347266658814,RF,AAPL,1
Rn_D,0.03784324799745582,0.02645866034246006,RF,AAPL,1
Rn_W,0.026180197517685137,0.03695436904493792,RF,AAPL,1
Rn_M,0.04193159857133956,0.036735709108789025,RF,AAPL,1
RQ_x_RV,0.01511874101786546,0.002416837433860829,RF,AAPL,1
RQ_lag,0.0024455586624906036,0.005873140132858585,RF,AAPL,1
IV,0.1435955062876491,0.0863566150229177,RF,AAPL,1
M1W,0.0309773097948094,0.03999847675294346,RF,AAPL,1
VIX,0.12473355040338037,0.08187499817817988,RF,AAPL,1
EPU,0.018544306237852505,0.044466052285515256,RF,AAPL,1
HSI,0.018718368788093805,0.033088660586836086,RF,AAPL,1
ADS,0.02114447508020844,0.01432610125713192,RF,AAPL,1
US3M,0.016465679505082948,0.029124808297744026,RF,AAPL,1
EA,0.015577611262812489,0.0,RF,AAPL,1
DVOL,0.020448158348894525,0.07131288870825869,RF,AAPL,1
RVD,0.135983994394996,0.14691861908715378,GB,AAPL,1
RVW,0.13977102994707574,0.05608278184855683,GB,AAPL,1
RVM,0.01170171322098233,0.01771236697376761,GB,AAPL,1
RVD_pos,0.04391901365248238,0.05561700235406041,GB,AAPL,1
RVD_neg,0.024599655165022317,0.027427306781880344,GB,AAPL,1
Rn_D,0.06329567260478673,0.022782330140119104,GB,AAPL,1
Rn_W,0.03063383764496895,0.048501690990308786,GB,AAPL,1
Rn_M,0.059381374613724835,0.046016831422204876,GB,AAPL,1
RQ_x_RV,0.0008154239247307682,0.0,GB,AAPL,1
RQ_lag,0.013178238979914199,0.0,GB,AAPL,1
IV,0.027225521562811866,0.05103041090636753,GB,AAPL,1
M1W,0.04659730730902335,0.05772579841389258,GB,AAPL,1
VIX,0.2464517333124807,0.05288000272161324,GB,AAPL,1
EPU,0.029476429170374286,0.21419123154799063,GB,AAPL,1
HSI,0.014021921977435925,0.03849691468768551,GB,AAPL,1
ADS,0.02327384662177816,0.02146232772188936,GB,AAPL,1
US3M,0.013096551477604631,0.021295184578825753,GB,AAPL,1
EA,0.029330974765931352,0.0,GB,AAPL,1
DVOL,0.04724575965387546,0.12185919982368368,GB,AAPL,1
