,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB
AAPL,1.1222518825220503e-08,1.0834031527320525e-08,1.1463445932030375e-08,1.1179953906315066e-08,1.1230726045828676e-08,1.171901823929438e-08,1.127954768299773e-08,1.04735696894765e-08,1.0663520885918871e-08,1.020678766103906e-08,1.953886981250103e-08,1.3379476838362076e-08,1.1955281343757274e-08,1.1502678088481057e-08
AMZN,2.4250605089002043e-08,2.383176980092039e-08,2.6201178596188244e-08,2.500659377191915e-08,2.4014481629865704e-08,2.4666249250164634e-08,2.3726588166435147e-08,2.226901923276943e-08,2.377765626288827e-08,2.08088691000532e-08,3.368172485094913e-08,2.4044787388855316e-08,2.173554013592551e-08,2.3258501584838256e-08
JPM,8.355771752015986e-09,7.743610230045598e-09,8.377574792711977e-09,1.016648051461325e-08,9.396105277088686e-09,9.100988171758104e-09,8.940913361723882e-09,7.997158251024009e-09,8.052104564703841e-09,8.150431195889895e-09,1.639926436193308e-08,7.349861708241374e-09,7.336130712233888e-09,7.690777960271119e-09
