ticker,AAPL,AAPL,AMZN,AMZN,JPM,JPM
regime,high_vol,low_vol,high_vol,low_vol,high_vol,low_vol
model,,,,,,
A-LA,0.7115055078263877,4.146725730470695,0.7785818504331162,3.560902717719892,0.2894990676613571,4.68575366128507
BG,1.3877154978753945,1.5535682624468619,1.4190500014674636,1.4021453166808262,0.8590914778023908,1.6656635367275527
EN,0.9269679344661179,0.9524378949222901,1.1560975078948987,1.116095975441313,0.5521271657240691,1.786444312468891
GB,1.0044616489678444,0.9281517881364464,1.2351905639813188,0.8808197708893103,0.5412789443895525,0.6803016178513694
HAR,1.0,1.0,1.0,1.0,1.0,1.0
HAR-X,1.1361684748702185,1.113152832301503,1.13664208613616,1.1226392633748405,1.327250162215887,1.13509607316986
HARQ,1.0482618659557632,0.954064518708045,1.0344321347359218,1.0695946764795292,1.768702066263249,1.2083279003428007
LA,0.925190573592661,0.9566024472833341,1.0330484951159593,0.8712637152197557,0.5826507610334275,1.5697008675302149
LevHAR,0.9976557123694144,0.9433142041903099,1.005770568908219,0.8836786622294531,1.0744937619064772,1.0852445860896873
LogHAR,0.8452065719151185,0.8393477028826508,1.0098835985323489,1.0292564778501556,0.5862939448773152,0.8184476462373891
NN1_ensemble,0.8541821542833097,0.9987551405682564,1.160485156367336,0.7640691966202255,0.6905874725033145,0.8412679756390363
NN1_top1,0.8842009717431835,0.9711210642999225,1.2791425765211182,1.250297301648403,0.549722128113372,0.9927128500250089
NN2_ensemble,0.8616962550110265,0.9599030841023449,1.123993095596464,0.7760670281871935,0.6035407500877493,0.758927847287088
NN2_top1,0.8699000791396162,1.6663844082145352,1.4910853926311594,1.111715396158649,0.68289571596039,0.7138383213788418
NN3_ensemble,0.9141062239810653,0.8356877366571408,1.2845440083491473,0.7526381315665691,0.5990922998384121,0.821593230743733
NN3_top1,0.9015508849366972,1.3523455778221136,1.5574803448240173,0.8740650570546211,0.7485120896066014,1.106764165907765
NN4_ensemble,0.8873837526364992,0.8694865932817692,1.3400316755426693,0.7530408657829388,0.4706883846606461,1.1638528661694036
NN4_top1,1.1151524906795482,1.9483642756370878,1.7104608996062065,1.0832820712831615,0.7496192189391625,0.7418764121463041
P-LA,1.0113302043421897,0.8198926920416387,1.1947785630158256,1.156294008875418,0.9714233192050561,0.9619648800019985
RF,1.1163395459722607,1.262013275261515,1.2126488933473574,1.157066445580659,0.7010342447265213,1.0504795966027585
RR,1.0772299379036205,1.050872294725845,1.1805247859908574,1.1636452449153554,1.2472517346743561,1.0927395036630372
SHAR,1.0072186565184775,1.005579586630401,1.006271765408162,0.9784438564395366,0.8826503084483046,1.1313328899247075
