stock,alpha,model,n,expected_hits,observed_hits,hit_rate,quantile_loss,kupiec_p,christoffersen_p
AAPL,0.05,HAR,1240,62.0,96,0.07741935483870968,0.0016165370454171016,3.8662303352698935e-05,3.0120260658739184e-05
AAPL,0.05,best-NN (NN2_ensemble),1240,62.0,99,0.07983870967741935,0.00184640992522334,8.439508018764919e-06,4.6233776551773964e-05
AAPL,0.01,HAR,1240,12.4,30,0.024193548387096774,0.000446554384044811,2.1364716900729164e-05,5.6781912222803044e-05
AAPL,0.01,best-NN (NN2_ensemble),1240,12.4,23,0.018548387096774192,0.0007456097997334073,0.006855327090122598,0.01929165326106419
AMZN,0.05,HAR,1240,62.0,72,0.05806451612903226,0.0017496259098074808,0.20341270878407613,0.4433162124964537
AMZN,0.05,best-NN (NN3_ensemble),1240,62.0,91,0.07338709677419354,0.0020703591099320347,0.00039455055661441474,0.0001099509227413531
AMZN,0.01,HAR,1240,12.4,25,0.020161290322580645,0.0004778622545597416,0.001575005189808576,0.0017504430776595914
AMZN,0.01,best-NN (NN3_ensemble),1240,12.4,23,0.018548387096774192,0.001120198938231765,0.006855327090122598,0.0007179251043540891
JPM,0.05,HAR,1240,62.0,82,0.06612903225806452,0.001426204326316119,0.01282265742902855,0.04431547326291574
JPM,0.05,best-NN (NN2_ensemble),1240,62.0,78,0.06290322580645161,0.001596217055004873,0.044647075288368754,0.05141084463263246
JPM,0.01,HAR,1240,12.4,26,0.020967741935483872,0.00045159190654273085,0.0007141590647632423,0.0018671275932036213
JPM,0.01,best-NN (NN2_ensemble),1240,12.4,22,0.017741935483870968,0.0006131305698411892,0.013499131729516334,0.0010188462171939472
