,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN2_ensemble,NN3_ensemble,NN4_ensemble
AAPL,7.26935570472425e-08,7.594169032847316e-08,7.305030071823227e-08,7.241346972997696e-08,9.584897928283072e-08,7.156569823460345e-08,7.236222190798534e-08,7.492376549235718e-08,7.38666613854414e-08,7.120309100642941e-08,1.4690438006981683e-07,9.48377904995986e-08,9.628919353874094e-08,1.0942776173733996e-07,1.239246357004581e-07,1.3491020143719335e-07,1.3645826582944073e-07,1.2440409781660828e-07
AMZN,5.377556018400253e-08,5.413488306752567e-08,5.362548086911387e-08,5.4286589339219556e-08,6.156296169919643e-08,5.424123111505862e-08,5.340720122047162e-08,5.325237208250187e-08,5.287567942552723e-08,5.400837190447783e-08,1.2041961400882091e-07,7.736860625397443e-08,7.314843234146765e-08,9.845180243626899e-08,7.160087537047992e-08,8.946213149453891e-08,8.988084401694242e-08,6.578510574776827e-08
JPM,1.0023818910037315e-07,1.2233733032783492e-07,1.0768747671032733e-07,1.1311726553727358e-07,1.004363439902674e-07,1.2350836085140677e-07,1.2008904174538635e-07,1.2522050975191247e-07,1.2633753465361579e-07,1.0901875406051602e-07,2.4951596772721496e-07,1.583938979560699e-07,1.7077162910844377e-07,1.4988889996113205e-07,2.393945122827065e-07,2.179641669543699e-07,2.124181751834419e-07,2.2620709015899334e-07
