,NN4_ensemble,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN2_ensemble,NN3_ensemble
AAPL,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842
AMZN,0.025,0.0756,0.0756,0.0756,0.0756,0.0756,0.025,0.0285,0.0756,0.0756,0.0756,0.025,0.0285,0.0756,0.0285,0.014,0.0185,0.0185
JPM,0.0581,0.0581,0.0581,0.0581,0.0581,0.0581,0.0581,0.0581,0.0581,0.0581,0.0581,0.0496,0.0581,0.0581,0.0581,0.0172,0.0191,0.0338
