,ticker,model,loss,se,ci_low,ci_high
0,AAPL,HAR,0.11363169427972662,0.011456224233656345,0.09235658103120666,0.13707663305049675
1,AAPL,LogHAR,0.07902585980547093,0.010129802616646588,0.06043684874658325,0.09979493597687031
2,AAPL,LevHAR,0.09462732430113222,0.008859087350234706,0.07832030094289387,0.11285680703689842
3,AAPL,SHAR,0.11381851003191804,0.011500388790392092,0.09251831889518532,0.137374992090081
4,AAPL,HARQ,0.1088018473019591,0.010877985850007384,0.08861711792467622,0.13098094824332646
5,AAPL,HAR-X,0.13326609456030947,0.022969643123727748,0.09635619479932962,0.18464358289760135
6,AAPL,RR,0.12096708486087997,0.01616876956496386,0.09248187542710135,0.15630715425183042
7,AAPL,LA,0.12169429236832682,0.011816813341269262,0.09993419859513597,0.14591792840083187
8,AAPL,EN,0.12295126271916527,0.011912572795630775,0.10104179613253715,0.14735644446122514
9,AAPL,P-LA,0.10429707777605518,0.011139105486490608,0.08381313216130877,0.12707867229560138
10,AAPL,A-LA,0.1751713567341951,0.016814914454453826,0.14373379206578435,0.20892228705352092
11,AAPL,BG,0.17603196335275176,0.03325129561625835,0.11945810380144521,0.24870547955361888
12,AAPL,RF,0.15652325263588152,0.024249059488342946,0.11328454384939837,0.20736803927396388
13,AAPL,GB,0.11669570842132872,0.022522802827125668,0.08017727367340824,0.1670717397215476
14,AAPL,NN1_ensemble,0.11894555812075139,0.013355669093571533,0.09394615942935092,0.14615564824365637
15,AAPL,NN1_top1,0.12808344648266892,0.014178252111034498,0.10178279877531352,0.15771118743118082
16,AAPL,NN2_ensemble,0.11152114876082712,0.013019305038287306,0.08786012191364123,0.1383294944368113
17,AAPL,NN2_top1,0.10733531661757262,0.012486046924543342,0.0842267530503192,0.132841916669057
18,AAPL,NN3_ensemble,0.10676601348424715,0.01297379316055905,0.08292724208088352,0.1336453600482535
19,AAPL,NN3_top1,0.13458213372615196,0.01638585000860824,0.10480378006218238,0.1689739153624087
20,AAPL,NN4_ensemble,0.0936991899208738,0.011094702670827883,0.0730419421882041,0.11637802931859936
21,AAPL,NN4_top1,0.13059285435107745,0.019863397602655014,0.09574913069277757,0.174044676850137
22,AMZN,HAR,0.05010866459916309,0.006631412031342571,0.037570176567175845,0.06353004028117683
23,AMZN,LogHAR,0.05351339889308618,0.007999890835474458,0.03912319243475821,0.07049036768436633
24,AMZN,LevHAR,0.045806864920366695,0.007306064225046017,0.03251184638108846,0.060821925443370395
25,AMZN,SHAR,0.0499285992121349,0.006583786861436967,0.03739217086085862,0.06327139622997141
26,AMZN,HARQ,0.05316111339180172,0.006812275341711584,0.04055585991814803,0.06726173897384316
27,AMZN,HAR-X,0.08620131603008409,0.022957339636196932,0.05266973825075243,0.13993463689462973
28,AMZN,RR,0.09615394357208891,0.02725293726108754,0.054449685645324944,0.15951120354803694
29,AMZN,LA,0.06554185252591765,0.02228145839639883,0.0339534450776266,0.11816750404290369
30,AMZN,EN,0.09138531551995714,0.026453964687754378,0.051040062368409043,0.15289956208721553
31,AMZN,P-LA,0.09531149535069507,0.026906016242344278,0.05416001193478505,0.15796893764627182
32,AMZN,A-LA,0.0761644693862101,0.009364535068854504,0.05797586374301837,0.09451953992468501
33,AMZN,BG,0.12089598101057653,0.02052243174113741,0.08630586052388702,0.16723190562137732
34,AMZN,RF,0.08807406800419973,0.016694218188931083,0.05971214473097698,0.1255522803953748
35,AMZN,GB,0.08591304641909567,0.015677773827487442,0.059468846618022514,0.12044268615379902
36,AMZN,NN1_ensemble,0.08544825927099471,0.02578137752043848,0.04735972024426696,0.14598668230455258
37,AMZN,NN1_top1,0.08505058586758764,0.0247781284586404,0.048233972899612676,0.1434532887081421
38,AMZN,NN2_ensemble,0.05712491961981362,0.01390842293026799,0.03534840944137798,0.08893234404922445
39,AMZN,NN2_top1,0.07833483653178222,0.018544991570372704,0.04863406103850999,0.12048767427571609
40,AMZN,NN3_ensemble,0.05393940260828638,0.012051321857384405,0.034339191844096416,0.08089791093655137
41,AMZN,NN3_top1,0.08163672012916896,0.02210857816516905,0.049362816278109296,0.13312005835390803
42,AMZN,NN4_ensemble,0.056154463125903324,0.010011137688239715,0.039471142326271386,0.07826664563800884
43,AMZN,NN4_top1,0.06456117007388781,0.013877152547276271,0.042496564389739123,0.09586337937009966
44,JPM,HAR,0.12487378048891368,0.012695393702919259,0.10019247254269699,0.1498251752671376
45,JPM,LogHAR,0.07871259546694627,0.009576716471188662,0.059090978849978805,0.09659837410814202
46,JPM,LevHAR,0.10404263745148719,0.012253312618967139,0.07837262414888291,0.12604723784347013
47,JPM,SHAR,0.12543177953653856,0.012953711053315747,0.10034553323063682,0.15115584169840907
