,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB
AAPL,1.1290481190239598e-08,1.0164936201665111e-08,1.1150696976681124e-08,1.1314118595695805e-08,1.2268537312361384e-08,1.4249382074589667e-08,1.4249381757894307e-08,1.0520708470931667e-08,1.300631008060506e-08,1.0336312736826328e-08,1.7569674018476574e-08,1.5429938778584724e-08,1.3746788260989958e-08,1.3230943894393302e-08
AMZN,2.078875709662813e-08,1.8575838037160886e-08,1.9159404481170128e-08,2.085972499156992e-08,2.0542354139003e-08,2.2428613308746835e-08,2.242861304522677e-08,2.247950328602241e-08,2.2001026393175156e-08,2.073097769638792e-08,5.000903727823706e-08,2.969752425323859e-08,2.318527607514583e-08,2.141896814136085e-08
JPM,7.584286062575777e-09,5.840305926379679e-09,8.019888310990839e-09,7.891257638513553e-09,1.6263163511429435e-08,2.1782742291512776e-08,1.709274433517677e-08,1.4200641944448023e-08,2.0772139601894707e-08,1.1881277377014697e-08,1.0959538829626978e-08,8.763064505124423e-09,7.381105846724816e-09,7.028498710290352e-09
