feature_set,horizon,loss,model,regime,pooled_ratio_vs_HAR
M_HAR,5,mse,GB,high_vol,0.9966046624873567
M_HAR,5,mse,GB,low_vol,1.0120489051623207
M_HAR,5,mse,HAR,high_vol,1.0
M_HAR,5,mse,HAR,low_vol,1.0
M_HAR,5,mse,HARQ,high_vol,1.2991484730682898
M_HAR,5,mse,HARQ,low_vol,1.0737098525381648
M_HAR,5,mse,LA,high_vol,0.798906721548966
M_HAR,5,mse,LA,low_vol,1.4403764461123243
M_HAR,5,mse,LevHAR,high_vol,1.0236172775882195
M_HAR,5,mse,LevHAR,low_vol,0.9637992678453337
M_HAR,5,mse,LogHAR,high_vol,0.8088822494403137
M_HAR,5,mse,LogHAR,low_vol,0.8944787546411037
M_HAR,5,mse,NN1_ensemble,high_vol,0.9193966134350955
M_HAR,5,mse,NN1_ensemble,low_vol,0.9906031507938163
M_HAR,5,mse,NN1_top1,high_vol,0.9453303567737411
M_HAR,5,mse,NN1_top1,low_vol,1.2061899895416508
M_HAR,5,mse,NN2_ensemble,high_vol,0.9340368655849965
M_HAR,5,mse,NN2_ensemble,low_vol,1.0716735773956565
M_HAR,5,mse,NN2_top1,high_vol,0.9939929195563364
M_HAR,5,mse,NN2_top1,low_vol,1.4400955585421116
M_HAR,5,mse,NN3_ensemble,high_vol,0.967794424379793
M_HAR,5,mse,NN3_ensemble,low_vol,0.9379968500547822
M_HAR,5,mse,NN3_top1,high_vol,1.0071859225451834
M_HAR,5,mse,NN3_top1,low_vol,0.9420532135775005
M_HAR,5,mse,NN4_ensemble,high_vol,0.9627137448211384
M_HAR,5,mse,NN4_ensemble,low_vol,1.0580737206474369
M_HAR,5,mse,NN4_top1,high_vol,1.0119259102241056
M_HAR,5,mse,NN4_top1,low_vol,1.5126467248173772
M_HAR,5,mse,P-LA,high_vol,1.012091809159635
M_HAR,5,mse,P-LA,low_vol,0.9714868658860265
M_HAR,5,mse,RF,high_vol,1.454343601227044
M_HAR,5,mse,RF,low_vol,1.323556705242891
M_HAR,5,mse,RR,high_vol,0.9618188296786494
M_HAR,5,mse,RR,low_vol,0.9658273225999463
M_HAR,5,mse,SHAR,high_vol,0.9613582173203584
M_HAR,5,mse,SHAR,low_vol,1.0360507857004895
M_HAR,5,qlike,A-LA,high_vol,0.6681185037528636
M_HAR,5,qlike,A-LA,low_vol,2.706568558943362
M_HAR,5,qlike,BG,high_vol,1.3429322805999593
M_HAR,5,qlike,BG,low_vol,1.1494803519017267
M_HAR,5,qlike,EN,high_vol,0.8666797757968534
M_HAR,5,qlike,EN,low_vol,1.2986984516503055
M_HAR,5,qlike,GB,high_vol,1.0606116048594096
M_HAR,5,qlike,GB,low_vol,0.9703489458198641
M_HAR,5,qlike,HAR,high_vol,1.0
M_HAR,5,qlike,HAR,low_vol,1.0
M_HAR,5,qlike,HARQ,high_vol,1.1457738306137795
M_HAR,5,qlike,HARQ,low_vol,1.0665100634487774
M_HAR,5,qlike,LA,high_vol,0.8493917672405376
M_HAR,5,qlike,LA,low_vol,1.3301683065790681
M_HAR,5,qlike,LevHAR,high_vol,1.0782100491105853
M_HAR,5,qlike,LevHAR,low_vol,0.9651464202846928
M_HAR,5,qlike,LogHAR,high_vol,0.9658870376640301
M_HAR,5,qlike,LogHAR,low_vol,0.930997941297123
M_HAR,5,qlike,NN1_ensemble,high_vol,1.028777611048011
M_HAR,5,qlike,NN1_ensemble,low_vol,1.0018765709060535
M_HAR,5,qlike,NN1_top1,high_vol,1.0248072369167078
M_HAR,5,qlike,NN1_top1,low_vol,1.0917470825576168
M_HAR,5,qlike,NN2_ensemble,high_vol,1.021427507708964
M_HAR,5,qlike,NN2_ensemble,low_vol,1.0710957919687922
M_HAR,5,qlike,NN2_top1,high_vol,1.0358563634229583
M_HAR,5,qlike,NN2_top1,low_vol,1.303543871075182
M_HAR,5,qlike,NN3_ensemble,high_vol,1.081020249911247
M_HAR,5,qlike,NN3_ensemble,low_vol,0.947097337290088
M_HAR,5,qlike,NN3_top1,high_vol,1.1234019163667681
M_HAR,5,qlike,NN3_top1,low_vol,0.9369948244988201
M_HAR,5,qlike,NN4_ensemble,high_vol,1.0176767391192314
M_HAR,5,qlike,NN4_ensemble,low_vol,1.047838401929855
M_HAR,5,qlike,NN4_top1,high_vol,1.0529353694570194
M_HAR,5,qlike,NN4_top1,low_vol,1.3210012580291093
M_HAR,5,qlike,P-LA,high_vol,1.03415008502615
M_HAR,5,qlike,P-LA,low_vol,0.9761600242845402
M_HAR,5,qlike,RF,high_vol,1.2847047225152812
M_HAR,5,qlike,RF,low_vol,1.086748466558812
M_HAR,5,qlike,RR,high_vol,0.9945613774928416
M_HAR,5,qlike,RR,low_vol,0.984423649851656
M_HAR,5,qlike,SHAR,high_vol,1.0100670084527532
M_HAR,5,qlike,SHAR,low_vol,1.0148589111859687
M_HAR,22,mse,A-LA,high_vol,0.5868808477026066
M_HAR,22,mse,A-LA,low_vol,2.3522900737414125
M_HAR,22,mse,BG,high_vol,5.651853026445394
M_HAR,22,mse,BG,low_vol,3.0550562749110655
M_HAR,22,mse,EN,high_vol,0.855206494420648
M_HAR,22,mse,EN,low_vol,1.0733411627205238
M_HAR,22,mse,GB,high_vol,1.3022042100673723
M_HAR,22,mse,GB,low_vol,1.3256250387387933
M_HAR,22,mse,HAR,high_vol,1.0
M_HAR,22,mse,HAR,low_vol,1.0
M_HAR,22,mse,HARQ,high_vol,1.7777833657375794
M_HAR,22,mse,HARQ,low_vol,0.9077944163153463
M_HAR,22,mse,LA,high_vol,0.8202121631613176
M_HAR,22,mse,LA,low_vol,1.1264183230573437
M_HAR,22,mse,LevHAR,high_vol,1.186768165929835
M_HAR,22,mse,LevHAR,low_vol,0.8277086500882715
M_HAR,22,mse,LogHAR,high_vol,0.992405316257981
M_HAR,22,mse,LogHAR,low_vol,0.6920270603832738
M_HAR,22,mse,NN1_ensemble,high_vol,1.0987841324678727
M_HAR,22,mse,NN1_ensemble,low_vol,0.8298107950323711
M_HAR,22,mse,NN1_top1,high_vol,1.3029298210052145
M_HAR,22,mse,NN1_top1,low_vol,0.8647669278309026
M_HAR,22,mse,NN2_ensemble,high_vol,1.1477472178130836
M_HAR,22,mse,NN2_ensemble,low_vol,1.148089177796973
M_HAR,22,mse,NN2_top1,high_vol,1.2889225139969993
M_HAR,22,mse,NN2_top1,low_vol,1.0242834180036582
M_HAR,22,mse,NN3_ensemble,high_vol,1.1007653315089032
M_HAR,22,mse,NN3_ensemble,low_vol,1.0864195305741522
M_HAR,22,mse,NN3_top1,high_vol,1.787034699063251
M_HAR,22,mse,NN3_top1,low_vol,3.488092855752843
M_HAR,22,mse,NN4_ensemble,high_vol,1.1467156099761464
M_HAR,22,mse,NN4_ensemble,low_vol,1.0800985524377427
M_HAR,22,mse,NN4_top1,high_vol,1.280018768357556
