,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN2_ensemble,NN3_ensemble,NN4_ensemble
AAPL,5.0165157094584596e-08,5.515811804148917e-08,5.483165415526679e-08,5.081080834560991e-08,6.743966232444949e-08,5.178756757483552e-08,5.21074800099806e-08,5.698109534088154e-08,5.7638230021185866e-08,4.99199579402667e-08,1.0395564745644786e-07,7.624897276150724e-08,7.551919637839382e-08,8.93350988427317e-08,9.872892848511e-08,9.679046904672476e-08,9.95963739259996e-08,7.55551062276657e-08
AMZN,3.838532957696227e-08,3.840888407595966e-08,3.86883442075141e-08,3.8841629989968714e-08,4.085499450001632e-08,3.406042217484389e-08,3.406042210175443e-08,3.5130158426147154e-08,3.417445416108528e-08,4.409956700970933e-08,8.828133902374157e-08,5.0777951848654057e-08,4.654959745301365e-08,4.451095932233191e-08,5.4747250697321575e-08,4.542342988992664e-08,5.629336224398665e-08,3.872958974044252e-08
JPM,1.0063626820329465e-07,1.282519391155694e-07,1.1145822899652243e-07,1.0344490961629574e-07,1.179146185845523e-07,1.1997992846968977e-07,1.1768336677550313e-07,1.2896794997798019e-07,1.2096902802909828e-07,1.1237489242639464e-07,2.0205620356777554e-07,1.6030830099436264e-07,1.6719433694907247e-07,1.6532426171187275e-07,1.5118710616361635e-07,1.686037313716397e-07,1.5982299188731906e-07,1.6780146870641837e-07
