alpha,model,n,expected_hits,observed_hits,hit_rate,quantile_loss,kupiec_LR,kupiec_p,christoffersen_LR,christoffersen_p,ticker,horizon
0.05,HAR,439,21.950000000000003,16,0.03644646924829157,0.001471924382091947,1.8667777104192282,0.1718445890453839,3.0803387040050723,0.2143447986322078,AMZN,22
0.05,LogHAR,439,21.950000000000003,15,0.03416856492027335,0.0014692121863491075,2.5936732370286677,0.10729125209711687,3.6577260942890746,0.1605960541586593,AMZN,22
0.05,LevHAR,439,21.950000000000003,16,0.03644646924829157,0.0014738516823134408,1.8667777104192282,0.1718445890453839,3.0803387040050723,0.2143447986322078,AMZN,22
0.05,SHAR,439,21.950000000000003,16,0.03644646924829157,0.0014749587724391022,1.8667777104192282,0.1718445890453839,3.0803387040050723,0.2143447986322078,AMZN,22
0.05,HARQ,439,21.950000000000003,15,0.03416856492027335,0.0014649447909974862,2.5936732370286677,0.10729125209711687,3.6577260942890746,0.1605960541586593,AMZN,22
0.05,HAR-X,439,21.950000000000003,21,0.04783599088838269,0.0014522254883242492,0.043884892339519865,0.8340679166229504,2.159887735254074,0.3396145884826576,AMZN,22
0.05,RR,439,21.950000000000003,22,0.05011389521640091,0.0014484535946861082,0.00011980355867535764,0.9912669439163915,2.328128745355258,0.31221464196861404,AMZN,22
0.05,LA,439,21.950000000000003,17,0.0387243735763098,0.0014495767223276913,1.269691828233249,0.2598245006687222,2.642986789478954,0.2667366612492288,AMZN,22
0.05,EN,439,21.950000000000003,22,0.05011389521640091,0.001448581937957228,0.00011980355867535764,0.9912669439163915,2.328128745355258,0.31221464196861404,AMZN,22
0.05,P-LA,439,21.950000000000003,22,0.05011389521640091,0.0014549188621829404,0.00011980355867535764,0.9912669439163915,2.328128745355258,0.31221464196861404,AMZN,22
0.05,A-LA,439,21.950000000000003,14,0.03189066059225513,0.0014975989821239108,3.458718023910862,0.06291907922635909,4.008321885727597,0.13477333079239306,AMZN,22
0.05,BG,439,21.950000000000003,19,0.04328018223234624,0.0015522452043537336,0.4363476819462164,0.5088905620632355,2.160089068595852,0.33958040233338127,AMZN,22
0.05,RF,439,21.950000000000003,17,0.0387243735763098,0.0015002996010320918,1.269691828233249,0.2598245006687222,2.642986789478954,0.2667366612492288,AMZN,22
0.05,GB,439,21.950000000000003,16,0.03644646924829157,0.0015030659610453035,1.8667777104192282,0.1718445890453839,3.0803387040050723,0.2143447986322078,AMZN,22
0.05,NN1_ensemble,439,21.950000000000003,16,0.03644646924829157,0.001452556372478301,1.8667777104192282,0.1718445890453839,3.0803387040050723,0.2143447986322078,AMZN,22
0.05,NN1_top1,439,21.950000000000003,15,0.03416856492027335,0.0014629825112830775,2.5936732370286677,0.10729125209711687,3.6577260942890746,0.1605960541586593,AMZN,22
0.05,NN2_ensemble,439,21.950000000000003,16,0.03644646924829157,0.0014450857517606444,1.8667777104192282,0.1718445890453839,3.0803387040050723,0.2143447986322078,AMZN,22
0.05,NN2_top1,439,21.950000000000003,17,0.0387243735763098,0.0014684033049790174,1.269691828233249,0.2598245006687222,2.642986789478954,0.2667366612492288,AMZN,22
0.05,NN3_ensemble,439,21.950000000000003,17,0.0387243735763098,0.0014463531742233782,1.269691828233249,0.2598245006687222,2.642986789478954,0.2667366612492288,AMZN,22
0.05,NN3_top1,439,21.950000000000003,16,0.03644646924829157,0.0014582676317551554,1.8667777104192282,0.1718445890453839,2.132839900457043,0.3442387057368921,AMZN,22
0.05,NN4_ensemble,439,21.950000000000003,16,0.03644646924829157,0.0014536501535182867,1.8667777104192282,0.1718445890453839,3.0803387040050723,0.2143447986322078,AMZN,22
