stock,alpha,dm_stat,p_value
AAPL,0.05,-4.0743933351343715,2.4533681504249423e-05
AAPL,0.01,-3.9129881357234546,4.805800890764497e-05
AMZN,0.05,-3.6532370963793657,0.0001348851982127984
AMZN,0.01,-4.090727730477142,2.2889435615863155e-05
JPM,0.05,-1.8249000571073168,0.03412839917456725
JPM,0.01,-1.7299568595863244,0.04194350543654532
