,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB
AAPL,1.0,1.0454194355333486,1.002092656232915,0.996141134593262,1.3168585875725414,0.98338711063701,0.9941335945814774,1.186216560329397,1.1922075206223814,0.9786831922920449,2.021658366126855,1.305695503593248,1.3158686454349446,1.4995439327463185
AMZN,1.0,1.007436655904641,0.9946325404777099,1.0082239213941817,1.143431948136177,1.030352507595759,1.0041588283951444,0.9927010751408366,0.9927010751408366,1.0044554290464889,2.2473640651891715,1.4276636432055252,1.3981306151951618,1.3380368695888836
JPM,1.0,1.243477264135743,1.0747410799940798,1.1291290401182998,1.0007127314847872,1.2041224131673518,1.1793968969368969,1.3826525165230623,1.3826525165230623,1.1405995859460794,2.490705327025834,1.5815534720299578,1.7093517300157746,1.668935884134941
