,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN2_ensemble,NN3_ensemble,NN4_ensemble
AAPL,1.0,0.9987521123935708,1.0070093457004425,1.0050535107986511,3.798753862368594,1.3936281009747278,1.1738893072586072,0.9594305778302578,0.9487779838602002,0.9458538261344982,4.25892897973335,1.0753252008113103,1.0894982953212353,1.2855408238376373,6.9462727250625464,10.327113605885371,8.393130569100745,7.9039160788807035
AMZN,1.0,0.9965590178045781,1.1833539298492395,1.0336217713138616,2.7388806073241034,3.618670013473877,2.399305534215327,1.0229081914128635,1.0205555180899184,1.024828636344633,3.725959272415984,1.1116024011506769,1.1402215308014398,1.2593453471659175,9.005592195763214,24.967233806756834,27.824807027700523,12.862047089103145
JPM,1.0,1.0219244167550665,1.0438245155156114,1.0449711313661807,1.0043194077698379,1.5226156386039436,1.2209428256563692,0.9746597206815375,0.9793902114306604,0.9444001299013646,5.515801607800259,1.1545374973473566,1.1341897441136726,1.0093297463112538,15.891096008750274,8.294337946063886,3.126467246576548,9.628324138148047
