,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB
AAPL,7.807885000692826e-09,6.363200349165092e-09,6.940136022532419e-09,7.851971892985671e-09,8.364517143468746e-09,1.2075343890828755e-08,1.137999237043379e-08,8.70311365450367e-09,8.590044666224108e-09,1.1390958686429051e-08,1.1365494636180349e-08,2.6367741565836344e-08,1.511736915922646e-08,1.1473974227522336e-08
AMZN,2.4472442665277614e-08,2.010020893331797e-08,2.1825479102897346e-08,2.463730383695289e-08,2.2237688841874987e-08,2.548396363206836e-08,2.5862306259397264e-08,2.923482280865838e-08,2.907188193581091e-08,2.8653433228767682e-08,4.9513772709807544e-08,4.365496837647643e-08,3.0334561568831344e-08,3.314464049608802e-08
JPM,5.752666613730562e-09,4.514450211818157e-09,7.1684937034037865e-09,5.746417937217476e-09,1.2914498617568245e-08,2.3593017903597477e-08,2.178266610765696e-08,7.64274062426014e-09,7.64274062426014e-09,6.826861798588944e-09,7.64274062426014e-09,4.0571320595785044e-08,2.1199591969572598e-08,8.458778374044805e-09
