Model,DM stat,p-value,mean loss diff,ticker
HAR,,,,AAPL
LogHAR,-1.8914632924026562,0.029608766482454182,-0.00697676666116689,AAPL
LevHAR,0.8352535137619748,0.7979863711654535,0.005183837905787659,AAPL
SHAR,0.09729013940144655,0.5387299067736815,0.00018202379024459574,AAPL
HARQ,-2.7399771547140714,0.0031968318793609177,-0.003988546615601184,AAPL
HAR-X,3.883085273937893,0.9999405342488726,0.19611103984860015,AAPL
RR,3.548255326038123,0.9997853001390005,0.17159478474084872,AAPL
LA,-0.17611046825682802,0.43014399889164334,-0.0015061189144933188,AAPL
EN,1.9354868870136819,0.9732152601216946,0.07972606567244128,AAPL
P-LA,-1.2130626568250513,0.11287761425460752,-0.009634510916838626,AAPL
A-LA,8.671001518760706,1.0,0.1840514877849231,AAPL
BG,0.42322727272071253,0.6638321163691996,0.0032708847012404385,AAPL
RF,-0.020804291057745086,0.4917055920874608,-0.00014297435696810875,AAPL
GB,-1.5669936490262946,0.05891670564412649,-0.007831353626238413,AAPL
NN1_ensemble,1.4390648514247706,0.9245792402731513,0.05625802779150381,AAPL
NN1_top1,2.0067760096474183,0.977308291686563,0.07978192683763181,AAPL
NN2_ensemble,1.4619004641740463,0.9277596547916123,0.05635845240377842,AAPL
NN2_top1,3.2946818819213735,0.9994676016567108,0.046966433892312726,AAPL
NN3_ensemble,0.9413855327901017,0.8264886491914373,0.014323619105714244,AAPL
NN3_top1,2.7015290494586472,0.9964159096524156,0.22948588339053258,AAPL
NN4_ensemble,-0.29646567104949134,0.3835070235876877,-0.002179266836167284,AAPL
NN4_top1,1.8202465398166774,0.9653004242211047,0.019129864797596347,AAPL
HAR,,,,AMZN
LogHAR,0.3005793175202391,0.6180615229504429,0.00039331573983855634,AMZN
LevHAR,1.1943278359826366,0.8835041325100932,0.006815262792671614,AMZN
SHAR,-0.5347147851093207,0.29655829012465695,-0.0014143400990607165,AMZN
HARQ,0.24535445590943492,0.5968519369996427,0.0004229202814544609,AMZN
HAR-X,3.2837398363250108,0.9994470153563073,0.3332517297905173,AMZN
RR,3.366070000311049,0.9995853916296138,0.3528586551282129,AMZN
LA,1.9150638690971018,0.9719345411461513,0.09713512735749569,AMZN
EN,3.618543371413157,0.9998347094166955,0.3899085679234824,AMZN
P-LA,3.276617882411598,0.9994332219246813,0.3428945997592744,AMZN
A-LA,5.8952858142104265,0.9999999962780277,0.07995856120869778,AMZN
BG,1.8644946470199304,0.9685418097826487,0.011017535506789057,AMZN
RF,0.4386329037173078,0.6694288227724665,0.0023819649868949007,AMZN
GB,2.5331420848330324,0.9941749722795176,0.14496508421384408,AMZN
NN1_ensemble,0.4585363241428396,0.6766034711697135,0.003047514901526393,AMZN
NN1_top1,0.6880577717058336,0.7541109249756259,0.004658991730720622,AMZN
NN2_ensemble,1.5097402397937252,0.934087078056856,0.012861845823708062,AMZN
NN2_top1,6.007600815547109,0.9999999980281269,0.17288971935044994,AMZN
NN3_ensemble,1.1691124653218188,0.8785050715608933,0.009366151514166813,AMZN
NN3_top1,5.54016217826406,0.999999973975743,0.0752220028512693,AMZN
NN4_ensemble,2.4272418696919265,0.9921931835627595,0.0255880563823168,AMZN
NN4_top1,1.8167204878515835,0.965030694119902,0.13033026835522746,AMZN
HAR,,,,JPM
LogHAR,-2.551890692456632,0.00552513123056705,-0.010637717959736427,JPM
LevHAR,1.682813226747135,0.9534404817635862,0.012389638231827253,JPM
SHAR,2.2823429032894595,0.9885277500681094,0.08178302003104533,JPM
HARQ,2.7371893502424305,0.9967764140981259,0.049924299596301805,JPM
HAR-X,4.010703910921258,0.9999644523317318,0.23767764608270467,JPM
RR,4.687517183908656,0.9999981542818457,0.21168717759411668,JPM
LA,0.1858391115519817,0.5736718102676812,0.0007525759678655021,JPM
EN,0.38520973824990695,0.6498661239781891,0.0016194127147294898,JPM
P-LA,-2.474517554025083,0.006858390536009857,-0.003700419389355781,JPM
A-LA,7.705567923961639,0.9999999999999565,0.1851884503411706,JPM
BG,-0.790810070041474,0.21473995287490658,-0.006135181372697239,JPM
RF,-0.9982599568022473,0.1593503700686511,-0.0071126718790623916,JPM
GB,-3.2193259818066573,0.0006899132610109705,-0.017360974798585012,JPM
NN1_ensemble,1.5024086102482423,0.9331463425873896,0.02823140914050265,JPM
NN1_top1,2.009757271901319,0.9774672502751337,0.040159196253062725,JPM
NN2_ensemble,0.14988639876638116,0.5595386161743878,0.0023930478414150025,JPM
NN2_top1,2.3890972159088193,0.9913453803350039,0.23851475910525965,JPM
NN3_ensemble,-0.17020871573474683,0.4324620270687952,-0.001846692149492924,JPM
NN3_top1,1.8884369914025023,0.9701883166073629,0.05276748416656918,JPM
NN4_ensemble,-0.9818294564849834,0.16336110011163965,-0.007430639415494377,JPM
NN4_top1,2.263714237706105,0.9879615920957547,0.02487278113801685,JPM
