alpha,model,n,expected_hits,observed_hits,hit_rate,quantile_loss,kupiec_LR,kupiec_p,christoffersen_LR,christoffersen_p,ticker,horizon
0.05,HAR,439,21.950000000000003,18,0.04100227790432802,0.0013903701059447672,0.7950602870879493,0.37257437839160934,0.8855205871245744,0.6422611427679856,JPM,22
0.05,LogHAR,439,21.950000000000003,21,0.04783599088838269,0.0013855985975926783,0.043884892339519865,0.8340679166229504,0.04393640288640199,0.9782713421734656,JPM,22
0.05,LevHAR,439,21.950000000000003,22,0.05011389521640091,0.0014038007726044773,0.00011980355867535764,0.9912669439163915,0.011515363705399295,0.9942588618311409,JPM,22
0.05,SHAR,439,21.950000000000003,18,0.04100227790432802,0.001393957219865267,0.7950602870879493,0.37257437839160934,0.8855205871245744,0.6422611427679856,JPM,22
0.05,HARQ,439,21.950000000000003,20,0.04555808656036447,0.0013708663707261567,0.18770879583763644,0.6648304475486966,0.1965103146531817,0.9064175951547794,JPM,22
0.05,HAR-X,439,21.950000000000003,21,0.04783599088838269,0.0013879094328698117,0.043884892339519865,0.8340679166229504,2.159887735254074,0.3396145884826576,JPM,22
0.05,RR,439,21.950000000000003,22,0.05011389521640091,0.001398855572050459,0.00011980355867535764,0.9912669439163915,2.328128745355258,0.31221464196861404,JPM,22
0.05,LA,439,21.950000000000003,17,0.0387243735763098,0.0013969283061013294,1.269691828233249,0.2598245006687222,1.4354605806897496,0.48785829697614314,JPM,22
0.05,EN,439,21.950000000000003,17,0.0387243735763098,0.0013989739208623805,1.269691828233249,0.2598245006687222,1.4354605806897496,0.48785829697614314,JPM,22
0.05,P-LA,439,21.950000000000003,21,0.04783599088838269,0.001377194067554595,0.043884892339519865,0.8340679166229504,0.04393640288640199,0.9782713421734656,JPM,22
0.05,A-LA,439,21.950000000000003,14,0.03189066059225513,0.0014285173852217903,3.458718023910862,0.06291907922635909,4.008321885727597,0.13477333079239306,JPM,22
0.05,BG,439,21.950000000000003,20,0.04555808656036447,0.0014479971248349405,0.18770879583763644,0.6648304475486966,0.1965103146531817,0.9064175951547794,JPM,22
0.05,RF,439,21.950000000000003,20,0.04555808656036447,0.0014153065296057823,0.18770879583763644,0.6648304475486966,0.1965103146531817,0.9064175951547794,JPM,22
0.05,GB,439,21.950000000000003,16,0.03644646924829157,0.001402024719964784,1.8667777104192282,0.1718445890453839,2.132839900457043,0.3442387057368921,JPM,22
0.05,NN1_ensemble,439,21.950000000000003,20,0.04555808656036447,0.0013726479707697622,0.18770879583763644,0.6648304475486966,0.1965103146531817,0.9064175951547794,JPM,22
0.05,NN1_top1,439,21.950000000000003,19,0.04328018223234624,0.0013793301955926556,0.4363476819462164,0.5088905620632355,0.47492023395307115,0.788628343236585,JPM,22
0.05,NN2_ensemble,439,21.950000000000003,19,0.04328018223234624,0.0013744256633963976,0.4363476819462164,0.5088905620632355,0.47492023395307115,0.788628343236585,JPM,22
0.05,NN2_top1,439,21.950000000000003,21,0.04783599088838269,0.0014000842567598228,0.043884892339519865,0.8340679166229504,0.04393640288640199,0.9782713421734656,JPM,22
0.05,NN3_ensemble,439,21.950000000000003,19,0.04328018223234624,0.0013703944552735463,0.4363476819462164,0.5088905620632355,0.47492023395307115,0.788628343236585,JPM,22
0.05,NN3_top1,439,21.950000000000003,22,0.05011389521640091,0.0013725685336466373,0.00011980355867535764,0.9912669439163915,0.011515363705399295,0.9942588618311409,JPM,22
0.05,NN4_ensemble,439,21.950000000000003,17,0.0387243735763098,0.0014098358638156782,1.269691828233249,0.2598245006687222,1.4354605806897496,0.48785829697614314,JPM,22
0.05,NN4_top1,439,21.950000000000003,14,0.03189066059225513,0.0014441275294138334,3.458718023910862,0.06291907922635909,4.008321885727597,0.13477333079239306,JPM,22
