decile,A-LA,BG,EN,GB,HAR,HAR-X,HARQ,LA,LevHAR,LogHAR,NN1_ensemble,NN1_top1,NN2_ensemble,NN2_top1,NN3_ensemble,NN3_top1,NN4_ensemble,NN4_top1,P-LA,RF,RR,SHAR
D1,2.892358023113894,1.1242346050378402,0.5690108656921619,0.6779476046919486,1.0,0.6617457001735719,0.9931448441361393,0.6369482369009842,0.7714990426958777,0.9452233713744508,0.4370201908024817,0.8443155544120066,0.529133906046946,0.3345512128782441,0.47252111292777105,0.4149280330134556,0.39260683485179576,0.4533002183339682,0.6638458984344315,0.909767349363883,0.5708935157422359,0.9853974818012923
D10,0.9866912617287227,1.013160067873029,1.105487226370833,1.0480439221499516,1.0,1.0718111435301532,0.9307179440958367,1.0837944725986057,0.9166562914523465,0.9064673512082956,1.176461297353715,0.9973760690517556,0.9909028849934295,1.2032382761559355,1.1541886779448165,1.32766298191696,1.2647071675440058,1.511220558319442,1.1571119125364417,0.9603505808146405,1.1148798316716686,0.9665495922109573
D2,2.8667003223647396,1.2461860315888567,0.6559824401800278,0.7205450288811691,1.0,0.779431981799657,0.9951151376133978,0.6771709406776687,0.9047296969254965,1.0956287606182002,0.5651181475151716,0.9178384541652512,0.46000878826252317,0.711189074852538,0.42169917431826703,0.5987604437128852,0.38300021443624394,0.5396788732432648,0.7722837700522317,1.0892158620136756,0.6728796859460664,0.9492805076594404
D3,2.533777030753003,1.317109298307379,0.8022983432932235,0.8582905120245569,1.0,0.8441484594054679,1.337788516552019,0.7072389433109506,0.8789348088135753,0.9111261243263561,0.6954871338411579,1.479808890749427,0.8687898550135188,1.0426035593143552,0.6374952522275454,0.9641790319314885,0.6074248772353789,0.915678266317706,0.8987289098472967,1.1961663121462685,0.8275773351403717,1.03187522204318
D4,3.5417966495812183,1.638660179324412,1.3294780487513065,1.5354511712155148,1.0,1.3261436744349253,1.2466929149096182,0.981487177175445,1.2811365222183289,1.2061149966839881,0.8788362583283882,1.609450787946417,1.172294208148524,1.3493274698648587,1.2981261878395773,1.1627713382346623,1.0772723724235196,1.4878003641299202,1.324537105893415,1.5340615651550211,1.3739996877249996,1.0881743703583864
D5,2.1226802700070158,2.354854459677085,1.2663105440557336,1.6710855555202326,1.0,1.2600255202590631,1.2027237786876552,0.9707143810515202,1.1247862536445412,1.2626445023451212,0.7816306845806332,1.7149573643265497,1.0951009773788272,1.6400021548548298,1.2280683210873484,1.0586725586792967,1.075524639316342,1.7023131619112886,1.2704923106657915,1.8624104825340178,1.319266440747511,1.0014986642523513
D6,1.2741691293219313,2.302735571668045,0.9601034959429915,1.7299423577112258,1.0,0.9055425079770744,1.2777084192930779,0.7508973437722848,0.9988614570359404,1.4724775380005852,0.8018738413578406,1.8063328450119358,1.1591731811232588,1.6930415905046519,1.5197346691896692,1.6676020980701936,1.271498287021806,2.2748731810493252,0.9179800274597486,1.8229533172172983,0.9887377489889269,1.0654200598606056
D7,0.5350208984419467,1.8249565673574923,1.5769585657698746,1.6130735643143062,1.0,1.6080471839567843,1.454453157765015,1.0263191661382605,1.2725504775645886,1.4011240452548435,1.2177863940918163,2.3807316818363264,1.5468594405008027,2.421162694899618,1.6328346963639888,1.8189106212148165,1.6069562811150473,2.0802021782921805,1.4688849837539688,1.6371584955027167,1.6457948654159382,0.9777778388138929
D8,0.1928227466790976,3.725914605636474,1.9115323044692873,2.3079715587209564,1.0,1.8774098135609678,1.3048663133211293,1.2136447262964147,1.422591815486813,1.384622498083186,1.8878417203090685,2.383212058709614,1.9545541464755336,3.6061372289949847,2.4482196694695957,3.138557456139383,2.6691675724582056,3.990191929668347,1.9512672975120022,2.3935006923990376,2.0413057013046827,1.0773686057183292
D9,0.03265591275119644,2.1999635789004333,2.0732338643853403,1.5243871499972923,1.0,1.9115650802897532,1.0002817275315115,1.3663008993436971,1.1830032898527827,0.9751738271039073,1.7320686238371745,1.879761738703529,1.7738797585609327,2.9125471150335547,1.9386016195957931,3.08713500467339,2.1140178738515196,2.775392826165623,2.023611629833418,1.589684512254509,2.185580344683977,1.1512184503635159
