Model,DM stat,p-value,mean loss diff,ticker,bonferroni_significant,holm_significant,bh_fdr_significant
HAR,,,,AAPL,False,False,False
LogHAR,-5.379215017479434,6.102048942398597e-08,-0.0346058344742556,AAPL,True,True,True
LevHAR,-3.8164476380581145,7.743593553931014e-05,-0.0190043699785944,AAPL,True,True,True
SHAR,0.8580843653545451,0.804342407929576,0.0001868157521914,AAPL,False,False,False
HARQ,-3.0334845396937933,0.0012806173442011,-0.0048298469777675,AAPL,False,False,True
HAR-X,0.930414564827274,0.8236655039039449,0.0196344002805828,AAPL,False,False,False
RR,0.5518234811905971,0.7093246366521205,0.0073353905811533,AAPL,False,False,False
LA,2.5591374379862226,0.9945858994628436,0.0080625980886002,AAPL,False,False,False
EN,2.9641679080321355,0.998399685288055,0.0093195684394386,AAPL,False,False,False
P-LA,-1.6328992606040025,0.0516044057930393,-0.0093346165036714,AAPL,False,False,False
A-LA,7.093787325175148,0.9999999999973612,0.0615396624544685,AAPL,False,False,False
BG,2.023143410893443,0.9781673584057344,0.0624002690730251,AAPL,False,False,False
RF,1.9703131769924425,0.9752840346078168,0.0428915583561548,AAPL,False,False,False
GB,0.1567697291214556,0.5622507171137319,0.0030640141416021,AAPL,False,False,False
NN1_ensemble,0.544439612581014,0.7067919735709702,0.0053138638410247,AAPL,False,False,False
NN1_top1,1.2315650046457294,0.8906137832428904,0.0144517522029423,AAPL,False,False,False
NN2_ensemble,-0.2279880982164858,0.4098809425617567,-0.0021105455188994,AAPL,False,False,False
NN2_top1,-0.6655156306087208,0.2530355268882343,-0.0062963776621539,AAPL,False,False,False
NN3_ensemble,-0.7040591374821542,0.2408850415504357,-0.0068656807954794,AAPL,False,False,False
NN3_top1,1.2991952807918892,0.9027198125787056,0.0209504394464253,AAPL,False,False,False
NN4_ensemble,-2.7667030586631416,0.0029511649921851,-0.0199325043588528,AAPL,False,False,True
NN4_top1,0.9134241393050248,0.8192389837580832,0.0169611600713508,AAPL,False,False,False
HAR,,,,AMZN,False,False,False
LogHAR,1.102349533967531,0.86454245861987,0.003404734293923,AMZN,False,False,False
LevHAR,-1.321285411401803,0.0935480046003106,-0.0043017996787963,AMZN,False,False,False
SHAR,-1.1693151423616817,0.1214563144448862,-0.0001800653870281,AMZN,False,False,False
HARQ,1.5759881374878562,0.94212474827895,0.0030524487926386,AMZN,False,False,False
HAR-X,1.7757275577347853,0.9617639629178428,0.036092651430921,AMZN,False,False,False
RR,1.8825520606534083,0.9697881558273532,0.0460452789729258,AMZN,False,False,False
LA,0.7864243520917631,0.7839779055571363,0.0154331879267545,AMZN,False,False,False
EN,1.7399605170594934,0.9587158281027628,0.041276650920794,AMZN,False,False,False
P-LA,1.8735269436845476,0.9691693434399764,0.0452028307515319,AMZN,False,False,False
