ticker,feature_set,horizon,decile,model,ratio_vs_HAR
AAPL,M_ALL,22,D1,HAR,1.0
AAPL,M_ALL,22,D1,LogHAR,0.5904761800775443
AAPL,M_ALL,22,D1,LevHAR,0.6305980782716334
AAPL,M_ALL,22,D1,SHAR,1.0180172529457683
AAPL,M_ALL,22,D1,HARQ,0.9201222131862675
AAPL,M_ALL,22,D1,HAR-X,0.6088448878031322
AAPL,M_ALL,22,D1,RR,0.603624274394202
AAPL,M_ALL,22,D1,LA,0.9549120238709671
AAPL,M_ALL,22,D1,EN,0.9757011425797046
AAPL,M_ALL,22,D1,P-LA,0.6601031408773833
AAPL,M_ALL,22,D1,A-LA,1.8804672245105556
AAPL,M_ALL,22,D1,BG,1.0329986059575655
AAPL,M_ALL,22,D1,RF,1.1899559928247152
AAPL,M_ALL,22,D1,GB,0.6701735920800674
AAPL,M_ALL,22,D1,NN1_ensemble,0.7651549781347311
AAPL,M_ALL,22,D1,NN1_top1,0.8257979498851615
AAPL,M_ALL,22,D1,NN2_ensemble,0.752370439506606
AAPL,M_ALL,22,D1,NN2_top1,0.6208748154882703
AAPL,M_ALL,22,D1,NN3_ensemble,0.6783838782130233
AAPL,M_ALL,22,D1,NN3_top1,0.5736196300081018
AAPL,M_ALL,22,D1,NN4_ensemble,0.5631889295429156
AAPL,M_ALL,22,D1,NN4_top1,0.4338843278512168
AAPL,M_ALL,22,D2,HAR,1.0
AAPL,M_ALL,22,D2,LogHAR,0.6436184176347762
AAPL,M_ALL,22,D2,LevHAR,0.6918233302453938
AAPL,M_ALL,22,D2,SHAR,0.9898871351158998
AAPL,M_ALL,22,D2,HARQ,0.9677832644731328
AAPL,M_ALL,22,D2,HAR-X,0.8577311598621192
AAPL,M_ALL,22,D2,RR,0.8193365609301582
AAPL,M_ALL,22,D2,LA,1.0230632149307124
AAPL,M_ALL,22,D2,EN,1.040264784733251
AAPL,M_ALL,22,D2,P-LA,0.7870148930972998
AAPL,M_ALL,22,D2,A-LA,1.8380199867913998
AAPL,M_ALL,22,D2,BG,1.7616790004329796
AAPL,M_ALL,22,D2,RF,1.494839208318486
AAPL,M_ALL,22,D2,GB,0.7232347783683885
AAPL,M_ALL,22,D2,NN1_ensemble,0.9954289743951938
AAPL,M_ALL,22,D2,NN1_top1,1.3118600866024153
AAPL,M_ALL,22,D2,NN2_ensemble,0.8744467679266575
AAPL,M_ALL,22,D2,NN2_top1,0.8127064762005484
AAPL,M_ALL,22,D2,NN3_ensemble,0.7956557276718295
AAPL,M_ALL,22,D2,NN3_top1,0.9181740176801987
AAPL,M_ALL,22,D2,NN4_ensemble,0.7597964042519683
AAPL,M_ALL,22,D2,NN4_top1,0.6807960457710182
AAPL,M_ALL,22,D3,HAR,1.0
AAPL,M_ALL,22,D3,LogHAR,0.5009485489462756
AAPL,M_ALL,22,D3,LevHAR,0.7704994808125829
AAPL,M_ALL,22,D3,SHAR,1.001488453812063
AAPL,M_ALL,22,D3,HARQ,0.888253291846697
AAPL,M_ALL,22,D3,HAR-X,0.9661428113216556
AAPL,M_ALL,22,D3,RR,0.9092755767594393
AAPL,M_ALL,22,D3,LA,1.1552209079692022
AAPL,M_ALL,22,D3,EN,1.1793719696347542
AAPL,M_ALL,22,D3,P-LA,0.8162029377566329
AAPL,M_ALL,22,D3,A-LA,2.2771096089929954
AAPL,M_ALL,22,D3,BG,33.55036627684035
AAPL,M_ALL,22,D3,RF,9.742936641983256
AAPL,M_ALL,22,D3,GB,12.042308477640766
AAPL,M_ALL,22,D3,NN1_ensemble,0.9793152441884623
AAPL,M_ALL,22,D3,NN1_top1,1.226528414695133
AAPL,M_ALL,22,D3,NN2_ensemble,1.1234584230044298
AAPL,M_ALL,22,D3,NN2_top1,1.192384857565287
AAPL,M_ALL,22,D3,NN3_ensemble,0.9978706258016519
AAPL,M_ALL,22,D3,NN3_top1,1.1805042994262818
AAPL,M_ALL,22,D3,NN4_ensemble,0.7688162624198437
AAPL,M_ALL,22,D3,NN4_top1,0.6881857307327272
AAPL,M_ALL,22,D4,HAR,1.0
AAPL,M_ALL,22,D4,LogHAR,0.5651056544059871
AAPL,M_ALL,22,D4,LevHAR,0.8470095281583047
AAPL,M_ALL,22,D4,SHAR,0.9956317939841205
AAPL,M_ALL,22,D4,HARQ,0.9867305284538054
AAPL,M_ALL,22,D4,HAR-X,0.9402736432916577
AAPL,M_ALL,22,D4,RR,0.9134020262124045
AAPL,M_ALL,22,D4,LA,1.1455566254924183
AAPL,M_ALL,22,D4,EN,1.165088216480621
AAPL,M_ALL,22,D4,P-LA,0.8778941230070589
AAPL,M_ALL,22,D4,A-LA,2.1119505570720802
AAPL,M_ALL,22,D4,BG,25.013158424764512
AAPL,M_ALL,22,D4,RF,8.376756777203546
AAPL,M_ALL,22,D4,GB,9.139111222663127
AAPL,M_ALL,22,D4,NN1_ensemble,1.2238557719582308
AAPL,M_ALL,22,D4,NN1_top1,1.498201024274614
AAPL,M_ALL,22,D4,NN2_ensemble,1.2037396249952772
AAPL,M_ALL,22,D4,NN2_top1,1.0315985742005827
AAPL,M_ALL,22,D4,NN3_ensemble,1.0656977322580128
AAPL,M_ALL,22,D4,NN3_top1,1.285538268126607
AAPL,M_ALL,22,D4,NN4_ensemble,0.8192244907238697
AAPL,M_ALL,22,D4,NN4_top1,0.9617421239997531
AAPL,M_ALL,22,D5,HAR,1.0
AAPL,M_ALL,22,D5,LogHAR,0.5493376736695221
AAPL,M_ALL,22,D5,LevHAR,0.7550629266172793
AAPL,M_ALL,22,D5,SHAR,0.990739269894811
AAPL,M_ALL,22,D5,HARQ,0.9503541816918475
AAPL,M_ALL,22,D5,HAR-X,1.2208608723623315
AAPL,M_ALL,22,D5,RR,1.1493678957792708
AAPL,M_ALL,22,D5,LA,1.095501036500278
AAPL,M_ALL,22,D5,EN,1.1142809523418125
AAPL,M_ALL,22,D5,P-LA,0.8504487700179888
AAPL,M_ALL,22,D5,A-LA,2.053351462607169
AAPL,M_ALL,22,D5,BG,2.6351458834331107
AAPL,M_ALL,22,D5,RF,1.973581368037396
AAPL,M_ALL,22,D5,GB,0.6041483072398773
AAPL,M_ALL,22,D5,NN1_ensemble,1.0074264618450488
AAPL,M_ALL,22,D5,NN1_top1,1.309426791397561
AAPL,M_ALL,22,D5,NN2_ensemble,0.9108165956666824
AAPL,M_ALL,22,D5,NN2_top1,0.5668672527472519
AAPL,M_ALL,22,D5,NN3_ensemble,0.8025149928673709
AAPL,M_ALL,22,D5,NN3_top1,0.9906147393309592
AAPL,M_ALL,22,D5,NN4_ensemble,0.7136501102289994
AAPL,M_ALL,22,D5,NN4_top1,0.6989850099854598
AAPL,M_ALL,22,D6,HAR,1.0
AAPL,M_ALL,22,D6,LogHAR,0.3852537516809742
AAPL,M_ALL,22,D6,LevHAR,0.7845642590044032
AAPL,M_ALL,22,D6,SHAR,0.9899404316426386
AAPL,M_ALL,22,D6,HARQ,1.0126654331198328
AAPL,M_ALL,22,D6,HAR-X,1.3628839621800104
AAPL,M_ALL,22,D6,RR,1.286779567912424
AAPL,M_ALL,22,D6,LA,1.2336880512804225
AAPL,M_ALL,22,D6,EN,1.2533499603932912
AAPL,M_ALL,22,D6,P-LA,0.9683720045066171
AAPL,M_ALL,22,D6,A-LA,2.2441188583594944
AAPL,M_ALL,22,D6,BG,1.0573942284807372
AAPL,M_ALL,22,D6,RF,1.045027849337404
AAPL,M_ALL,22,D6,GB,0.5599805995621331
AAPL,M_ALL,22,D6,NN1_ensemble,1.3108329748054142
AAPL,M_ALL,22,D6,NN1_top1,1.4746878652493207
AAPL,M_ALL,22,D6,NN2_ensemble,1.3483431575883573
AAPL,M_ALL,22,D6,NN2_top1,1.3401852740652553
AAPL,M_ALL,22,D6,NN3_ensemble,1.0309184425078695
AAPL,M_ALL,22,D6,NN3_top1,1.719544597623185
AAPL,M_ALL,22,D6,NN4_ensemble,0.7310460143998155
AAPL,M_ALL,22,D6,NN4_top1,0.5115850915126297
AAPL,M_ALL,22,D7,HAR,1.0
AAPL,M_ALL,22,D7,LogHAR,0.5482781788877301
AAPL,M_ALL,22,D7,LevHAR,1.2787375278958515
AAPL,M_ALL,22,D7,SHAR,0.9999892005449417
AAPL,M_ALL,22,D7,HARQ,0.9627217487351359
AAPL,M_ALL,22,D7,HAR-X,1.4819388026388256
AAPL,M_ALL,22,D7,RR,1.4029324176166207
AAPL,M_ALL,22,D7,LA,1.2603878950793357
AAPL,M_ALL,22,D7,EN,1.2874009537845845
AAPL,M_ALL,22,D7,P-LA,0.9255985647420232
AAPL,M_ALL,22,D7,A-LA,2.750247684795833
AAPL,M_ALL,22,D7,BG,3.1408558662378647
AAPL,M_ALL,22,D7,RF,2.1604038864635955
AAPL,M_ALL,22,D7,GB,0.5067355606043566
AAPL,M_ALL,22,D7,NN1_ensemble,1.3378078766604073
AAPL,M_ALL,22,D7,NN1_top1,1.7722461222662844
AAPL,M_ALL,22,D7,NN2_ensemble,1.3122138412506221
AAPL,M_ALL,22,D7,NN2_top1,1.2583678808584198
AAPL,M_ALL,22,D7,NN3_ensemble,0.9910426949793443
AAPL,M_ALL,22,D7,NN3_top1,1.9697695144648801
AAPL,M_ALL,22,D7,NN4_ensemble,0.7871587134069215
AAPL,M_ALL,22,D7,NN4_top1,0.9298097142644359
AAPL,M_ALL,22,D8,HAR,1.0
AAPL,M_ALL,22,D8,LogHAR,0.694010405759839
AAPL,M_ALL,22,D8,LevHAR,1.755280726897934
AAPL,M_ALL,22,D8,SHAR,1.0183625555990852
AAPL,M_ALL,22,D8,HARQ,1.1480975383115675
AAPL,M_ALL,22,D8,HAR-X,1.8070056599019002
