,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB
AAPL,1.0,1.1019150640925677,1.0847984850066594,1.0124638592370496,1.3429942286130145,1.0331990069010835,1.0391149840385505,1.2434768535338525,1.2695037938438567,1.2064861079602927,2.0713143544225745,1.515396338173359,1.4970178320505576,1.7778399983103699
AMZN,1.0,1.0035386860076934,1.0076926597506461,1.0115895052335555,1.062322032146946,0.8884732980380028,0.8884732960391432,0.9150052469865323,0.8904571636258405,0.9324094552165024,2.3102501864496627,1.3198570905304154,1.2239426604524684,1.1715999419462861
JPM,1.0,1.2950934671222474,1.1045033238085724,1.0298496774762325,1.1712401956468328,1.16515851036321,1.150939921137007,1.4000335479047625,1.386839018960205,1.1134836081286108,2.0081762348970833,1.5936246965290641,1.64617959495346,1.9175167010331293
