,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN1_top1,NN2_ensemble,NN2_top1,NN3_ensemble,NN3_top1,NN4_ensemble,NN4_top1
AAPL,1.0,0.6954561428163989,0.8327546720212458,1.0016440461736982,0.9574956000754692,1.172789822461407,1.0645540896635393,1.0709537786944594,1.0820155723146812,0.9178519992785423,1.5415712829466097,1.549144932393727,1.3774612235435735,1.0269644324237517,1.0467639233464534,1.1271806452816455,0.9814264362396641,0.9445895997409469,0.9395795263020698,1.1843714430135288,0.8245867538524501,1.14926434195021
AMZN,1.0,1.067947017170758,0.9141505822753807,0.9964065019798751,1.0609165863240668,1.7202876332793713,1.9189085229322767,1.307994396781676,1.8237427848253502,1.9020960968152991,1.5199860143046438,2.4126761704321233,1.7576614485485755,1.7145347437682579,1.7052591593594746,1.6973229390153843,1.1400207943431746,1.5632992249625939,1.0764486150203105,1.629193688999895,1.1206537546969713,1.2884232814890482
JPM,1.0,0.6303372506123044,0.833182410624015,1.0044685044806057,0.8694443970601349,1.1465507516609823,1.1582301254745215,1.0737642946000998,1.1094507652994872,0.6384937053190191,1.5893248523281251,1.4645755150344795,1.27728090177788,1.3223968799911698,0.832990056906968,0.9167865597561874,0.8702315191738,1.1291306707886117,0.8049616936798837,0.853799241624139,1.3435266142817692,1.8797708617849551
