,ticker,model,loss,se,ci_low,ci_high
0,AAPL,HAR,9.846438107405035e-09,4.622281520556604e-09,4.004393228122486e-09,2.0248492927578298e-08
1,AAPL,LogHAR,9.29089454001077e-09,4.424785355664745e-09,3.707431497589425e-09,1.918126456557431e-08
2,AAPL,LevHAR,1.0102179194901933e-08,4.486800039831851e-09,4.380491672039668e-09,2.029320223523106e-08
3,AAPL,SHAR,9.890473098464268e-09,4.5841849354275725e-09,4.045619143307983e-09,2.0294815116563987e-08
4,AAPL,HARQ,9.701298726850109e-09,4.507830050551265e-09,3.9630603851709395e-09,1.9904501677917487e-08
5,AAPL,HAR-X,9.99585320849179e-09,4.214715221217179e-09,4.461312439719499e-09,1.9706939253384526e-08
6,AAPL,RR,9.721822744481208e-09,4.170806470715801e-09,4.260828211711158e-09,1.9294165349403983e-08
7,AAPL,LA,9.261005604149945e-09,4.431016846815714e-09,3.6057623992052024e-09,1.9229514948267653e-08
8,AAPL,EN,9.380965463111917e-09,4.2912854482784686e-09,3.823237411701336e-09,1.9166640290117665e-08
9,AAPL,P-LA,9.145717596393819e-09,4.350174295018574e-09,3.553991278808532e-09,1.9040394443277908e-08
10,AAPL,A-LA,1.960460048197264e-08,5.7714898713239674e-09,1.2670410121911198e-08,3.225773031961446e-08
11,AAPL,BG,1.1490547435141041e-08,5.709852882237288e-09,4.4000767376314654e-09,2.447899067791383e-08
12,AAPL,RF,1.0522314716378233e-08,5.284421937901183e-09,3.981428970472631e-09,2.2357118125634485e-08
13,AAPL,GB,9.866450643662535e-09,5.027571813508981e-09,3.6583529298670364e-09,2.1039862994152734e-08
14,AAPL,NN1_ensemble,9.059840306466013e-09,3.894325086564862e-09,3.911014568195723e-09,1.7900851433667718e-08
15,AAPL,NN1_top1,1.263412943325061e-08,4.006389892055159e-09,6.532456256876159e-09,2.1833615326804484e-08
16,AAPL,NN2_ensemble,8.773690444813752e-09,3.785367368883538e-09,3.796183430563931e-09,1.7316091084262715e-08
17,AAPL,NN2_top1,1.0683559491563817e-08,4.143281057320031e-09,5.101039795468011e-09,2.0129852953128795e-08
18,AAPL,NN3_ensemble,9.236340261511528e-09,4.061931581969504e-09,3.87850797669417e-09,1.8547567337317818e-08
19,AAPL,NN3_top1,1.1605722993949286e-08,4.423502085985049e-09,5.719738763515935e-09,2.186883748729614e-08
20,AAPL,NN4_ensemble,9.07221309458851e-09,3.944229258491881e-09,3.87622138111373e-09,1.8099237812606774e-08
21,AAPL,NN4_top1,1.0456736283068103e-08,4.273508278812036e-09,4.781558493717272e-09,2.014466270460193e-08
22,AMZN,HAR,1.5512790388303078e-08,4.851463171280183e-09,7.64297614058508e-09,2.6331403803007403e-08
23,AMZN,LogHAR,1.550832812194413e-08,4.852142249632196e-09,7.715264050298682e-09,2.632016820309039e-08
24,AMZN,LevHAR,1.6528720557648355e-08,4.772481055870749e-09,8.694678566873127e-09,2.7156988366273897e-08
25,AMZN,SHAR,1.5376886079697187e-08,4.633120325274561e-09,7.744053060443424e-09,2.5640712620582175e-08
26,AMZN,HARQ,1.5393853816269725e-08,4.4812445090662e-09,8.031130067710587e-09,2.5326206446718447e-08
27,AMZN,HAR-X,1.474532562524031e-08,3.334842716033587e-09,9.300699382889782e-09,2.2087604567269256e-08
28,AMZN,RR,1.4750631671170378e-08,3.4798063116988173e-09,9.137066372357719e-09,2.2440999884239596e-08
29,AMZN,LA,1.3663965878915987e-08,3.781779557073441e-09,7.622776976166106e-09,2.2089787899648102e-08
30,AMZN,EN,1.505155571465918e-08,3.5092700170343692e-09,9.399088758708473e-09,2.282679415164062e-08
31,AMZN,P-LA,1.4872260438926783e-08,3.3947864886590032e-09,9.375506812418147e-09,2.2346191940421736e-08
32,AMZN,A-LA,2.3652182946168142e-08,6.5039034971873135e-09,1.3968659242444622e-08,3.828944471598681e-08
33,AMZN,BG,1.7683266862475164e-08,4.619526883520673e-09,9.869520580007458e-09,2.7951434040283305e-08
34,AMZN,RF,1.4935318192476703e-08,4.1494741003370225e-09,8.097412738050137e-09,2.422790293071411e-08
35,AMZN,GB,1.5177895331427265e-08,4.044088586315562e-09,8.725086676506668e-09,2.4278787616635817e-08
36,AMZN,NN1_ensemble,1.3486703941206517e-08,3.3058218569623203e-09,7.914153027882559e-09,2.0696941553558277e-08
37,AMZN,NN1_top1,1.3832922280893326e-08,3.3257241792971525e-09,8.276598292655886e-09,2.115207630062381e-08
38,AMZN,NN2_ensemble,1.3633224825470225e-08,3.524249603191898e-09,7.921552594193928e-09,2.142536693166377e-08
39,AMZN,NN2_top1,1.789489963928762e-08,4.174686381352607e-09,1.13702765391394e-08,2.722389338493611e-08
40,AMZN,NN3_ensemble,1.3350458614239682e-08,3.2157416227186793e-09,8.003029874586318e-09,2.046732508487178e-08
41,AMZN,NN3_top1,1.719964134926139e-08,4.276540823949375e-09,1.0458329983315664e-08,2.6829882748223773e-08
42,AMZN,NN4_ensemble,1.4590974287416507e-08,3.6767387550036017e-09,8.74988120417308e-09,2.2787257509196682e-08
43,AMZN,NN4_top1,1.5245173569516374e-08,4.073921332404257e-09,8.672994830893552e-09,2.43316643436818e-08
44,JPM,HAR,6.5505532822900185e-09,2.071251361662301e-09,3.4252997308084487e-09,1.1239948702760729e-08
45,JPM,LogHAR,6.055364223258014e-09,1.965057873474276e-09,3.085576100549099e-09,1.05218812916039e-08
46,JPM,LevHAR,6.872120889233285e-09,2.32622652821945e-09,3.470326126589012e-09,1.2128956616155105e-08
47,JPM,SHAR,7.710735402715803e-09,1.989469655591561e-09,4.432308791668376e-09,1.2050118747866543e-08
48,JPM,HARQ,7.619822284803305e-09,2.493738252918811e-09,3.844560870803778e-09,1.3191177247709603e-08
49,JPM,HAR-X,7.329342425021454e-09,1.931332976224087e-09,4.2428127834898714e-09,1.1669332951431082e-08
50,JPM,RR,7.156730470413814e-09,1.924891005475035e-09,4.104164988780155e-09,1.1441858535057945e-08
