Model,DM stat,p-value,mean loss diff,ticker,bonferroni_significant,holm_significant,bh_fdr_significant
NN4_top1,0.8786609118488835,0.8099681793712892,6.102981756630702e-10,AAPL,False,False,False
HAR,,,,AMZN,False,False,False
LogHAR,-0.018610679671236,0.4925800500646849,-4.462266358948698e-12,AMZN,False,False,False
LevHAR,1.0564320753236236,0.8543253850019986,1.0159301693452772e-09,AMZN,False,False,False
SHAR,-0.1506530473688095,0.4401591480902246,-1.3590430860589155e-10,AMZN,False,False,False
HARQ,-0.2851206882697586,0.3878427671006233,-1.1893657203335483e-10,AMZN,False,False,False
HAR-X,-0.4045611802797295,0.3429981208391501,-7.674647630627699e-10,AMZN,False,False,False
RR,-0.4539575043508618,0.3250413688677634,-7.621587171327021e-10,AMZN,False,False,False
LA,-1.4887181313246762,0.0686381729263512,-1.8488245093870902e-09,AMZN,False,False,False
EN,-0.2708909704310848,0.3933008166802053,-4.6123467364389943e-10,AMZN,False,False,False
P-LA,-0.3635306266682126,0.3581913705514202,-6.405299493762945e-10,AMZN,False,False,False
A-LA,3.3201753562974265,0.9995128367116748,8.139392557865058e-09,AMZN,False,False,False
BG,1.5587460529567465,0.9401130939719382,2.1704764741720806e-09,AMZN,False,False,False
RF,-0.6333317920723686,0.2634226481496063,-5.774721958263738e-10,AMZN,False,False,False
GB,-0.311862358935336,0.3776462587870118,-3.3489505687581324e-10,AMZN,False,False,False
NN1_ensemble,-1.1250606232178586,0.1305876458407005,-2.0260864470965606e-09,AMZN,False,False,False
NN1_top1,-0.7502833798178508,0.2267420759603889,-1.6798681074097532e-09,AMZN,False,False,False
NN2_ensemble,-1.148738797449821,0.1256431912333949,-1.879565562832855e-09,AMZN,False,False,False
NN2_top1,1.3019989330707828,0.9032018068256532,2.3821092509845355e-09,AMZN,False,False,False
NN3_ensemble,-1.17208538797646,0.12089778601877,-2.162331774063397e-09,AMZN,False,False,False
NN3_top1,1.1320169284346666,0.8708787675975295,1.686850960958309e-09,AMZN,False,False,False
NN4_ensemble,-0.5325467470884344,0.2973077963552909,-9.218161008865715e-10,AMZN,False,False,False
NN4_top1,-0.1458748449676386,0.4420434215293632,-2.6761681878670466e-10,AMZN,False,False,False
HAR,,,,JPM,False,False,False
LogHAR,-2.4687958639440484,0.0069674684268303,-4.95189059032006e-10,JPM,False,False,False
LevHAR,1.0321765402824696,0.8487224297661354,3.2156760694326604e-10,JPM,False,False,False
SHAR,2.940397104991854,0.998274842474878,1.1601821204257843e-09,JPM,False,False,False
HARQ,2.2571420552674777,0.9877561298442415,1.0692690025132872e-09,JPM,False,False,False
HAR-X,1.7971408378742575,0.9635013370156834,7.787891427314355e-10,JPM,False,False,False
RR,1.6205856186522398,0.9470893436309276,6.06177188123795e-10,JPM,False,False,False
LA,-1.3482492117394589,0.0891351495749367,-3.2259917104819e-10,JPM,False,False,False
EN,-1.2723835913519352,0.1019536612588794,-3.0738960202799156e-10,JPM,False,False,False
P-LA,-2.9591659366119183,0.0016254196029252,-1.3875845151875592e-10,JPM,False,False,False
A-LA,7.640716967154649,0.999999999999932,7.654570188650984e-09,JPM,False,False,False
BG,0.8485936735980915,0.8017160991343852,3.5087942141866576e-10,JPM,False,False,False
RF,-0.8118584940255509,0.2086554111798935,-3.1539955353077307e-10,JPM,False,False,False
GB,-0.9190956187919356,0.1792739936056484,-2.9224552712754676e-10,JPM,False,False,False
NN1_ensemble,-0.8093294917850944,0.2093810434659648,-1.5363545807379524e-10,JPM,False,False,False
NN1_top1,-0.0320838404248708,0.4872098528006702,-7.326526851356827e-12,JPM,False,False,False
NN2_ensemble,-1.965959740444169,0.0249650907051936,-5.774345903891365e-10,JPM,False,False,False
NN2_top1,0.7616928954786556,0.776674771712041,4.0855887496461346e-10,JPM,False,False,False
NN3_ensemble,-1.277423146438782,0.1010624927290477,-3.2881856450344635e-10,JPM,False,False,False
NN3_top1,1.0091164796948635,0.8432639374880689,4.5721184541444206e-10,JPM,False,False,False
NN4_ensemble,-1.084414335686714,0.1393868047799726,-3.6806378830946415e-10,JPM,False,False,False
NN4_top1,1.63029177067811,0.9481230908581176,2.3652364685119416e-09,JPM,False,False,False
