Model,DM stat,p-value,mean loss diff,ticker,bonferroni_significant,holm_significant,bh_fdr_significant
HAR,,,,AAPL,False,False,False
LogHAR,-1.6664142771175992,0.0481704880192783,-5.555435673942613e-10,AAPL,False,False,False
LevHAR,0.84624764662184,0.8010632208973245,2.5574108749690006e-10,AAPL,False,False,False
SHAR,0.2420016153567026,0.5955542969961155,4.403499105923493e-11,AAPL,False,False,False
HARQ,-1.0279645646388942,0.1522649894467154,-1.451393805549238e-10,AAPL,False,False,False
HAR-X,0.2598685409748827,0.6024567718063962,1.4941510108675594e-10,AAPL,False,False,False
RR,-0.2170843185075737,0.4141215142984361,-1.2461536292382488e-10,AAPL,False,False,False
LA,-1.8700023184336736,0.0310728971564081,-5.854325032550886e-10,AAPL,False,False,False
EN,-1.078193185702775,0.1407684713694618,-4.654726442931154e-10,AAPL,False,False,False
P-LA,-1.7985795422369546,0.0363844477157948,-7.007205110112128e-10,AAPL,False,False,False
A-LA,6.017316601706082,0.9999999981344068,9.758162374567603e-09,AAPL,False,False,False
BG,1.2586254272972663,0.8955842282471688,1.644109327736009e-09,AAPL,False,False,False
RF,0.815279304431927,0.7923237323321465,6.758766089731998e-10,AAPL,False,False,False
GB,0.0342649744980938,0.5136593209906235,2.0012536257503254e-11,AAPL,False,False,False
NN1_ensemble,-0.9737056063725542,0.1653682557490988,-7.865978009390225e-10,AAPL,False,False,False
NN1_top1,1.5561186781155298,0.939801401125304,2.787691325845577e-09,AAPL,False,False,False
NN2_ensemble,-1.2192444496124708,0.1117015750725722,-1.0727476625912807e-09,AAPL,False,False,False
NN2_top1,1.0481800495132343,0.8524351150668851,8.37121384158783e-10,AAPL,False,False,False
NN3_ensemble,-0.8211597793153949,0.2059994707657166,-6.100978458935046e-10,AAPL,False,False,False
NN3_top1,2.137982329743531,0.9834663690177888,1.7592848865442516e-09,AAPL,False,False,False
NN4_ensemble,-0.9968052138416188,0.1597028441168426,-7.742250128165226e-10,AAPL,False,False,False
