,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN1_top1,NN2_ensemble,NN2_top1,NN3_ensemble,NN3_top1,NN4_ensemble,NN4_top1
AAPL,9.846438107405035e-09,9.29089454001077e-09,1.0102179194901933e-08,9.890473098464268e-09,9.701298726850109e-09,9.99585320849179e-09,9.721822744481208e-09,9.261005604149945e-09,9.380965463111917e-09,9.145717596393819e-09,1.960460048197264e-08,1.1490547435141041e-08,1.0522314716378233e-08,9.866450643662535e-09,9.059840306466013e-09,1.263412943325061e-08,8.773690444813752e-09,1.0683559491563817e-08,9.236340261511528e-09,1.1605722993949286e-08,9.07221309458851e-09,1.0456736283068103e-08
AMZN,1.5512790388303078e-08,1.550832812194413e-08,1.6528720557648355e-08,1.5376886079697187e-08,1.5393853816269725e-08,1.474532562524031e-08,1.4750631671170378e-08,1.3663965878915987e-08,1.505155571465918e-08,1.4872260438926783e-08,2.3652182946168142e-08,1.7683266862475164e-08,1.4935318192476703e-08,1.5177895331427265e-08,1.3486703941206517e-08,1.3832922280893326e-08,1.3633224825470225e-08,1.789489963928762e-08,1.3350458614239682e-08,1.719964134926139e-08,1.4590974287416507e-08,1.5245173569516374e-08
JPM,6.5505532822900185e-09,6.055364223258014e-09,6.872120889233285e-09,7.710735402715803e-09,7.619822284803305e-09,7.329342425021454e-09,7.156730470413814e-09,6.227954111241829e-09,6.243163680262028e-09,6.411794830771263e-09,1.4205123470941006e-08,6.901432703708686e-09,6.2351537287592446e-09,6.2583077551624724e-09,6.396917824216224e-09,6.543226755438662e-09,5.9731186919008825e-09,6.959112157254633e-09,6.2217347177865736e-09,7.007765127704461e-09,6.182489493980555e-09,8.91578975080196e-09
