feature,treeshap,ale_vi,model,ticker,horizon
RVD,0.08597080572102757,0.06511212993519559,RF,AMZN,22
RVW,0.10895562970662363,0.11965205743426416,RF,AMZN,22
RVM,0.12263309360227694,0.0626938672960267,RF,AMZN,22
RVD_pos,0.055046905967948756,0.04315518396091733,RF,AMZN,22
RVD_neg,0.06975274534876252,0.06016554299488962,RF,AMZN,22
Rn_D,0.0180682892826375,0.014864276330747883,RF,AMZN,22
Rn_W,0.026593665188136214,0.03693139618887485,RF,AMZN,22
Rn_M,0.05198339249698258,0.04359461949027647,RF,AMZN,22
RQ_x_RV,0.0013864456874448242,0.004447186765397325,RF,AMZN,22
RQ_lag,0.0010413700991052759,0.004506951704700626,RF,AMZN,22
IV,0.08865351019903012,0.05680581177614976,RF,AMZN,22
M1W,0.027391521608725513,0.03950975300602717,RF,AMZN,22
VIX,0.1023526449101589,0.08033215295403576,RF,AMZN,22
EPU,0.018790936206299163,0.01075485207096754,RF,AMZN,22
HSI,0.02169011006371456,0.02779115054718934,RF,AMZN,22
ADS,0.1590065231737875,0.2909001623698968,RF,AMZN,22
US3M,0.030189132913911634,0.025641408998243388,RF,AMZN,22
EA,0.0005798628209203552,0.0,RF,AMZN,22
DVOL,0.00991341500250649,0.013141496176199712,RF,AMZN,22
RVD,0.06335351990937507,0.05051683017031125,GB,AMZN,22
RVW,0.09700142895407657,0.08376603006662582,GB,AMZN,22
RVM,0.1025773106663294,0.08891640944187679,GB,AMZN,22
RVD_pos,0.017603082006372138,0.013043937702577701,GB,AMZN,22
RVD_neg,0.044560546908101184,0.01891186826611682,GB,AMZN,22
Rn_D,0.026853867949855743,0.015724037793712536,GB,AMZN,22
Rn_W,0.04967734714326651,0.049735050240969865,GB,AMZN,22
Rn_M,0.07685541201568762,0.07758681989415497,GB,AMZN,22
RQ_x_RV,0.00045352054883897666,0.002961021847831389,GB,AMZN,22
RQ_lag,0.0008419303538587703,0.005731565516118249,GB,AMZN,22
IV,0.0735119185267218,0.0431731694786613,GB,AMZN,22
M1W,0.0532919956995138,0.05436229808061562,GB,AMZN,22
VIX,0.07108430581650556,0.04430834446953366,GB,AMZN,22
EPU,0.03880274673223936,0.05063878772133729,GB,AMZN,22
HSI,0.01679895036254938,0.012076792914743747,GB,AMZN,22
ADS,0.22829586585644066,0.3528095096186251,GB,AMZN,22
US3M,0.027489294193926084,0.022841473902249082,GB,AMZN,22
EA,0.0002769208805129319,0.0,GB,AMZN,22
DVOL,0.01067003547582855,0.012896052873938805,GB,AMZN,22
