date,regime,p_high
2016-01-04,1,0.9472666319157138
2016-01-05,1,0.9648599220779829
2016-01-06,1,0.991433529972211
2016-01-07,1,0.9993206782199803
2016-01-08,1,0.9999115818971337
2016-01-11,1,0.9996112174908757
2016-01-12,1,0.9998324666639163
2016-01-13,1,0.9999642815165934
2016-01-14,1,0.9999997656624884
2016-01-15,1,0.9999585551848094
2016-01-19,1,0.9999838713888771
2016-01-20,1,0.9999856556392466
2016-01-21,1,0.9999596327987855
2016-01-22,1,0.999006182502017
2016-01-25,1,0.998961106585256
2016-01-26,1,0.9988989152663904
2016-01-27,1,0.9999971076180325
2016-01-28,1,0.9999063855730249
2016-01-29,1,0.9991810248606672
2016-02-01,1,0.9990528531264511
2016-02-02,1,0.9996048304076275
2016-02-03,1,0.9999996240715378
2016-02-04,1,0.9999974678870871
2016-02-05,1,0.9999705338028552
2016-02-08,1,0.9999752293407276
2016-02-09,1,0.9999820033234769
2016-02-10,1,0.999900516947558
2016-02-11,1,0.9999982948827492
2016-02-12,1,0.9998820904273261
2016-02-16,1,0.9976077338129324
2016-02-17,1,0.9924289941354191
2016-02-18,1,0.9876751726332053
2016-02-19,1,0.980154179577058
2016-02-22,1,0.9609535641922495
2016-02-23,1,0.9972267247782758
2016-02-24,1,0.9995228906517774
2016-02-25,1,0.9995230503127532
2016-02-26,1,0.9992925269296163
2016-02-29,1,0.9994009307811434
2016-03-01,1,0.9997388545520296
2016-03-02,1,0.9999314333323175
2016-03-03,1,0.9987311490266297
2016-03-04,1,0.9991446898222427
2016-03-07,1,0.9965790026168861
2016-03-08,1,0.995295778894856
2016-03-09,1,0.9894581669120603
2016-03-10,1,0.9735942931840355
2016-03-11,0,0.38689676968926046
2016-03-14,0,0.24546384203790086
2016-03-15,0,0.22724418742975847
2016-03-16,0,0.2597008339753001
2016-03-17,0,0.19330223501556484
2016-03-18,0,0.13322130039830773
2016-03-21,0,0.05430655154463874
2016-03-22,0,0.007955171221250274
2016-03-23,0,0.0019969023798673603
2016-03-24,0,0.0008905368186096954
2016-03-28,0,0.00048061917976434675
2016-03-29,0,0.0004149936722143055
2016-03-30,0,0.0007830611414413994
2016-03-31,0,0.0020080444577417695
2016-04-01,0,0.00710820979790462
2016-04-04,0,0.002984080731542163
2016-04-05,0,0.0032350373029325103
2016-04-06,0,0.005339083134042391
2016-04-07,0,0.012558854597742496
2016-04-08,0,0.047467189100495896
2016-04-11,0,0.11862500686416337
2016-04-12,0,0.1949001426782237
2016-04-13,0,0.3983732148757946
2016-04-14,0,0.32961646774658615
2016-04-15,0,0.08729105076075792
2016-04-18,0,0.044965573642573704
2016-04-19,0,0.015916523702421678
2016-04-20,0,0.005275054641035587
2016-04-21,0,0.0041220247909719435
2016-04-22,0,0.0012506710949101568
2016-04-25,0,0.0006945839034755109
2016-04-26,0,0.0006009752352965533
2016-04-27,0,0.004368753691824054
2016-04-28,0,0.004669050848216361
2016-04-29,0,0.007238571006088852
2016-05-02,0,0.0037270773295705255
2016-05-03,0,0.0023783551590456716
2016-05-04,0,0.0034761825188237795
2016-05-05,0,0.004613863649049201
2016-05-06,0,0.007551692521219124
2016-05-09,0,0.006013091975826506
2016-05-10,0,0.007565523457091236
2016-05-11,0,0.04175769491697666
2016-05-12,0,0.2309510879737948
2016-05-13,0,0.38785258347802865
2016-05-16,0,0.42358177160671423
2016-05-17,1,0.534571575568441
2016-05-18,1,0.6798813346599388
2016-05-19,1,0.6735111401037758
2016-05-20,0,0.4091405161035215
2016-05-23,0,0.14645060700667048
2016-05-24,0,0.021364632689994393
2016-05-25,0,0.003628883849886788
2016-05-26,0,0.00036151862687720424
2016-05-27,0,9.561735824257427e-05
2016-05-31,0,0.0001728395538597214
2016-06-01,0,0.0010573022134872257
2016-06-02,0,0.0007265351259570388
2016-06-03,0,0.0023685114728850248
2016-06-06,0,0.001050909604971218
2016-06-07,0,0.00013975453988337403
2016-06-08,0,7.158389435480028e-05
2016-06-09,0,0.00014309640776446523
2016-06-10,0,0.000675946042618252
2016-06-13,0,0.010580003936996988
2016-06-14,0,0.02203899923093488
2016-06-15,0,0.026286940999014352
2016-06-16,0,0.023128952035609263
2016-06-17,0,0.01892971557131652
2016-06-20,0,0.02066408934101803
2016-06-21,0,0.02710953298758479
2016-06-22,0,0.053025228365805116
2016-06-23,0,0.15107282987149934
2016-06-24,1,0.8744770399876641
2016-06-27,1,0.8490403882754844
2016-06-28,1,0.6211931819553724
2016-06-29,0,0.3210124601727661
2016-06-30,0,0.2830110954836105
2016-07-01,0,0.10789836670439933
2016-07-05,0,0.059438821388370214
2016-07-06,0,0.04393040101194647
2016-07-07,0,0.024936042414134652
2016-07-08,0,0.006531106657649129
2016-07-11,0,0.0017296067981765282
2016-07-12,0,0.0006657248233539854
2016-07-13,0,0.0003292308975078239
2016-07-14,0,0.00033279483557635287
2016-07-15,0,0.00012871241674631065
2016-07-18,0,5.585047787962098e-05
2016-07-19,0,7.090568129510344e-05
2016-07-20,0,9.991276740473106e-05
2016-07-21,0,8.456062576145036e-05
2016-07-22,0,5.12052857974285e-05
2016-07-25,0,6.981169901630716e-05
2016-07-26,0,9.378942552411244e-05
2016-07-27,0,0.00024261401758995742
2016-07-28,0,0.0001278800959356608
2016-07-29,0,8.318605930947785e-05
2016-08-01,0,0.00019281346105173941
2016-08-02,0,0.0011288206464887566
2016-08-03,0,0.0002167035258507018
2016-08-04,0,0.00011174582753426646
2016-08-05,0,0.00011079722150664036
2016-08-08,0,9.269353454909824e-05
2016-08-09,0,5.352079220786902e-05
2016-08-10,0,8.940287071246069e-05
2016-08-11,0,0.00024464377590279905
2016-08-12,0,7.510947887169066e-05
2016-08-15,0,5.228843599558241e-05
2016-08-16,0,8.515461065127704e-05
2016-08-17,0,0.000107901121428725
2016-08-18,0,0.0001389001248489015
2016-08-19,0,8.565269983124662e-05
2016-08-22,0,9.7088562275875e-05
2016-08-23,0,5.426995984171079e-05
2016-08-24,0,0.00016145893535725444
2016-08-25,0,6.67334610246987e-05
2016-08-26,0,0.0003636626458500998
2016-08-29,0,6.048943862772203e-05
2016-08-30,0,5.6179171276371326e-05
2016-08-31,0,0.0001356721346629251
