ticker,AAPL,AAPL,AMZN,AMZN,JPM,JPM
regime,high_vol,low_vol,high_vol,low_vol,high_vol,low_vol
model,,,,,,
A-LA,5.920921520707085e-09,9.962680005584497e-09,3.751714287062984e-09,1.0569567710285831e-08,4.0543773205067055e-09,9.138009320115944e-09
BG,1.747008484347292e-08,4.813895787260602e-08,3.639608964808223e-08,3.2246511930931684e-08,6.749428158132288e-09,7.936104658166893e-08
EN,7.4029166054338215e-09,4.771382701372631e-09,7.450946901447442e-09,3.6681778595667013e-09,5.617995655172713e-09,4.883844434170449e-09
GB,6.484729757155231e-09,1.7581151936468197e-08,2.39672982702567e-08,1.7644776600692087e-08,2.9097086183185903e-09,8.940102070530131e-09
HAR,8.136854829538456e-09,4.241451409462454e-09,5.796821853864487e-09,4.4280686767825105e-09,1.0413100127616115e-08,3.948516514588596e-09
HAR-X,1.2466794248319615e-08,3.405935086351631e-09,7.422429470722476e-09,4.264452892166431e-09,2.6891002874858906e-08,3.8601343654476295e-09
HARQ,9.618514717069255e-09,3.829139441747316e-09,7.466432976993653e-09,4.421391522769049e-09,2.9762482535216082e-08,3.2382261360850336e-09
LA,7.484740309712171e-09,4.665370348652276e-09,5.862804684720716e-09,3.3614844722187665e-09,5.832958388586169e-09,4.632229837908657e-09
LevHAR,7.009433910552481e-09,3.5056796536138993e-09,6.147799357536709e-09,3.5723221941332043e-09,1.7144262418836943e-08,3.3906205335946557e-09
LogHAR,6.3582502407396065e-09,2.4420658245048922e-09,8.289074635815466e-09,4.147291446788378e-09,8.025134246346042e-09,2.2258077834147925e-09
NN1_ensemble,9.679324756750352e-09,4.122471478357807e-09,9.022154922931279e-09,3.961529340371561e-09,1.1062074017255274e-08,3.255486150940694e-09
NN1_top1,1.0409512344505791e-08,5.016923735048075e-09,9.805947523331706e-09,4.42680895440667e-09,8.798360641694827e-09,3.80211001468227e-09
NN2_ensemble,8.795327125237785e-09,4.042240997641292e-09,8.601536185003329e-09,2.9890944400444386e-09,8.010960979113652e-09,3.564728381589974e-09
NN2_top1,9.804438012055314e-09,3.428134725625228e-09,8.845709802122205e-09,4.748026671255818e-09,1.0487613043603693e-08,5.888494115240028e-09
NN3_ensemble,8.245883430949125e-09,3.6384741673165636e-09,1.0018476492557052e-08,2.7766883302190594e-09,4.097358891360584e-09,3.4301249104278847e-09
NN3_top1,1.1666340599236244e-08,3.999048306707888e-09,9.279332967253068e-09,5.484270818905126e-09,8.34037528741474e-09,3.119590868166023e-09
NN4_ensemble,7.918292403348473e-09,2.921957982958295e-09,1.0545147081731132e-08,3.4577244549369126e-09,4.0635280888887055e-09,6.89418281161461e-09
NN4_top1,9.800938025714055e-09,2.9437488577181795e-09,1.4375057215442348e-08,2.8059077137701794e-09,5.818139149710229e-09,1.2105707144459701e-08
P-LA,9.076155082077606e-09,3.2620460799410636e-09,7.663124938267409e-09,3.767126952304374e-09,1.1152677354356747e-08,2.1887419365195995e-09
RF,1.2401669191845683e-08,1.7902575935346477e-08,2.0962142726027635e-08,1.8724481899960083e-08,1.2449337910121898e-08,2.8471881822662132e-08
RR,1.1918397066210093e-08,3.2983875792355294e-09,7.67941023202755e-09,3.735341464445794e-09,2.5973163171750905e-08,3.949680862597508e-09
SHAR,8.242990194017014e-09,4.255412848100263e-09,5.784788024174859e-09,4.40085816600655e-09,9.648381861404961e-09,4.014753912874675e-09
