,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN2_ensemble,NN3_ensemble,NN4_ensemble
AAPL,5.169539570620325e-08,5.249055757094408e-08,5.159508607639971e-08,5.185267829861755e-08,5.529040220556558e-08,8.136056189271675e-08,7.507875778023459e-08,6.480608166771984e-08,6.33247682497013e-08,5.274639214753589e-08,7.189165734505171e-08,6.219961770640036e-08,6.054990672415438e-08,6.68945935364671e-08,5.91696737190031e-08,5.773255259237015e-08,6.152943705649616e-08,7.140365389505672e-08
AMZN,3.6198144912754674e-08,3.4887015597714234e-08,3.519063312504936e-08,3.6194336682097905e-08,3.442899450686568e-08,6.087895816214571e-08,6.087895755086241e-08,3.835631243725108e-08,3.853324747510396e-08,3.6198144912754846e-08,6.328435865164293e-08,4.043094349259731e-08,3.4620017652214076e-08,4.431258728061156e-08,4.625188920859727e-08,4.711219825346305e-08,5.199550592306313e-08,5.269926893153238e-08
JPM,1.090031999845016e-07,1.1510293326002655e-07,1.1252692119086211e-07,1.0975393713188899e-07,1.1645457061319567e-07,1.1088244451468155e-07,1.0950234944992368e-07,1.3457644640021963e-07,1.3604978645887726e-07,1.1150373808564929e-07,1.3911192731598917e-07,1.3372628974258114e-07,1.291662846208855e-07,1.2779472758656174e-07,1.3391211864185056e-07,1.3617264838279762e-07,1.401603615072211e-07,1.3107019682612539e-07
