,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN1_top1,NN2_ensemble,NN2_top1,NN3_ensemble,NN3_top1,NN4_ensemble,NN4_top1
AAPL,1.0,0.6659368575545116,0.8418376863113334,1.0075678103753665,1.0252595295256912,1.1227222677962203,1.0789319349486954,1.0209801348539758,1.0306055070250366,0.9209563069939366,1.6380070609299926,7.314447148589436,3.038390527147825,2.6769823072369867,1.0673700680117346,1.2251333867261185,1.0091111346154074,0.9821905620249373,0.9260485950727646,1.158107865046925,0.8135372011646785,0.9178751943384272
AMZN,1.0,1.2135202055568166,0.9492117057251305,0.9961390897115835,1.161014141276229,1.141205888762312,1.1136737513489783,0.9007277029193554,1.0848970695519218,1.1152456216630808,1.410374124942405,6.718906543275188,3.8848044937365143,4.0688450679176364,1.2661049026691902,1.388096064777743,1.1290398334257383,1.3269337154049528,1.2452061323109256,1.4418597040738448,1.3636730923140088,1.669967190289695
JPM,1.0,0.6303568862052222,1.1123691039088544,0.987724212176165,1.476422009718404,1.494405051113178,1.4813962226504296,0.9757546672281779,1.0123100245521657,0.7207120938354714,1.6944098517018986,13.835293489629974,5.2737176745807535,1.6250295118571905,0.9010738577268326,0.9249255376420091,0.8598158853502831,1.33540519821184,0.71567551847363,0.7935713971035558,1.3094200492863466,2.2585183446133206
