,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB
AAPL,1.8824911400843896e-08,1.8197964503246617e-08,1.746051116865094e-08,1.8574887704487695e-08,1.9095587725946416e-08,1.9466079566033022e-08,1.8081424446089688e-08,1.7296082621311592e-08,1.7248088180444436e-08,1.8716457894270724e-08,2.991169875914882e-08,2.139144392990998e-08,1.8784525069712347e-08,2.3454896379188004e-08
AMZN,4.415803518592101e-08,4.1972519809340316e-08,3.989369074166712e-08,4.224826950488646e-08,4.3522009684864026e-08,4.326520496053387e-08,4.1050229577176e-08,4.2240654425477715e-08,4.2496954041065837e-08,4.440510990418649e-08,8.760657403036236e-08,4.295715514650638e-08,3.824831825452904e-08,4.474799024485771e-08
JPM,1.4151619012021772e-08,1.3091102747066449e-08,1.4297755051170557e-08,1.5255203631864465e-08,1.723005068041903e-08,2.0033921588735717e-08,1.92875538822987e-08,1.487883607746998e-08,1.4767079715379617e-08,1.3887451161651115e-08,2.1609486617623266e-08,1.31848812444858e-08,1.2614007172173587e-08,1.281373016850782e-08
