ticker,COMB_AVG,COMB_BG,COMB_MSE
AAPL,9.12827268709092e-09,1.0522314716378233e-08,9.689749202282898e-09
AMZN,1.3696394210645211e-08,1.4935318192476703e-08,1.3979198985740834e-08
JPM,5.866071949499341e-09,6.2351537287592446e-09,5.965210888239876e-09
