feature,treeshap,ale_vi,model,ticker,horizon
RVD,0.12769249292877297,0.13172447571290222,RF,JPM,1
RVW,0.0801084647222244,0.046101828777819834,RF,JPM,1
RVM,0.02550245223883978,0.034556342641858064,RF,JPM,1
RVD_pos,0.06394372043271,0.06077338181247155,RF,JPM,1
RVD_neg,0.1123744998309666,0.14207024085886835,RF,JPM,1
Rn_D,0.03472759387893461,0.06227191724641527,RF,JPM,1
Rn_W,0.020428019075326122,0.03535386557328483,RF,JPM,1
Rn_M,0.027383049973269295,0.03917282754768626,RF,JPM,1
RQ_x_RV,0.026086679239593086,0.009551434155926384,RF,JPM,1
RQ_lag,0.007373479346063872,0.025435432597654017,RF,JPM,1
IV,0.17431020003837938,0.0799628949875413,RF,JPM,1
M1W,0.014680777291206442,0.0297119652104688,RF,JPM,1
VIX,0.17888585439131116,0.06001669932510186,RF,JPM,1
EPU,0.02082728676376824,0.05098041466425334,RF,JPM,1
HSI,0.021209089542411474,0.040605968799388784,RF,JPM,1
ADS,0.024973477479979675,0.008708196645868421,RF,JPM,1
US3M,0.015048753424573992,0.023536753716584646,RF,JPM,1
EA,0.00015705731290018056,0.0,RF,JPM,1
DVOL,0.024287052088768815,0.11946535972590613,RF,JPM,1
RVD,0.07959264373795619,0.10269819206041904,GB,JPM,1
RVW,0.10354479018650649,0.03415927939398885,GB,JPM,1
RVM,0.03411447656166838,0.02991669819999702,GB,JPM,1
RVD_pos,0.07777186802785202,0.02944907408367971,GB,JPM,1
RVD_neg,0.026327551865425503,0.037596138598070705,GB,JPM,1
Rn_D,0.09971508764675358,0.09358626317853842,GB,JPM,1
Rn_W,0.030220766988814256,0.12808863322036096,GB,JPM,1
Rn_M,0.040993317763536596,0.04187370050788876,GB,JPM,1
RQ_x_RV,0.0023666191740343186,0.0,GB,JPM,1
RQ_lag,0.005191680593979165,0.0,GB,JPM,1
IV,0.21275465335398808,0.06840362830930954,GB,JPM,1
M1W,0.02201071920697933,0.04125172571453876,GB,JPM,1
VIX,0.1285502251264329,0.034829983138872145,GB,JPM,1
EPU,0.029342004454342874,0.08969852757430889,GB,JPM,1
HSI,0.021615234765726136,0.037529861266533876,GB,JPM,1
ADS,0.011104321268937132,0.014476103726928095,GB,JPM,1
US3M,0.021861517207579412,0.05046644724192882,GB,JPM,1
EA,0.0002584362786535345,0.0,GB,JPM,1
DVOL,0.05266408579083414,0.1659757437846363,GB,JPM,1
