Model,DM stat,p-value,mean loss diff,ticker
HAR,,,,AAPL
LogHAR,-1.8754822022128723,0.03069344421955774,-1.1186370257509628e-09,AAPL
LevHAR,-0.747807651884092,0.22748737996420282,-1.4258920498801862e-10,AAPL
SHAR,1.2457346800191285,0.8932383808249772,4.7737846217780085e-11,AAPL
HARQ,0.8406012906933099,0.7994865701406378,1.263824201001927e-10,AAPL
HAR-X,2.25378291672283,0.9876499425233171,9.188012149486724e-10,AAPL
RR,1.428339158905642,0.9230489558335389,4.902998711695019e-10,AAPL
LA,-1.1908512073596005,0.1171762890500251,-4.613144220186122e-10,AAPL
EN,-1.2019220860870943,0.1150193650777416,-4.623871684243979e-10,AAPL
P-LA,-1.0784759556799277,0.14070546888638286,-3.624776045828838e-10,AAPL
A-LA,4.3470653961088495,0.9999914260618684,5.896313168445129e-09,AAPL
BG,1.5566403471611332,0.9398633893646828,3.152005585786365e-09,AAPL
RF,1.3159401328583273,0.905561117101714,1.1679225086071412e-09,AAPL
GB,-0.3992060661202671,0.34496731040306333,-1.448797942762082e-10,AAPL
NN1_ensemble,-0.8074147818968742,0.20993141009449276,-7.061646240055249e-10,AAPL
NN1_top1,-0.8927342307269782,0.18624319516289745,-6.253831615218228e-10,AAPL
NN2_ensemble,-0.8598061702030732,0.19518152496667898,-7.599042530862102e-10,AAPL
NN2_top1,0.742616025056495,0.7709452230368568,9.158533274129482e-10,AAPL
NN3_ensemble,-1.268828344925331,0.10258579543145302,-7.948093901770399e-10,AAPL
NN3_top1,0.23970512947216172,0.5946648848889309,3.412007233628626e-10,AAPL
NN4_ensemble,-1.0646398924944147,0.1438107430849167,-8.454150740521668e-10,AAPL
NN4_top1,3.6102556654879847,0.9998294951571518,2.751766492147032e-09,AAPL
HAR,,,,AMZN
LogHAR,0.42582713221495216,0.6647792208987353,1.3209898834733565e-10,AMZN
LevHAR,-0.5124019542718574,0.3043131258868278,-1.936398636708621e-10,AMZN
SHAR,0.011814669523076035,0.5047105901442823,2.3915177839109464e-12,AMZN
HARQ,1.1838249195498658,0.8814399618512576,3.945860074345684e-10,AMZN
HAR-X,1.8924228310120745,0.970455331009186,1.2542479226276134e-09,AMZN
RR,2.2770809162545826,0.9883702297289797,1.6603392057572631e-09,AMZN
LA,-0.03889648341241137,0.48449526102311263,-1.81441605549857e-11,AMZN
EN,2.0045347740564585,0.9771881671772632,1.384108096937848e-09,AMZN
P-LA,2.3673451094311577,0.9908264903171156,1.7502889972084725e-09,AMZN
A-LA,2.9626223773553355,0.9983923627251352,3.568778032529605e-09,AMZN
BG,3.1685678249324067,0.999180766743672,3.899341891099167e-09,AMZN
RF,2.3022662237151,0.9891074363110913,1.883335691621305e-09,AMZN
GB,2.08638363751857,0.9812410806554865,1.4884885480096434e-09,AMZN
NN1_ensemble,1.0171472674836726,0.8451794651368062,7.018847805905843e-10,AMZN
NN1_top1,3.2593446772946977,0.9993984316056651,2.561784929705996e-09,AMZN
NN2_ensemble,0.7984205822205958,0.7874718939313635,4.577505337123687e-10,AMZN
NN2_top1,4.418849080656525,0.9999937479096966,3.839851490281187e-09,AMZN
NN3_ensemble,1.8575213876626013,0.9680483135879976,1.5914319231392536e-09,AMZN
NN3_top1,3.1441744162333554,0.9991109620434024,3.8459883558521884e-09,AMZN
NN4_ensemble,2.206374731110846,0.9860637446454136,2.000493440476985e-09,AMZN
NN4_top1,3.9211369921580577,0.9999489178561707,5.396170592631889e-09,AMZN
HAR,,,,JPM
LogHAR,-2.6973410042722863,0.0036287287104695746,-1.280860243152632e-09,JPM
LevHAR,1.899533999691434,0.9709267661614691,3.350431572670396e-10,JPM
SHAR,-0.0001937047385510079,0.4999227667857385,-9.931839797423167e-14,JPM
HARQ,3.1227006831010433,0.9990450138232013,2.1236472363232818e-09,JPM
HAR-X,1.222870611339211,0.8889841685793942,9.962696317449786e-10,JPM
RR,1.0213290798908088,0.8461707538112316,7.341866381327936e-10,JPM
LA,0.4334803152946882,0.6675610902477205,2.035195308289231e-10,JPM
EN,1.1035826163974398,0.8648119736616547,5.662230539154735e-10,JPM
P-LA,-3.1746477625442107,0.0008026409898079548,-1.3912390734241691e-10,JPM
A-LA,5.209417320438561,0.9999998543151111,5.74201296093918e-09,JPM
BG,1.6004222540497703,0.944889482823555,1.0090325356981522e-09,JPM
RF,-0.9829106135126837,0.16309518146464835,-5.646832279555198e-10,JPM
GB,-2.7132862026289093,0.003461407511439452,-1.6554328862926549e-09,JPM
NN1_ensemble,-1.9719937783237955,0.0246173940614097,-1.0035511573256284e-09,JPM
NN1_top1,-1.3092645217657155,0.09556325309117435,-1.015999090179187e-09,JPM
NN2_ensemble,-2.233944246733587,0.012993654369087193,-1.3607448353768808e-09,JPM
NN2_top1,-2.142759814403398,0.01633956043536113,-1.2738185149329905e-09,JPM
NN3_ensemble,-2.171725878527165,0.015204325017347954,-1.2461445449211687e-09,JPM
NN3_top1,-0.5364577240205595,0.29595637426667426,-3.472633544190268e-10,JPM
NN4_ensemble,-1.406587679007221,0.08012698452285563,-8.517917506938405e-10,JPM
NN4_top1,-1.7956928626542772,0.036613911300587616,-1.0697079376995848e-09,JPM
