,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB
AAPL,7.446500613827647e-08,7.784716468406432e-08,7.462083579750579e-08,7.417765570207694e-08,9.805988280683138e-08,7.322792722988691e-08,7.402816422277657e-08,8.833162344625375e-08,8.8777740341245e-08,7.287764992145514e-08,1.5054280264313425e-07,9.72286236897912e-08,9.798616675947869e-08,1.1166354815656985e-07
AMZN,5.506299895995096e-08,5.547248353629372e-08,5.4767450541857526e-08,5.5515832735125514e-08,6.296079217099702e-08,5.673429905412814e-08,5.5291996523547414e-08,5.466109826802209e-08,5.466109826802209e-08,5.530832824490392e-08,1.2374660518414253e-07,7.861144170098563e-08,7.69852646103668e-08,7.367632275854874e-08
JPM,1.0273886066682765e-07,1.2775343738241014e-07,1.1041767407042762e-07,1.1600543112758287e-07,1.0281208588753608e-07,1.2371016483220484e-07,1.2116989346528875e-07,1.4205214424570152e-07,1.4205214424570152e-07,1.1718390193715556e-07,2.5589222755543257e-07,1.6248700180002333e-07,1.7561684922069145e-07,1.7146457126200853e-07
