feature,treeshap,ale_vi,model,ticker,horizon
RVD,0.028336985493507265,0.037616716483486946,RF,JPM,22
RVW,0.043780307703788136,0.04262728898037695,RF,JPM,22
RVM,0.15148411295437755,0.1144863173349627,RF,JPM,22
RVD_pos,0.023295265188240228,0.05552082642273189,RF,JPM,22
RVD_neg,0.026017501611257363,0.018603125960592982,RF,JPM,22
Rn_D,0.011672603399269382,0.007240263850654719,RF,JPM,22
Rn_W,0.023810954382539273,0.01345561703332664,RF,JPM,22
Rn_M,0.1628699558664022,0.06936784669682647,RF,JPM,22
RQ_x_RV,0.01189083884170001,0.034001953916360704,RF,JPM,22
RQ_lag,0.009247668523082663,0.014394913464649,RF,JPM,22
IV,0.0903475702190987,0.08581632610257574,RF,JPM,22
M1W,0.010091422107411417,0.018066262035531903,RF,JPM,22
VIX,0.10054410323795576,0.1174616089902902,RF,JPM,22
EPU,0.022670406691734854,0.004685630464604645,RF,JPM,22
HSI,0.01467316411432939,0.015326222386222199,RF,JPM,22
ADS,0.21894907953486223,0.332746972209795,RF,JPM,22
US3M,0.042257385530554754,0.006459663002074222,RF,JPM,22
EA,0.00014360351468035586,0.0,RF,JPM,22
DVOL,0.007917071085208461,0.01212244466493716,RF,JPM,22
RVD,0.011864199318268553,0.010260613781289809,GB,JPM,22
RVW,0.028118132528231657,0.013189078806003255,GB,JPM,22
RVM,0.2865397135091582,0.22843470598130508,GB,JPM,22
RVD_pos,0.01625612899314226,0.060731543964613395,GB,JPM,22
RVD_neg,0.011900142880181241,0.010613767011173506,GB,JPM,22
Rn_D,0.006121310019251063,0.0032016886638042957,GB,JPM,22
Rn_W,0.023286747493308984,0.015361148946135012,GB,JPM,22
Rn_M,0.06460470419297806,0.03514998192862889,GB,JPM,22
RQ_x_RV,0.0001613424473837576,0.0010528854128897076,GB,JPM,22
RQ_lag,0.0003008836357044057,0.0003868922444129929,GB,JPM,22
IV,0.05658578243269867,0.03164290067190416,GB,JPM,22
M1W,0.021264720514884154,0.00525142241915956,GB,JPM,22
VIX,0.048310583930573615,0.024837894997712395,GB,JPM,22
EPU,0.011078104678832345,0.005078940139853501,GB,JPM,22
HSI,0.0056862346645694985,0.005724021501343355,GB,JPM,22
ADS,0.38526053312654296,0.5371957780012333,GB,JPM,22
US3M,0.01726350140229759,0.005135271418996525,GB,JPM,22
EA,0.0,0.0,GB,JPM,22
DVOL,0.0053972342319928614,0.006751464109541342,GB,JPM,22
