,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB
AAPL,1.0536147188461504e-08,9.531758238910256e-09,1.0217062981977931e-08,1.06533867381745e-08,1.115534469262766e-08,1.2381637370132698e-08,1.1308407564201453e-08,9.728715266392918e-09,9.631945074856914e-09,1.0673419755775168e-08,1.760625286726609e-08,1.3506944138507595e-08,1.153935249959975e-08,1.1125667402902186e-08
AMZN,2.4563565233294484e-08,2.1906594548909575e-08,2.2622426914273737e-08,2.4569326251454235e-08,2.3940817703256506e-08,2.4879002699514762e-08,2.3813521558446424e-08,3.0478914362867806e-08,2.999328816330814e-08,3.083078884683901e-08,6.137714704205105e-08,3.2037966680626245e-08,2.544355823400153e-08,3.127562893525528e-08
JPM,8.521950244305012e-09,6.504539044449778e-09,8.946087946723131e-09,8.826904068310647e-09,1.7313883266179297e-08,1.6204356620762897e-08,1.4557027680960782e-08,8.78263017091797e-09,8.85411889311813e-09,1.0066209451971486e-08,1.1679760396183171e-08,7.815028571152003e-09,6.999006892678507e-09,1.0501755847176779e-08
