,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN1_top1,NN2_ensemble,NN2_top1,NN3_ensemble,NN3_top1,NN4_ensemble,NN4_top1
HAR,1.0,0.9080916057857579,0.9084290284374366,0.9927741291765418,0.922837459690979,0.7768936386029558,0.7801528995197363,0.9171797703934504,0.8629692894965137,0.871886271302711,0.7415157921749169,0.3008335472670292,0.45223540489267117,0.49084228122670365,0.8405809279240362,0.7710378729592224,0.8380172777385188,0.7747412298277219,0.8147282051343376,0.6945825084720484,0.7881355361265201,0.6698272956258899
LogHAR,0.9080916057857579,1.0,0.8645945307846981,0.9034890784057574,0.8754431713365559,0.7284576391979444,0.7218539045019076,0.7919436138318816,0.7354816878580285,0.8059573505244887,0.5318287304959174,0.3002484429420741,0.44891324056473864,0.5086126052337846,0.8627904133135825,0.8104301308464016,0.8317762107350067,0.7826373234986175,0.8156260819464434,0.7329020204258322,0.7431684892019258,0.5814084506546622
LevHAR,0.9084290284374366,0.8645945307846981,1.0,0.8926189579164576,0.8935600711342379,0.7656357530041862,0.7694355681347664,0.8130082712659831,0.7658371828570923,0.8279447023990049,0.5880080792836335,0.24652347043981382,0.3884031335412716,0.40403586856844464,0.7901498924676781,0.7192497990329288,0.7658157040895914,0.7087435170903758,0.7109165624318404,0.6357108826446461,0.6504746023597329,0.5359732295007671
SHAR,0.9927741291765418,0.9034890784057574,0.8926189579164576,1.0,0.9076453046111798,0.7683646755532867,0.7709357392499011,0.9155270143159839,0.861851964093542,0.865665707349288,0.7444314755664412,0.29931772662767103,0.4492636072439265,0.4917647671228684,0.8321756404434384,0.7666363743709285,0.8295762428276771,0.7703757030647169,0.8129334926088483,0.6831538312235146,0.7899277763988651,0.6715716652694048
HARQ,0.922837459690979,0.8754431713365559,0.8935600711342379,0.9076453046111798,1.0,0.7442591340651149,0.7366768290448373,0.7734473318542382,0.7192466333985423,0.8107236714922329,0.5273687883022047,0.27563629395706907,0.4248302440593565,0.4344682069377875,0.8034967002607838,0.7271808197701966,0.7679390768230252,0.7072421993889664,0.7172918745104011,0.6653006291587736,0.6533370168571873,0.5153371305378749
HAR-X,0.7768936386029558,0.7284576391979444,0.7656357530041862,0.7683646755532867,0.7442591340651149,1.0,0.992658476727641,0.8172935946994981,0.8133059728432811,0.9043024185704401,0.5071116666873597,0.23129809111556812,0.38189181448388926,0.3529978885037015,0.8245649908562598,0.7317690317053873,0.7823012027065519,0.684566775744518,0.7520159614472808,0.713519289969447,0.6304417360226797,0.5367819156538091
RR,0.7801528995197363,0.7218539045019076,0.7694355681347664,0.7709357392499011,0.7366768290448373,0.992658476727641,1.0,0.8366711045240476,0.8385985548221532,0.9078907401385851,0.5195158501973884,0.22585023117609432,0.3771790601787147,0.35793682620314954,0.8265608180876588,0.7321363532477513,0.7927557642438735,0.6797238875693952,0.7606861062419654,0.7015881781675846,0.6530785118724469,0.5683604445211615
LA,0.9171797703934504,0.7919436138318816,0.8130082712659831,0.9155270143159839,0.7734473318542382,0.8172935946994981,0.8366711045240476,1.0,0.9834092107749,0.9367639168195817,0.7890450464819988,0.27788379811700803,0.4236869032604461,0.474429228809529,0.8510354950443672,0.7858637469828068,0.8759957507551407,0.7817957946211687,0.8638595429814669,0.7154270394667884,0.8432497366085288,0.7611458837897523
EN,0.8629692894965137,0.7354816878580285,0.7658371828570923,0.861851964093542,0.7192466333985423,0.8133059728432811,0.8385985548221532,0.9834092107749,1.0,0.9398461311218681,0.7335715195649589,0.26295686289400644,0.40025205579744577,0.4543934310999434,0.8137688850640609,0.7450636865924021,0.8462210810477127,0.7385330695046022,0.841519098711171,0.6758518390348723,0.8229620985014371,0.7627690381750915
P-LA,0.871886271302711,0.8059573505244887,0.8279447023990049,0.865665707349288,0.8107236714922329,0.9043024185704401,0.9078907401385851,0.9367639168195817,0.9398461311218681,1.0,0.6152297810573331,0.25146610664416813,0.40487882584935064,0.41964468085638973,0.8652590096542861,0.7915796564011414,0.8641584305886457,0.7556542662912346,0.8330344314403838,0.7413439429791767,0.7400931784343516,0.6354674114888853
