alpha,model,n,expected_hits,observed_hits,hit_rate,quantile_loss,kupiec_LR,kupiec_p,christoffersen_LR,christoffersen_p,ticker,horizon
0.05,HAR,442,22.1,25,0.05656108597285068,0.0013120293393421086,0.38498566384200217,0.534946997332626,0.5371603555233548,0.7644641273300053,JPM,5
0.05,LogHAR,442,22.1,28,0.06334841628959276,0.001328364719952603,1.5343982124019533,0.21545354980825937,1.9864804005881354,0.3703746565863628,JPM,5
0.05,LevHAR,442,22.1,28,0.06334841628959276,0.0013525338621998844,1.5343982124019533,0.21545354980825937,1.9864804005881354,0.3703746565863628,JPM,5
0.05,SHAR,442,22.1,23,0.05203619909502263,0.0013182116512634044,0.03809435105807779,0.8452538031005928,0.5431318049384402,0.762185051935941,JPM,5
0.05,HARQ,442,22.1,31,0.07013574660633484,0.0013262947197943847,3.371382184212763,0.06633807771900879,3.3888359140900093,0.1837061227708734,JPM,5
0.05,HAR-X,442,22.1,31,0.07013574660633484,0.0013500082235703632,3.371382184212763,0.06633807771900879,3.6967309139279507,0.1574943873910214,JPM,5
0.05,RR,442,22.1,30,0.06787330316742081,0.0013540798533556333,2.6867579956350767,0.10118549992050296,2.687703282722339,0.2608390727404799,JPM,5
0.05,LA,442,22.1,19,0.042986425339366516,0.0013273069818870874,0.4795623717102444,0.4886206111381084,0.5207979675240892,0.770744010104067,JPM,5
0.05,EN,442,22.1,19,0.042986425339366516,0.0013307447417932547,0.4795623717102444,0.4886206111381084,0.5207979675240892,0.770744010104067,JPM,5
0.05,P-LA,442,22.1,25,0.05656108597285068,0.0013145412826567875,0.38498566384200217,0.534946997332626,0.5371603555233548,0.7644641273300053,JPM,5
0.05,A-LA,442,22.1,13,0.029411764705882353,0.0013826913635791745,4.599469674475515,0.03198184777593682,5.34642812175268,0.06903000175270013,JPM,5
0.05,BG,442,22.1,22,0.049773755656108594,0.0013385625777719626,0.00047698602656964795,0.9825755786120264,0.01034042028999238,0.994843132387007,JPM,5
0.05,RF,442,22.1,24,0.05429864253393665,0.0013222425716100325,0.16746892929637625,0.6823711167543003,0.2540477918645365,0.8807126268964245,JPM,5
0.05,GB,442,22.1,25,0.05656108597285068,0.001333941314111831,0.38498566384200217,0.534946997332626,0.5371603555233548,0.7644641273300053,JPM,5
0.05,NN1_ensemble,442,22.1,28,0.06334841628959276,0.0013142384630408814,1.5343982124019533,0.21545354980825937,1.9864804005881354,0.3703746565863628,JPM,5
0.05,NN1_top1,442,22.1,21,0.04751131221719457,0.001309359935327288,0.05856195184890112,0.8087834422468483,0.05856195184890112,0.9711435581693199,JPM,5
0.05,NN2_ensemble,442,22.1,26,0.058823529411764705,0.0013267224895602725,0.687319913052562,0.407077476327924,0.9225555232773672,0.6304775306025965,JPM,5
0.05,NN2_top1,442,22.1,26,0.058823529411764705,0.0013043775721733849,0.687319913052562,0.407077476327924,0.9225555232773672,0.6304775306025965,JPM,5
0.05,NN3_ensemble,442,22.1,24,0.05429864253393665,0.001321633507387828,0.16746892929637625,0.6823711167543003,0.2540477918645365,0.8807126268964245,JPM,5
0.05,NN3_top1,442,22.1,26,0.058823529411764705,0.001327091763164161,0.687319913052562,0.407077476327924,0.9225555232773672,0.6304775306025965,JPM,5
0.05,NN4_ensemble,442,22.1,20,0.04524886877828054,0.0013174502258263083,0.21667163712083948,0.6415877509336629,0.22681964213180095,0.8927847031540351,JPM,5
0.05,NN4_top1,442,22.1,25,0.05656108597285068,0.0013122170029147978,0.38498566384200217,0.534946997332626,0.5371603555233548,0.7644641273300053,JPM,5
0.01,HAR,442,4.42,7,0.01583710407239819,0.00044956953025677916,1.2920281736239758,0.2556745202839177,1.517844416684639,0.4681707457099421,JPM,5
0.01,LogHAR,442,4.42,10,0.02262443438914027,0.00046978945643536826,5.240368243294114,0.022068602215629562,5.704447009116194,0.05771584664815865,JPM,5
0.01,LevHAR,442,4.42,9,0.020361990950226245,0.00048458788466659603,3.6876332824408706,0.05481734765903268,4.062660413887571,0.13116093387064398,JPM,5
0.01,SHAR,442,4.42,9,0.020361990950226245,0.00045331477489067183,3.6876332824408706,0.05481734765903268,4.062660413887571,0.13116093387064398,JPM,5
0.01,HARQ,442,4.42,9,0.020361990950226245,0.00047353013548512345,3.6876332824408706,0.05481734765903268,4.062660413887571,0.13116093387064398,JPM,5
0.01,HAR-X,442,4.42,16,0.03619909502262444,0.0004868597010017784,18.315558475293614,1.8717228058462432e-05,19.52054909091501,5.769877902284115e-05,JPM,5
0.01,RR,442,4.42,16,0.03619909502262444,0.0004921148986683501,18.315558475293614,1.8717228058462432e-05,19.52054909091501,5.769877902284115e-05,JPM,5
0.01,LA,442,4.42,6,0.013574660633484163,0.00044257610691807446,0.5131491705198457,0.4737787728477496,0.6786716605662377,0.7122432160796899,JPM,5
0.01,EN,442,4.42,6,0.013574660633484163,0.00043996957897008364,0.5131491705198457,0.4737787728477496,0.6786716605662377,0.7122432160796899,JPM,5
0.01,P-LA,442,4.42,7,0.01583710407239819,0.00045337006776044177,1.2920281736239758,0.2556745202839177,1.517844416684639,0.4681707457099421,JPM,5
0.01,A-LA,442,4.42,5,0.011312217194570135,0.00042660931105890974,0.07375127704285944,0.7859512362839818,0.18843268987576067,0.9100858484745327,JPM,5
0.01,BG,442,4.42,10,0.02262443438914027,0.0004975157022305708,5.240368243294114,0.022068602215629562,5.704447009116194,0.05771584664815865,JPM,5
0.01,RF,442,4.42,10,0.02262443438914027,0.0004904852856683205,5.240368243294114,0.022068602215629562,5.704447009116194,0.05771584664815865,JPM,5
0.01,GB,442,4.42,9,0.020361990950226245,0.00048242678779031664,3.6876332824408706,0.05481734765903268,4.062660413887571,0.13116093387064398,JPM,5
0.01,NN1_ensemble,442,4.42,11,0.024886877828054297,0.00046224664137853376,6.998067511765839,0.00815977573540061,7.5609196079494865,0.022812199873074923,JPM,5
0.01,NN1_top1,442,4.42,10,0.02262443438914027,0.0004715581257043085,5.240368243294114,0.022068602215629562,5.704447009116194,0.05771584664815865,JPM,5
0.01,NN2_ensemble,442,4.42,9,0.020361990950226245,0.0004806635506522946,3.6876332824408706,0.05481734765903268,4.062660413887571,0.13116093387064398,JPM,5
0.01,NN2_top1,442,4.42,9,0.020361990950226245,0.00045848129464325603,3.6876332824408706,0.05481734765903268,4.062660413887571,0.13116093387064398,JPM,5
0.01,NN3_ensemble,442,4.42,9,0.020361990950226245,0.00046611380750564627,3.6876332824408706,0.05481734765903268,4.062660413887571,0.13116093387064398,JPM,5
0.01,NN3_top1,442,4.42,10,0.02262443438914027,0.0004764746672806754,5.240368243294114,0.022068602215629562,5.704447009116194,0.05771584664815865,JPM,5
0.01,NN4_ensemble,442,4.42,8,0.01809954751131222,0.0004472029489892584,2.3621990059923235,0.12430685235011818,2.6578278355523963,0.2647646613937372,JPM,5
0.01,NN4_top1,442,4.42,9,0.020361990950226245,0.00047315518644981236,3.6876332824408706,0.05481734765903268,4.062660413887571,0.13116093387064398,JPM,5
