ticker,feature_set,horizon,decile,model,ratio_vs_HAR
AAPL,M_ALL,1,D5,SHAR,0.9949617151957548
AAPL,M_ALL,1,D5,HARQ,0.9925153139868306
AAPL,M_ALL,1,D5,HAR-X,1.6441357652743211
AAPL,M_ALL,1,D5,RR,1.5493685002772815
AAPL,M_ALL,1,D5,LA,1.008719710790058
AAPL,M_ALL,1,D5,EN,1.243969425987461
AAPL,M_ALL,1,D5,P-LA,0.8239889226151653
AAPL,M_ALL,1,D5,A-LA,6.969291959705557
AAPL,M_ALL,1,D5,BG,1.1626736885150464
AAPL,M_ALL,1,D5,RF,1.1261476197525628
AAPL,M_ALL,1,D5,GB,0.817247580696707
AAPL,M_ALL,1,D5,NN1_ensemble,1.070830620368269
AAPL,M_ALL,1,D5,NN1_top1,1.379543018271152
AAPL,M_ALL,1,D5,NN2_ensemble,0.9997275292324929
AAPL,M_ALL,1,D5,NN2_top1,1.6012225701035236
AAPL,M_ALL,1,D5,NN3_ensemble,0.9308818681247452
AAPL,M_ALL,1,D5,NN3_top1,2.5773329901783057
AAPL,M_ALL,1,D5,NN4_ensemble,0.9110858293661482
AAPL,M_ALL,1,D5,NN4_top1,1.6922292707738178
AAPL,M_ALL,1,D6,HAR,1.0
AAPL,M_ALL,1,D6,LogHAR,1.0187232014574532
AAPL,M_ALL,1,D6,LevHAR,1.6509207173593867
AAPL,M_ALL,1,D6,SHAR,1.1871030421831223
AAPL,M_ALL,1,D6,HARQ,1.052354317904272
AAPL,M_ALL,1,D6,HAR-X,1.01950943402777
AAPL,M_ALL,1,D6,RR,0.9464314237508336
AAPL,M_ALL,1,D6,LA,0.7074068939208438
AAPL,M_ALL,1,D6,EN,0.7880642216374751
AAPL,M_ALL,1,D6,P-LA,0.7006551609483619
AAPL,M_ALL,1,D6,A-LA,4.720235107349741
AAPL,M_ALL,1,D6,BG,1.9178143986414662
AAPL,M_ALL,1,D6,RF,1.2692210694300043
AAPL,M_ALL,1,D6,GB,1.0987004600751513
AAPL,M_ALL,1,D6,NN1_ensemble,0.6168861010327511
AAPL,M_ALL,1,D6,NN1_top1,0.711542010768108
AAPL,M_ALL,1,D6,NN2_ensemble,0.8052973720785206
AAPL,M_ALL,1,D6,NN2_top1,0.6766236710337366
AAPL,M_ALL,1,D6,NN3_ensemble,0.6754967350628509
AAPL,M_ALL,1,D6,NN3_top1,1.3234293179016683
AAPL,M_ALL,1,D6,NN4_ensemble,0.5400655493986491
