,HAR,LogHAR,LevHAR,SHAR,HARQ,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN1_top1,NN2_ensemble,NN2_top1,NN3_ensemble,NN3_top1,NN4_ensemble,NN4_top1
AAPL,1.0,0.8429049929604757,0.9761876984055647,1.0072838628755567,1.0174440046932764,0.9709840732196101,0.9852182069059389,0.9850974667206103,1.0553183353720366,1.8355899920712262,1.4261359213133522,1.3317014317696598,1.0125343835056027,0.9329554958527753,0.9455030627969508,0.9423886355288046,1.1885986358631393,0.9316234941616816,0.9913714820621856,0.9206056885963746,0.9850467982690644
AMZN,1.0,1.0121823204759204,0.9762235523793168,1.0001720373265808,1.0450761654175766,0.9749137374920501,0.9716627365288572,0.9842993932266215,0.9859621838111214,1.393857675872847,2.0196739936830994,1.768251755764465,1.2659697092330546,1.138582156840083,1.2904730153708013,1.1844131520652357,1.1279666595650808,1.1908346311649574,1.2683720265965814,1.2556294050803947,1.2103864697070992
JPM,1.0,0.6904739153223228,1.0746014084631357,0.9899648818041064,1.5190494728669175,0.9615520773950129,1.3428874157359747,1.3226896282242078,0.9649289212635026,2.286618615405747,1.2617756367029778,1.161387904758025,0.7644709802048562,0.8073671831576077,0.9750996556760388,0.9030705437015525,1.4131701773228014,0.7664651163314371,0.7397815009738189,0.8884946563160016,1.648292728504105
