horizon,ticker,model,ratio_vs_HAR
22,AAPL,BG,7.314447148589436
22,AAPL,EN,1.0306055070250366
22,AAPL,GB,2.6769823072369867
22,AAPL,HAR,1.0
22,AAPL,HAR-X,1.1227222677962203
22,AAPL,HARQ,1.0252595295256912
22,AAPL,LA,1.0209801348539758
22,AAPL,LevHAR,0.8418376863113334
22,AAPL,LogHAR,0.6659368575545116
22,AAPL,NN1_ensemble,1.0673700680117346
22,AAPL,NN1_top1,1.2251333867261185
22,AAPL,NN2_ensemble,1.0091111346154074
22,AAPL,NN2_top1,0.9821905620249373
22,AAPL,NN3_ensemble,0.9260485950727646
22,AAPL,NN3_top1,1.158107865046925
22,AAPL,NN4_ensemble,0.8135372011646785
22,AAPL,NN4_top1,0.9178751943384272
22,AAPL,P-LA,0.9209563069939366
22,AAPL,RF,3.038390527147825
22,AAPL,RR,1.0789319349486954
22,AAPL,SHAR,1.0075678103753665
22,AMZN,A-LA,1.410374124942405
22,AMZN,BG,6.718906543275188
22,AMZN,EN,1.0848970695519218
22,AMZN,GB,4.0688450679176364
22,AMZN,HAR,1.0
22,AMZN,HAR-X,1.141205888762312
22,AMZN,HARQ,1.161014141276229
22,AMZN,LA,0.9007277029193554
22,AMZN,LevHAR,0.9492117057251305
22,AMZN,LogHAR,1.2135202055568166
22,AMZN,NN1_ensemble,1.2661049026691902
22,AMZN,NN1_top1,1.388096064777743
22,AMZN,NN2_ensemble,1.1290398334257383
22,AMZN,NN2_top1,1.3269337154049528
22,AMZN,NN3_ensemble,1.2452061323109256
22,AMZN,NN3_top1,1.4418597040738448
22,AMZN,NN4_ensemble,1.3636730923140088
22,AMZN,NN4_top1,1.669967190289695
22,AMZN,P-LA,1.1152456216630808
22,AMZN,RF,3.8848044937365143
22,AMZN,RR,1.1136737513489783
22,AMZN,SHAR,0.9961390897115835
22,JPM,A-LA,1.6944098517018986
22,JPM,BG,13.835293489629974
22,JPM,EN,1.0123100245521657
22,JPM,GB,1.6250295118571905
22,JPM,HAR,1.0
22,JPM,HAR-X,1.494405051113178
22,JPM,HARQ,1.476422009718404
22,JPM,LA,0.9757546672281779
22,JPM,LevHAR,1.1123691039088544
22,JPM,LogHAR,0.6303568862052222
22,JPM,NN1_ensemble,0.9010738577268326
22,JPM,NN1_top1,0.9249255376420091
22,JPM,NN2_ensemble,0.8598158853502831
22,JPM,NN2_top1,1.33540519821184
22,JPM,NN3_ensemble,0.71567551847363
22,JPM,NN3_top1,0.7935713971035558
22,JPM,NN4_ensemble,1.3094200492863466
22,JPM,NN4_top1,2.2585183446133206
22,JPM,P-LA,0.7207120938354714
22,JPM,RF,5.2737176745807535
22,JPM,RR,1.4813962226504296
22,JPM,SHAR,0.987724212176165
