,HAR,LogHAR,LevHAR,SHAR,HARQ,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN1_top1,NN2_ensemble,NN2_top1,NN3_ensemble,NN3_top1,NN4_ensemble,NN4_top1
AAPL,1.0,0.6648025643814898,0.8369876263189305,1.0076465326942674,1.0241819099826466,0.9587864789171778,0.9867120797761241,0.959071933594425,0.9615811543883602,1.6409861735404456,2.9484701411520566,2.0812042745327743,0.9276252369511945,0.8689962106966777,0.8656824421314439,0.8876055054015518,1.375361819258299,1.0046177300059236,6.218091776788397,0.8841868125245043,0.8884890428886714
AMZN,1.0,1.2099411841636145,0.9414103036682443,0.9957705536002545,1.1654640384148316,0.9030523397538033,0.8994138272680534,0.9022793876331708,0.9030523394186476,1.424278159269408,3.284040135428744,2.908751626417634,1.9456576829608871,1.1488053245285672,1.3664258070621753,1.3051403898471259,1.3164730369042776,1.3572703414298704,1.4562315871549272,1.5035209738674702,1.7397829106862095
JPM,1.0,0.6321076018341882,1.1152091509679898,0.9882752475509785,1.471540776112159,0.9592863987856187,1.198665944390761,1.1909117812915528,0.9571979659964948,1.6893759860174908,5.77467707433389,2.89283744394687,1.3504841893030533,0.909395640409613,1.0021502138670988,1.4530067018879183,0.8004399357014129,1.0803749053623855,0.6479572664151513,1.1309694335053975,0.7821455984511894
