feature,treeshap,ale_vi,model,ticker,horizon
RVD,0.1475589628906387,0.19473502963907546,RF,AMZN,1
RVW,0.1409794051230179,0.11302837243490817,RF,AMZN,1
RVM,0.05109288986811141,0.04125700782186251,RF,AMZN,1
RVD_pos,0.05482012363810065,0.05760848366238204,RF,AMZN,1
RVD_neg,0.14410618061654018,0.16629533877559757,RF,AMZN,1
Rn_D,0.05834628726560063,0.05521039155699533,RF,AMZN,1
Rn_W,0.04261801750713086,0.037910449752676295,RF,AMZN,1
Rn_M,0.029910328514000748,0.018226264147211162,RF,AMZN,1
RQ_x_RV,0.0042462222672572675,0.014785486858692246,RF,AMZN,1
RQ_lag,0.0022578570164316814,0.012815880643588403,RF,AMZN,1
IV,0.07986655260433113,0.025597685757533194,RF,AMZN,1
M1W,0.03452440265323377,0.04004585584291406,RF,AMZN,1
VIX,0.08537606229283386,0.025931419643691132,RF,AMZN,1
EPU,0.017745110025043538,0.04043740976388781,RF,AMZN,1
HSI,0.024491563032262412,0.04113688602047952,RF,AMZN,1
ADS,0.01881831864231685,0.01742588696734042,RF,AMZN,1
US3M,0.01652608342551082,0.03280580618735186,RF,AMZN,1
EA,0.01471984276362847,0.0,RF,AMZN,1
DVOL,0.03199578985400911,0.06474634452381278,RF,AMZN,1
RVD,0.11445546036320156,0.13344648459179906,GB,AMZN,1
RVW,0.21822079984604384,0.15907789113014384,GB,AMZN,1
RVM,0.03217333032040753,0.02528798936398778,GB,AMZN,1
RVD_pos,0.023554953830254202,0.019906299785199467,GB,AMZN,1
RVD_neg,0.07498030001157074,0.10402409861331562,GB,AMZN,1
Rn_D,0.08135328429007332,0.04901962404691038,GB,AMZN,1
Rn_W,0.027612598098657147,0.012001749702105272,GB,AMZN,1
Rn_M,0.006674883978859272,0.006793914848182169,GB,AMZN,1
RQ_x_RV,0.002471004716848491,0.024653134242159057,GB,AMZN,1
RQ_lag,0.008106972571388222,0.09129635820812575,GB,AMZN,1
IV,0.06557926184449314,0.02703102026665747,GB,AMZN,1
M1W,0.0447403821005233,0.10897927930847438,GB,AMZN,1
VIX,0.10969201092400317,0.012536639671838493,GB,AMZN,1
EPU,0.04141577096981892,0.0436892775489651,GB,AMZN,1
HSI,0.019608524755269943,0.053465210939254076,GB,AMZN,1
ADS,0.02647978922755934,0.018894243326357286,GB,AMZN,1
US3M,0.022701801894001783,0.05141774006469951,GB,AMZN,1
EA,0.0402343617063396,0.0,GB,AMZN,1
DVOL,0.03994450855068643,0.058479044341825305,GB,AMZN,1
