decile,A-LA,BG,EN,GB,HAR,HAR-X,HARQ,LA,LevHAR,LogHAR,NN1_ensemble,NN1_top1,NN2_ensemble,NN2_top1,NN3_ensemble,NN3_top1,NN4_ensemble,NN4_top1,P-LA,RF,RR,SHAR
D1,6.364515391389808,1.478221170528058,2.4074767119134908,0.7723183655409954,1.0,0.32448426559256816,0.6152188121385528,2.060415871972949,0.5749015283148762,0.5804048350025421,0.5158952217183436,0.6455954378058344,0.570333061918266,0.5857058909572861,0.8814086670062155,0.7659513852341088,1.6963007255543352,0.7912776349994274,0.9298578355113051,0.8936213672628488,0.2931236938751383,1.0737086656580626
D10,0.3149966108406953,1.1649900479153634,0.5353797234085573,0.8807437858691283,1.0,1.5577955540468484,1.4420315123552832,0.5737647933269885,1.1914173946801827,0.9567642549945189,0.8079145691844821,0.743668695112079,0.8946740200157541,1.0257328715664118,0.8722479545585157,1.091971961340994,0.6350529300347006,1.085607377898541,0.9956320836633533,1.0354563670116788,1.4708318095277453,1.1084855625205905
D2,6.76528917955759,1.5327778019538592,2.4408969257383966,0.6968752533733011,1.0,0.5111013181902049,0.6961337421331062,2.071531766593201,0.8372066457183612,0.6421152857744156,0.5466462764145855,0.6968032179189435,0.46182541658698134,0.5054270944992925,0.6398903149886437,0.6066044285543825,1.4413819118304805,0.45198147869861277,0.9129479136241743,0.9475393126465531,0.48443665405589564,1.311475700491923
D3,4.349879078194557,0.9811633169852316,1.8126744105873032,0.5938203653596601,1.0,0.7404764345853134,1.039629513000457,1.5923874450652016,0.9218005888262636,0.6346282655057263,0.6857240157492349,0.7437689228810622,0.5540026498487036,0.5314422230953152,0.6004604290752755,0.6131541311829464,1.1435248384189707,0.4831636516001339,0.9226668820221323,0.5986161389226246,0.7392232688219675,1.143021621358246
D4,3.3963381430227684,1.2064739444898331,1.5381172244748116,0.29897293232939176,1.0,0.5991654479530971,1.5553848423022565,1.3639580947646086,1.0262240686716244,0.5351675206034858,0.5321800343594164,0.5226355478470686,0.3950927226300382,0.36828579882451734,0.4211960658009637,0.2033380640677518,0.7526849048672746,0.28038389673020914,0.9684310625830918,0.6053116372111547,0.6001487874111693,1.260293708733212
D5,8.558080076196537,2.4458635363800134,2.8751505552322305,1.1420011530638736,1.0,1.785199910837442,0.956030306304291,2.4959962228971153,1.508172796727213,1.129380367396926,1.2932986030457205,2.09733000714205,1.2516886614347371,1.1280659073449335,1.4327426871552926,2.1115047404069633,1.9308310899783487,1.0154692316862624,0.9644854943517948,1.9029515616569845,1.776407720269502,1.0865735052272953
D6,3.656336580336675,2.7264629654829022,1.506083369930706,0.6576817005157268,1.0,1.3371044339310598,1.4391220809998497,1.3798387196225526,1.2910832039227529,0.9960847093630038,1.1651723340497546,1.3332803198840308,1.0751716350425682,0.8419698538072569,0.9781243562894248,1.7377735318710732,1.0567822881970426,0.8266186779803653,0.9610893456913884,1.54344823527171,1.3899279382316878,0.9535442574041786
D7,3.1496679136228827,1.4221860833660194,1.3896836912551132,0.4409886800332026,1.0,1.9691587256697645,1.4664105140048607,1.2891079094520956,1.3167495938376041,0.9681880977258693,1.1601421976991682,1.3757938451970453,1.0427254224436107,0.838517363822215,0.8588391805007617,1.4358027343428557,0.8824152288492493,0.7047718660009175,0.9578125469537351,1.1827406672249108,1.7836481747772044,0.9382735143864793
D8,2.7046412590958773,3.1646522706648743,0.9588159693619872,1.0587898868615009,1.0,3.924704901662061,2.0937668560962566,0.9283711807946048,1.1858119906996334,0.7919945266677412,1.8498109998111167,2.1346311146153565,1.4981527500057954,1.5851135745478175,1.6081146347774629,2.0886842612899446,1.0939586083767543,2.1602420563770393,0.9461821677339018,1.896548253837158,3.445574683816963,0.7335261308893137
D9,0.22867588810812814,0.46625815043639596,0.4550354792107627,0.2197200535816301,1.0,1.0510859837225197,2.1653242881800243,0.4841086648184439,1.0760726358326758,0.335512286468305,0.539821252970825,0.29302533730394487,0.2911230731688813,0.3188704746250241,0.2826365111144532,0.5738747328654026,0.2050217782640656,0.3912040165915473,0.9783091774713286,0.32316078831475026,1.0162055649422135,0.7003124556858833
