,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN2_ensemble,NN3_ensemble,NN4_ensemble
AAPL,0.1506314947518657,0.14931072531875808,0.1547692770392232,0.15067898734003074,0.3693143031369352,0.15417510831628953,0.15039842606125967,0.15042513661534074,0.15253376131785615,0.1362530440725655,0.6310907538427509,0.20185698204049418,0.19374716332254593,0.3009633151926308,1.513267975230815,1.2967175343715942,1.2325369421297705,0.6615925877945975
AMZN,0.11279042849914078,0.10723378392122898,0.11901086928953535,0.11311183678577498,0.11565331632708596,0.1236455455265661,0.12364554462603257,0.1003489162968824,0.1189680381440602,0.15287258548741936,0.4596958485741982,0.1321462863390771,0.12136145841250259,0.1228681789931269,0.7083415390648758,1.1130746473995787,1.279436542247057,0.44763148666683944
JPM,0.14201542150371982,0.1512806256999097,0.14083681629846953,0.1414477361210519,0.14374437069886867,0.12228440350618318,0.11667995546170644,0.1285297353442992,0.11868524631725196,0.11223970124740618,0.7546603989886309,0.18258904885910615,0.1961874464268226,0.18896213385280702,0.5847438130599,0.5384687676771308,0.6148717916925586,0.5299184960602995
