ticker,COMB_AVG,COMB_BG,COMB_MSE
AAPL,6.5454199362344555e-09,8.306908105882583e-09,7.312903310198894e-09
AMZN,9.926030925740748e-09,1.127040914960171e-08,1.0536716273421555e-08
JPM,2.9938726348987493e-09,3.646205586598522e-09,3.238866680192842e-09
