Model,DM stat,p-value,mean loss diff,ticker
HAR,,,,AAPL
LogHAR,-1.6664142771175992,0.048170488019278396,-5.555435673942614e-10,AAPL
LevHAR,0.84624764662184,0.8010632208973245,2.557410874969001e-10,AAPL
SHAR,0.24200161535670262,0.5955542969961155,4.403499105923493e-11,AAPL
HARQ,-1.0279645646388942,0.1522649894467154,-1.4513938055492381e-10,AAPL
HAR-X,0.25986854097488277,0.6024567718063962,1.4941510108675594e-10,AAPL
RR,-0.21708431850757373,0.4141215142984361,-1.2461536292382488e-10,AAPL
LA,-1.8700023184336736,0.031072897156408145,-5.854325032550886e-10,AAPL
EN,-1.078193185702775,0.1407684713694618,-4.654726442931154e-10,AAPL
P-LA,-1.7985795422369546,0.03638444771579481,-7.007205110112129e-10,AAPL
A-LA,6.017316601706082,0.9999999981344068,9.758162374567603e-09,AAPL
BG,1.2586254272972663,0.8955842282471688,1.644109327736009e-09,AAPL
RF,0.815279304431927,0.7923237323321465,6.758766089731998e-10,AAPL
GB,0.03426497449809381,0.5136593209906235,2.0012536257503258e-11,AAPL
NN1_ensemble,-0.9737056063725542,0.1653682557490988,-7.865978009390226e-10,AAPL
NN1_top1,1.5561186781155298,0.9398014011253039,2.787691325845577e-09,AAPL
NN2_ensemble,-1.2192444496124708,0.11170157507257229,-1.0727476625912807e-09,AAPL
NN2_top1,1.0481800495132343,0.8524351150668851,8.37121384158783e-10,AAPL
NN3_ensemble,-0.8211597793153949,0.20599947076571662,-6.100978458935046e-10,AAPL
NN3_top1,2.137982329743531,0.9834663690177887,1.7592848865442518e-09,AAPL
NN4_ensemble,-0.9968052138416188,0.15970284411684263,-7.742250128165227e-10,AAPL
NN4_top1,0.8786609118488835,0.8099681793712892,6.102981756630703e-10,AAPL
HAR,,,,AMZN
LogHAR,-0.01861067967123609,0.4925800500646849,-4.462266358948698e-12,AMZN
LevHAR,1.0564320753236236,0.8543253850019986,1.0159301693452772e-09,AMZN
SHAR,-0.1506530473688095,0.44015914809022466,-1.3590430860589157e-10,AMZN
HARQ,-0.2851206882697586,0.3878427671006233,-1.1893657203335483e-10,AMZN
HAR-X,-0.40456118027972954,0.34299812083915016,-7.674647630627699e-10,AMZN
RR,-0.4539575043508618,0.3250413688677634,-7.621587171327022e-10,AMZN
LA,-1.4887181313246762,0.0686381729263512,-1.84882450938709e-09,AMZN
EN,-0.27089097043108484,0.39330081668020533,-4.612346736438995e-10,AMZN
P-LA,-0.3635306266682126,0.35819137055142025,-6.405299493762946e-10,AMZN
A-LA,3.3201753562974265,0.9995128367116747,8.139392557865058e-09,AMZN
BG,1.5587460529567463,0.9401130939719382,2.1704764741720806e-09,AMZN
RF,-0.6333317920723686,0.26342264814960636,-5.774721958263739e-10,AMZN
GB,-0.311862358935336,0.3776462587870118,-3.3489505687581324e-10,AMZN
NN1_ensemble,-1.1250606232178586,0.13058764584070057,-2.0260864470965606e-09,AMZN
NN1_top1,-0.7502833798178508,0.2267420759603889,-1.6798681074097534e-09,AMZN
NN2_ensemble,-1.1487387974498213,0.12564319123339499,-1.879565562832855e-09,AMZN
NN2_top1,1.3019989330707828,0.9032018068256532,2.3821092509845355e-09,AMZN
NN3_ensemble,-1.17208538797646,0.12089778601877005,-2.162331774063397e-09,AMZN
NN3_top1,1.1320169284346666,0.8708787675975295,1.686850960958309e-09,AMZN
NN4_ensemble,-0.5325467470884344,0.2973077963552909,-9.218161008865716e-10,AMZN
NN4_top1,-0.14587484496763864,0.44204342152936327,-2.676168187867047e-10,AMZN
HAR,,,,JPM
LogHAR,-2.4687958639440484,0.0069674684268303515,-4.951890590320061e-10,JPM
LevHAR,1.0321765402824696,0.8487224297661354,3.2156760694326604e-10,JPM
SHAR,2.940397104991854,0.9982748424748781,1.1601821204257843e-09,JPM
HARQ,2.2571420552674777,0.9877561298442417,1.0692690025132874e-09,JPM
HAR-X,1.7971408378742575,0.9635013370156834,7.787891427314356e-10,JPM
RR,1.6205856186522398,0.9470893436309277,6.06177188123795e-10,JPM
LA,-1.3482492117394589,0.08913514957493678,-3.2259917104819e-10,JPM
EN,-1.2723835913519352,0.10195366125887949,-3.073896020279916e-10,JPM
P-LA,-2.9591659366119183,0.0016254196029252051,-1.3875845151875592e-10,JPM
A-LA,7.640716967154649,0.999999999999932,7.654570188650984e-09,JPM
BG,0.8485936735980915,0.8017160991343852,3.5087942141866576e-10,JPM
RF,-0.8118584940255509,0.20865541117989353,-3.1539955353077307e-10,JPM
GB,-0.9190956187919355,0.1792739936056484,-2.9224552712754676e-10,JPM
NN1_ensemble,-0.8093294917850944,0.20938104346596487,-1.5363545807379524e-10,JPM
NN1_top1,-0.03208384042487081,0.4872098528006702,-7.326526851356827e-12,JPM
NN2_ensemble,-1.9659597404441693,0.024965090705193652,-5.774345903891365e-10,JPM
NN2_top1,0.7616928954786556,0.776674771712041,4.085588749646135e-10,JPM
NN3_ensemble,-1.277423146438782,0.10106249272904776,-3.2881856450344635e-10,JPM
NN3_top1,1.0091164796948635,0.8432639374880689,4.572118454144421e-10,JPM
NN4_ensemble,-1.084414335686714,0.1393868047799726,-3.680637883094642e-10,JPM
NN4_top1,1.63029177067811,0.9481230908581176,2.3652364685119416e-09,JPM
