ticker,AAPL,AAPL,AMZN,AMZN,JPM,JPM
regime,high_vol,low_vol,high_vol,low_vol,high_vol,low_vol
model,,,,,,
A-LA,0.0974140376297269,0.29486171732632954,0.06272888468744384,0.17052732705500598,0.0645227312329028,0.2863738396940548
BG,0.1577259352425876,0.12314975310296387,0.10807654478967121,0.08508230381818485,0.184326009724523,0.11274938027796079
EN,0.1313636921734476,0.10737858604458068,0.18921105178604036,0.23855642786468834,0.10147737155238734,0.15907138571779667
GB,0.1377788245705531,0.11003606439098952,0.10034152140268036,0.064807154685787,0.14526510488574473,0.08114675370037074
HAR,0.12899040656640967,0.11042409739641051,0.07589427463751866,0.06714091310055402,0.15878944227003244,0.09614226569035744
HAR-X,0.21595976544406448,0.17058948168488783,0.17388201080686647,0.19404221932630208,0.2219530155650389,0.20961956336272278
HARQ,0.13400193479150765,0.1038049370679132,0.0794129111645962,0.06898825866275117,0.2128584309809438,0.12081513467180699
LA,0.13100777626633264,0.10782335487301992,0.09775404200640417,0.12439162249090562,0.105709068546457,0.14509993527698312
LevHAR,0.13298643472021215,0.10214924978787965,0.07721011146012695,0.06206939743153425,0.1880850776222368,0.10164952873289441
LogHAR,0.1276214272428012,0.09773409057157735,0.07785604462613428,0.06957068604207502,0.14032960851956597,0.08425988490709536
NN1_ensemble,0.15731774803231313,0.11990149776533618,0.1125078649405283,0.06069274218718197,0.1319281372754374,0.09913509340038827
NN1_top1,0.1969614634221953,0.12260408276631422,0.1036803782128199,0.0893482361631393,0.12358092760408632,0.09965640787663832
NN2_ensemble,0.1516921485407614,0.10276205434824975,0.10299465680285164,0.0661000270732472,0.1374786270908246,0.08555187194819903
NN2_top1,0.1940799977300844,0.17392071224985134,0.2687772165745803,0.10800957664862967,0.14347092806960596,0.09755937080198401
NN3_ensemble,0.14770725924820763,0.09692485510051778,0.12408237821618082,0.064035470928142,0.13202597997516974,0.092322852313783
NN3_top1,0.19019932343434512,0.118347398778692,0.188128142497251,0.10860082908088502,0.20962386045513604,0.10579014717560105
NN4_ensemble,0.14681883587002656,0.09758729280815943,0.15359959349991384,0.06539492268474655,0.09748362698159796,0.1213545128812636
NN4_top1,0.12604256441563327,0.18675563471699247,0.22504595678745706,0.13176289950585993,0.1779228498983138,0.09430658885139194
P-LA,0.14938238530379092,0.09341229173023428,0.20568843728098155,0.22765811122280066,0.1587034162609179,0.09288337361124731
RF,0.15958927758489141,0.11689606726912823,0.0990935446856564,0.07563753535468841,0.16050211344892973,0.09443447465738372
RR,0.20827118817092014,0.16086460794320448,0.20194589271801727,0.27795772372840966,0.25314635173679545,0.18868323293709474
SHAR,0.12970755931870553,0.11070133673373178,0.07645421448582862,0.06626125376687612,0.1625582484149642,0.10165617470535768
