,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN2_ensemble,NN3_ensemble,NN4_ensemble
AAPL,0.236594458243981,0.23603440454596977,0.23518806746932033,0.23678434895018055,0.33301593646722916,0.7810912314312068,0.7144005454640375,0.4034047358691354,0.3810349829005737,0.24391091531173595,0.5652803403170392,0.383787358093497,0.33025571234020346,0.4266810469946408,0.7277426919683352,0.383614864873497,0.38917422217996467,0.5760504220976637
AMZN,0.16420661557820543,0.15005247868522542,0.16680849538590706,0.16404521593260488,0.16579056755303767,0.5743293235780247,0.5743293123771923,0.17532341768014229,0.17626210340347656,0.16420661557820762,0.42269529426303576,0.20590398572072013,0.15648455217347482,0.41495480019459635,0.8273805592065483,0.7982153563651705,1.019112615454746,1.0412110255318907
JPM,0.3405475774319174,0.3507594219557058,0.3279410806685844,0.34087144755680443,0.3446131224035625,0.39610780724672706,0.3739105781169584,0.5556376270443405,0.5986259389812313,0.2786027173493878,0.7129058783160978,0.5477746437886011,0.41853154298667095,0.41544928761087574,0.8327138635459853,0.7866523805876566,1.0057507272768342,0.49324106078210955
