date,regime,p_high
2016-01-04,1,0.9994796309173003
2016-01-05,1,0.9999558464668606
2016-01-06,1,0.9999462366145601
2016-01-07,1,0.9999792343246673
2016-01-08,1,0.9999800059334805
2016-01-11,1,0.9997391921456072
2016-01-12,1,0.9997364296421254
2016-01-13,1,0.9999601177029804
2016-01-14,1,0.9999970365981166
2016-01-15,1,0.9999570578163125
2016-01-19,1,0.9999628066212212
2016-01-20,1,0.9999957718528218
2016-01-21,1,0.9999922575730922
2016-01-22,1,0.9999341080845399
2016-01-25,1,0.9995582457610104
2016-01-26,1,0.9999684320462168
2016-01-27,1,0.9999898764764753
2016-01-28,1,0.9998231312699947
2016-01-29,1,0.9970888137674824
2016-02-01,1,0.9944970041905224
2016-02-02,1,0.9972236833851058
2016-02-03,1,0.9999342862218845
2016-02-04,1,0.9999580660387084
2016-02-05,1,0.9997967199476544
2016-02-08,1,0.9999755617314322
2016-02-09,1,0.9998346962897678
2016-02-10,1,0.9991774270784787
2016-02-11,1,0.998590182320526
2016-02-12,1,0.9803631045883135
2016-02-16,1,0.9540052921939741
2016-02-17,1,0.8986942823861996
2016-02-18,1,0.8462831142698953
2016-02-19,1,0.8091787559245048
2016-02-22,1,0.7460415526118532
2016-02-23,1,0.7245414823605064
2016-02-24,1,0.7714013900445863
2016-02-25,1,0.7871513714235
2016-02-26,1,0.7957774142788522
2016-02-29,1,0.8278066257580445
2016-03-01,1,0.8828311234182945
2016-03-02,1,0.9138169669009442
2016-03-03,1,0.9433359351833781
2016-03-04,1,0.9519902235352671
2016-03-07,1,0.9448731052065503
2016-03-08,1,0.9276201749731746
2016-03-09,1,0.8902450738944253
2016-03-10,1,0.80789746556737
2016-03-11,0,0.10133096721757041
2016-03-14,0,0.025426270410615494
2016-03-15,0,0.01311366812177854
2016-03-16,0,0.008345203448668875
2016-03-17,0,0.0017880567545687396
2016-03-18,0,0.0010390789891569318
2016-03-21,0,0.0023131937642484383
2016-03-22,0,0.0005591816020323543
2016-03-23,0,0.00014631363308338543
2016-03-24,0,0.0001518142510359906
2016-03-28,0,0.00034367945334456794
2016-03-29,0,0.0015382032144396884
2016-03-30,0,0.0013367335163845802
2016-03-31,0,0.0004439819747915942
2016-04-01,0,0.0011343365325216094
2016-04-04,0,0.0028355875666484795
2016-04-05,0,0.0012558683016240272
2016-04-06,0,0.0005442038212735276
2016-04-07,0,0.0024424151891242096
2016-04-08,0,0.0037564673013620537
2016-04-11,0,0.004476207994528255
2016-04-12,0,0.0022858442992980477
2016-04-13,0,0.0005906158234229569
2016-04-14,0,0.0006321865839460908
2016-04-15,0,0.0037921025716011274
2016-04-18,0,0.004876263677981432
2016-04-19,0,0.0047837830857157485
2016-04-20,0,0.0077657508001717675
2016-04-21,0,0.015961498769936938
2016-04-22,0,0.05966473504028902
2016-04-25,0,0.12248330163618357
2016-04-26,0,0.3402832926178963
2016-04-27,1,0.9180720555370846
2016-04-28,1,0.9946116372578955
2016-04-29,1,0.9968044335279214
2016-05-02,1,0.9956711500770544
2016-05-03,1,0.9758037707788112
2016-05-04,1,0.9011834374237673
2016-05-05,1,0.8633029301540287
2016-05-06,1,0.857416709080072
2016-05-09,1,0.850828086149026
2016-05-10,1,0.8543172325292785
2016-05-11,1,0.8636340305128227
2016-05-12,1,0.8900761139641056
2016-05-13,1,0.8647470371115503
2016-05-16,1,0.6440898157655061
2016-05-17,0,0.4583574979108765
2016-05-18,0,0.27975480854636053
2016-05-19,0,0.11482571157848136
2016-05-20,0,0.006235193180892492
2016-05-23,0,0.0013276305608166572
2016-05-24,0,0.00018289976588128776
2016-05-25,0,0.0006963933751474429
2016-05-26,0,0.0035032887332850666
2016-05-27,0,0.0011566904631297023
2016-05-31,0,0.0007529393776511591
2016-06-01,0,0.0001875771042454194
2016-06-02,0,0.00047990729263274915
2016-06-03,0,0.0001998162830229878
2016-06-06,0,0.0006822826265968406
2016-06-07,0,0.0001375239759076221
2016-06-08,0,0.00012804611516560932
2016-06-09,0,0.0006620845277967893
2016-06-10,0,0.0004910870702489281
2016-06-13,0,0.009835191241435795
2016-06-14,0,0.005269463975731732
2016-06-15,0,0.0009783095679182037
2016-06-16,0,0.0003835220260126831
2016-06-17,0,0.0005074811874168346
2016-06-20,0,0.000701489647235861
2016-06-21,0,0.0050591368742358795
2016-06-22,0,0.007453839806586234
2016-06-23,0,0.02011088867624614
2016-06-24,0,0.15166455848431573
2016-06-27,0,0.12577173460237573
2016-06-28,0,0.05601711629033183
2016-06-29,0,0.011024510688924991
2016-06-30,0,0.002870198579572137
2016-07-01,0,0.0001614757242907715
2016-07-05,0,0.00019018645265846503
2016-07-06,0,0.0004818013746389206
2016-07-07,0,0.00018562603999511425
2016-07-08,0,4.841608811718853e-05
2016-07-11,0,2.1393872295452853e-05
2016-07-12,0,2.8056250686004382e-05
2016-07-13,0,4.5692597161726e-05
2016-07-14,0,5.7918501000150115e-05
2016-07-15,0,4.883860902462699e-05
2016-07-18,0,7.217625745710533e-05
2016-07-19,0,5.576360609135095e-05
2016-07-20,0,6.066799319192724e-05
2016-07-21,0,0.0003982296042661896
2016-07-22,0,0.00035963739407001365
2016-07-25,0,0.0005971171611838845
2016-07-26,0,0.0016495588969747317
2016-07-27,0,0.0019496113880929189
2016-07-28,0,0.0004799694158840479
2016-07-29,0,6.369911766080794e-05
2016-08-01,0,6.6581775361987e-05
2016-08-02,0,0.0004677069770710578
2016-08-03,0,7.448367842906974e-05
2016-08-04,0,0.00012296007787443875
2016-08-05,0,3.364216833682753e-05
2016-08-08,0,5.552648522974463e-05
2016-08-09,0,3.371701839465048e-05
2016-08-10,0,3.071607079505708e-05
2016-08-11,0,4.909999292406095e-05
2016-08-12,0,2.7749581647023038e-05
2016-08-15,0,4.9602983829697076e-05
2016-08-16,0,5.256386902877685e-05
2016-08-17,0,0.00011958366611492565
2016-08-18,0,2.1868625251895253e-05
2016-08-19,0,5.1060602019592125e-05
2016-08-22,0,0.00014430564414025292
2016-08-23,0,1.789415020633268e-05
2016-08-24,0,5.419714302747375e-05
2016-08-25,0,0.0001708069596541759
2016-08-26,0,0.0006070185048558302
2016-08-29,0,0.00011646428683838341
2016-08-30,0,3.469760979203806e-05
2016-08-31,0,9.993325887769754e-05
2016-09-01,0,0.00014168372084054291
2016-09-02,0,0.0001872259157338337
2016-09-06,0,0.0029675259550856125
2016-09-07,0,0.07985093791055974
2016-09-08,0,0.28317320321551565
2016-09-09,1,0.5571001121674107
2016-09-12,1,0.9158970495922125
2016-09-13,1,0.9512023658593612
2016-09-14,1,0.9711959123437207
2016-09-15,1,0.7250438429217199
2016-09-16,1,0.547437255642828
2016-09-19,0,0.25429236926429294
2016-09-20,0,0.08345342496044142
2016-09-21,0,0.017698468228356974
2016-09-22,0,0.00706527646006567
2016-09-23,0,0.012432844204465814
