ticker,AAPL,AAPL,AMZN,AMZN,JPM,JPM
regime,high_vol,low_vol,high_vol,low_vol,high_vol,low_vol
model,,,,,,
A-LA,0.16915082946405405,0.3814041314281356,0.12230380736604235,0.2560645205006702,0.1439304631365608,0.3656414532618342
BG,0.23973478299485515,0.1549390476047685,0.15087746584480605,0.13188974134014353,0.31834990503154426,0.14832407239115494
EN,0.15945498090581828,0.15710997601132573,0.11218003206839382,0.11576266497613066,0.24426558943235793,0.14994597972499887
GB,0.17802686195248102,0.14883785009227773,0.12881775489978908,0.11785043239172668,0.27810718610811136,0.134508571873656
HAR,0.17040224849577695,0.1388958852281615,0.11105203083773574,0.11769519562288129,0.2746786412991603,0.1344752244511767
HARQ,0.17208864868930343,0.13320831225659654,0.11271139141207022,0.11786146029459867,0.3245391628736317,0.18143823587007515
LA,0.15904223814590265,0.1579958972918004,0.11023254802691011,0.11810341260032847,0.2435348179073346,0.15060024035761152
LevHAR,0.19232525109488577,0.13842932365417868,0.12544156506836918,0.11605868238901064,0.31406245476809896,0.14126615055970515
LogHAR,0.18025806195625008,0.1264313708383333,0.11267709944166542,0.11754312646540951,0.2795504740987362,0.12069277697833963
NN1_ensemble,0.19004781322058464,0.1356655647901231,0.11655631074385832,0.11598973414324278,0.269697589683407,0.1266138425743598
NN1_top1,0.19168381254968492,0.1417485264545576,0.11721038951105033,0.12590888681622636,0.27243766164146993,0.12510169806911245
NN2_ensemble,0.17696841894070617,0.13658586265633552,0.12050700413268578,0.11617867672092902,0.2917176398508747,0.12272006569397426
NN2_top1,0.14985552064640137,0.24509721345830204,0.12130168005513887,0.14304821041792765,0.3019565703847019,0.12523444110497117
NN3_ensemble,0.19358116848876303,0.1254191169713883,0.12487865555398435,0.11770791649264509,0.2905368060196663,0.1222553806905655
NN3_top1,0.20629373748322324,0.13405679526931677,0.14456149244664804,0.1099231225225379,0.2764548088418285,0.1265507779840149
NN4_ensemble,0.18243407454034566,0.13065021740090266,0.11675567541760398,0.11637539444781464,0.28770583324370785,0.12445541500303403
NN4_top1,0.21435300390319859,0.12469512117334368,0.11317288432823694,0.14485801281678742,0.3281169780260974,0.12026303125740402
P-LA,0.1708082868439225,0.13890686397248755,0.11241187154431491,0.11556669205345098,0.28397790237770437,0.12863860140066963
RF,0.23140933901836583,0.1481087491377113,0.13745477915036364,0.1292618240036226,0.31236199839522744,0.14162692991745615
RR,0.1697853379803879,0.13973310081484988,0.11152618742795756,0.11620966759813962,0.2705369115938176,0.13274226859839763
SHAR,0.17542000503620656,0.13769560416027968,0.11068056666070193,0.11549374681364884,0.5946390001204216,0.1773087825941492
