Model,DM stat,p-value,mean loss diff,ticker,bonferroni_significant,holm_significant,bh_fdr_significant
HAR,,,,AAPL,False,False,False
LogHAR,-5.848868356059145,4.846891853399123e-09,-1.793373770579072e-09,AAPL,True,True,True
LevHAR,-3.185915644234531,0.0007730664846324,-8.490734499680354e-10,AAPL,True,True,True
SHAR,1.2638084476995173,0.8965145047346637,4.0626788482399507e-11,AAPL,False,False,False
HARQ,0.5659592550092435,0.7141443436734352,1.3560244143346082e-10,AAPL,False,False,False
HAR-X,1.1262355754494584,0.8696587495584972,6.588182537007532e-10,AAPL,False,False,False
RR,0.7604387083102752,0.7762992292331412,4.237356469851887e-10,AAPL,False,False,False
LA,0.324897026822793,0.627292934827101,1.1262907746990084e-10,AAPL,False,False,False
EN,0.4598541202097641,0.677075445250245,1.6430161415646215e-10,AAPL,False,False,False
P-LA,-1.302401219731525,0.0967318365460413,-4.2433560532619885e-10,AAPL,False,False,False
A-LA,4.2231085023585,0.999985338681504,3.4250564732767502e-09,AAPL,False,False,False
BG,1.549576464339357,0.9390172870410411,3.3898273868497657e-08,AAPL,False,False,False
RF,1.689012460803696,0.9540356337170453,1.0942829786079349e-08,AAPL,False,False,False
GB,1.1797279595052426,0.8806256066734937,9.002657585952445e-09,AAPL,False,False,False
NN1_ensemble,0.7064752172166578,0.7598658527185042,3.6166729442200734e-10,AAPL,False,False,False
NN1_top1,1.707397586778999,0.955771582210178,1.2085987926732702e-09,AAPL,False,False,False
NN2_ensemble,0.0802213948535204,0.531951092633864,4.891192042280786e-11,AAPL,False,False,False
NN2_top1,-0.1528934196356838,0.4392763670939734,-9.560761088285533e-11,AAPL,False,False,False
NN3_ensemble,-0.7246121407802482,0.2345384505204193,-3.969983306841965e-10,AAPL,False,False,False
NN3_top1,1.0715888984395168,0.8577525925624434,8.48781149640534e-10,AAPL,False,False,False
NN4_ensemble,-2.074279159688941,0.019318496223876,-1.0010008592150915e-09,AAPL,False,False,False
NN4_top1,-0.7133271841652015,0.238011602980848,-4.408761508654033e-10,AAPL,False,False,False
HAR,,,,AMZN,False,False,False
LogHAR,2.473521182561257,0.9931214310746008,1.0899460333135882e-09,AMZN,False,False,False
LevHAR,-0.88491459146926,0.1883441091737069,-2.592564939664551e-10,AMZN,False,False,False
SHAR,-0.4347834803918565,0.3319668640567113,-1.9708597801623404e-11,AMZN,False,False,False
HARQ,2.500464258596614,0.9936162443406228,8.219209237540786e-10,AMZN,False,False,False
HAR-X,1.3854371103450478,0.9166880269288716,7.208067167959318e-10,AMZN,False,False,False
RR,0.8526573994784491,0.802842338219157,5.802647765891422e-10,AMZN,False,False,False
LA,-1.112906422137827,0.1331795150973728,-5.06750385233143e-10,AMZN,False,False,False
EN,0.6631136990422343,0.7461967189028582,4.3336987221774796e-10,AMZN,False,False,False
P-LA,0.8697190992226449,0.8075348540133499,5.882886252421134e-10,AMZN,False,False,False
A-LA,2.305341123531524,0.9891929940590424,2.0948164998674502e-09,AMZN,False,False,False
BG,3.043326143291922,0.9987596881300193,2.9193019393545253e-08,AMZN,False,False,False
RF,2.610277637049745,0.9953215206176912,1.4725918826434682e-08,AMZN,False,False,False
GB,2.7445544901380767,0.996845806368621,1.5665381643428326e-08,AMZN,False,False,False
NN1_ensemble,2.037374562099397,0.9788934553230848,1.358372536000599e-09,AMZN,False,False,False
NN1_top1,2.742211215898183,0.9968236046842658,1.981094787942939e-09,AMZN,False,False,False
NN2_ensemble,1.0278873146999523,0.8477149322708968,6.587032558115642e-10,AMZN,False,False,False
NN2_top1,2.927952802920822,0.9982050517113736,1.6688823679840524e-09,AMZN,False,False,False
NN3_ensemble,1.3405331710712252,0.90961652879029,1.251691616535764e-09,AMZN,False,False,False
NN3_top1,3.3038489845856804,0.9994840260247272,2.2555393784887075e-09,AMZN,False,False,False
NN4_ensemble,1.88995267850191,0.9702878431941296,1.856424048285511e-09,AMZN,False,False,False
NN4_top1,1.7986989650919596,0.9636226780485876,3.41994838194455e-09,AMZN,False,False,False
HAR,,,,JPM,False,False,False
LogHAR,-5.394779752150956,5.6262810763393266e-08,-1.8242400046509106e-09,JPM,True,True,True
LevHAR,0.9419258871161348,0.8266250980343843,5.545571038315481e-10,JPM,False,False,False
SHAR,-0.3132904998122691,0.3771045490780186,-6.058271451873795e-11,JPM,False,False,False
HARQ,1.5288729742344498,0.9364911125113335,2.351208657188776e-09,JPM,False,False,False
HAR-X,1.757606925711629,0.9602435259934692,2.439957459190951e-09,JPM,False,False,False
RR,1.8770075415416545,0.9694092286103508,2.375757087508761e-09,JPM,False,False,False
LA,-0.2670996179268891,0.394759088010327,-1.196540779953158e-10,JPM,False,False,False
EN,0.1309333094121264,0.5520559098134723,6.075167751877276e-11,JPM,False,False,False
