,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB
AAPL,1.0,0.835294786427927,0.9922129319267259,1.0016796757370616,1.1389808582970995,1.457476657923018,1.3530616212641826,1.1772240781359458,1.1875255698671754,0.9655365473940629,1.3886916239883633,5.962629258071083,2.6892898528215117,1.4021035664551411
AMZN,1.0,0.8168892090206387,0.893106886548516,1.008171045569245,0.9224343437101276,1.0397480842947335,1.0497121472994988,1.1506501580879291,1.1439899412214138,1.0000000000000162,1.9699531103201036,1.8768155788719156,1.3163813777731872,1.0835538778057594
JPM,1.0,0.8033269272266206,1.34309554843455,0.997478010672474,2.3728121531547974,4.918995176130355,4.117903674217538,3.81681256488394,4.7854269505463325,2.7507592660258675,1.3948101340531225,21.32886819951918,11.813866133359248,19.377660827728995
