ticker,COMB_AVG,COMB_BG,COMB_MSE
AAPL,6.762558352992706e-09,1.631119744690775e-08,1.1810594115040124e-08
AMZN,8.316280545368347e-09,1.9830569369793017e-08,1.6214721515940716e-08
JPM,6.751668664146169e-09,2.602652774033823e-08,1.5967609156988596e-08
