Model,DM stat,p-value,mean loss diff,ticker,bonferroni_significant,holm_significant,bh_fdr_significant
HAR,,,,AAPL,False,False,False
LogHAR,-1.891463292402656,0.0296087664824541,-0.0069767666611668,AAPL,False,False,False
LevHAR,0.8352535137619748,0.7979863711654535,0.0051838379057876,AAPL,False,False,False
SHAR,0.0972901394014465,0.5387299067736815,0.0001820237902445,AAPL,False,False,False
HARQ,-2.7399771547140714,0.0031968318793609,-0.0039885466156011,AAPL,False,False,False
HAR-X,3.883085273937893,0.9999405342488726,0.1961110398486001,AAPL,False,False,False
RR,3.548255326038123,0.9997853001390004,0.1715947847408487,AAPL,False,False,False
LA,-0.176110468256828,0.4301439988916433,-0.0015061189144933,AAPL,False,False,False
EN,1.9354868870136817,0.9732152601216946,0.0797260656724412,AAPL,False,False,False
P-LA,-1.213062656825051,0.1128776142546075,-0.0096345109168386,AAPL,False,False,False
A-LA,8.671001518760706,1.0,0.1840514877849231,AAPL,False,False,False
BG,0.4232272727207125,0.6638321163691996,0.0032708847012404,AAPL,False,False,False
RF,-0.020804291057745,0.4917055920874608,-0.0001429743569681,AAPL,False,False,False
GB,-1.5669936490262946,0.0589167056441264,-0.0078313536262384,AAPL,False,False,False
NN1_ensemble,1.4390648514247706,0.9245792402731512,0.0562580277915038,AAPL,False,False,False
NN1_top1,2.0067760096474183,0.977308291686563,0.0797819268376318,AAPL,False,False,False
NN2_ensemble,1.4619004641740465,0.9277596547916124,0.0563584524037784,AAPL,False,False,False
NN2_top1,3.294681881921373,0.9994676016567108,0.0469664338923127,AAPL,False,False,False
NN3_ensemble,0.9413855327901016,0.8264886491914373,0.0143236191057142,AAPL,False,False,False
NN3_top1,2.7015290494586472,0.9964159096524156,0.2294858833905325,AAPL,False,False,False
NN4_ensemble,-0.2964656710494913,0.3835070235876877,-0.0021792668361672,AAPL,False,False,False
NN4_top1,1.8202465398166772,0.9653004242211048,0.0191298647975963,AAPL,False,False,False
HAR,,,,AMZN,False,False,False
LogHAR,0.3005793175202391,0.6180615229504429,0.0003933157398385,AMZN,False,False,False
LevHAR,1.1943278359826366,0.8835041325100932,0.0068152627926716,AMZN,False,False,False
