,ticker,model,loss,se,ci_low,ci_high
0,AAPL,HAR,5.368367660828404e-09,6.828593584583591e-10,4.186850591154577e-09,6.84714372404442e-09
1,AAPL,LogHAR,3.5749938902493317e-09,5.630159594834657e-10,2.569185265205371e-09,4.765272532537475e-09
2,AAPL,LevHAR,4.519294210860369e-09,6.20841536107833e-10,3.4917635430294195e-09,5.907446665250862e-09
3,AAPL,SHAR,5.4089944493108036e-09,7.032320826781051e-10,4.201575955368983e-09,6.939609349611318e-09
4,AAPL,HARQ,5.5039701022618654e-09,8.479640819609565e-10,4.097712760105184e-09,7.373263124288008e-09
5,AAPL,HAR-X,6.027185914529157e-09,1.0739988104753363e-09,4.141281665070569e-09,8.351295726175093e-09
6,AAPL,RR,5.7921033078135924e-09,1.0203599107685298e-09,3.9984142885550085e-09,8.000404551164695e-09
7,AAPL,LA,5.480996738298306e-09,5.570435921450644e-10,4.459700947745833e-09,6.6475988487957314e-09
8,AAPL,EN,5.5326692749848666e-09,5.483032753906938e-10,4.5245984814226494e-09,6.684459399299939e-09
9,AAPL,P-LA,4.944032055502205e-09,7.84659414387138e-10,3.587291698181053e-09,6.6470180081061366e-09
10,AAPL,A-LA,8.793424134105154e-09,6.690912188972024e-10,7.504281149959094e-09,1.0124980806031209e-08
11,AAPL,BG,3.926664152932606e-08,2.2950035226070217e-08,8.1295002722002e-09,9.226215392705307e-08
12,AAPL,RF,1.631119744690775e-08,6.757665511019666e-09,6.762450820999003e-09,3.1779244724093025e-08
13,AAPL,GB,1.4371025246780845e-08,8.011415534051788e-09,3.5340207328621553e-09,3.2837141085707704e-08
14,AAPL,NN1_ensemble,5.730034955250411e-09,7.540121809808062e-10,4.329904590897965e-09,7.297675421994511e-09
15,AAPL,NN1_top1,6.576966453501673e-09,8.525052593455564e-10,5.026498758431396e-09,8.360570424966043e-09
16,AAPL,NN2_ensemble,5.4172795812512115e-09,6.895875984662633e-10,4.143315265380052e-09,6.844828957020927e-09
17,AAPL,NN2_top1,5.272760049945548e-09,7.81100267974932e-10,3.832780423419871e-09,6.90699114820862e-09
18,AAPL,NN3_ensemble,4.9713693301442074e-09,6.520990314459444e-10,3.746784489182245e-09,6.314975672135179e-09
19,AAPL,NN3_top1,6.217148810468938e-09,8.450873171605957e-10,4.628061722694614e-09,7.977545714208178e-09
