,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN1_top1,NN2_ensemble,NN2_top1,NN3_ensemble,NN3_top1,NN4_ensemble,NN4_top1
AAPL,0.14630165755959545,0.13932489089842856,0.15148549546538315,0.14648368134984002,0.14231311094399426,0.3424126974081955,0.31789644230044417,0.14479553864510214,0.22602772323203676,0.1366671466427568,0.33035314534451854,0.14957254226083588,0.14615868320262732,0.13847030393335705,0.20255968535109925,0.22608358439722728,0.20266010996337386,0.19326809145190818,0.1606252766653097,0.37578754095012806,0.14412239072342817,0.1654315223571918
AMZN,0.11427819428925448,0.11467151002909305,0.1210934570819261,0.11286385419019378,0.11470111457070896,0.4475299240797718,0.46713684941746736,0.21141332164675022,0.504186762212737,0.45717279404852895,0.19423675549795227,0.12529572979604356,0.11666015927614941,0.2592432785030986,0.1173257091907809,0.11893718601997512,0.12714004011296254,0.28716791363970445,0.12364434580342132,0.18950019714052382,0.13986625067157132,0.24460846264448194
JPM,0.15394758478517942,0.143309866825443,0.16633722301700668,0.23573060481622476,0.20387188438148124,0.3916252308678841,0.3656347623792961,0.15470016075304494,0.1555669974999089,0.15024716539582367,0.33913603512635004,0.1478124034124822,0.14683491290611703,0.13658660998659444,0.1821789939256821,0.19410678103824217,0.15634063262659442,0.3924623438904391,0.15210089263568652,0.2067150689517486,0.14651694536968507,0.1788203659231963
