model,alpha,alpha_se,beta,beta_se,"Wald(α=0,β=1)",p-value,R²,bias_comp,regr_comp,disturb_comp,ticker
P-LA,2.6621227495395783e-05,1.8193297558179658e-05,1.0059800723079513,0.07991168868860707,30.088229166703634,2.927008956321586e-07,0.48504629722322967,7.979554090464066e-10,1.7710520556322209e-12,5.320864544337578e-08,AMZN
A-LA,0.0003002978207284363,336.0282678879988,5.0918283724909935e-08,2661789.337409843,74.1335321802604,1.1102230246251565e-16,0.0,1.7092567020984302e-08,0.0,1.0332704698783659e-07,AMZN
BG,8.399135415459389e-05,1.9506841262589365e-05,0.6453640642612268,0.08284841996477393,18.821906744342186,8.182290247626955e-05,0.3767643923730555,1.2160468644852074e-09,1.1755464475727033e-08,6.439709491376218e-08,AMZN
RF,4.492576998341251e-05,1.9444023663329097e-05,0.7023548607038723,0.0796767242856472,42.30823228947759,6.499561999717685e-10,0.4032658747836504,4.006413536563907e-09,7.48324380942842e-09,6.165877499547531e-08,AMZN
GB,0.00010484404362417975,1.5796574271653152e-05,0.5365027607201747,0.07141093957002441,44.790476607886355,1.8787615907456257e-10,0.34237944078677074,4.097668947555998e-09,2.640414306672028e-08,6.79499904219927e-08,AMZN
NN1_ensemble,-1.2861071088984572e-06,2.40995795739335e-05,1.1151368827392694,0.10665394932538907,4.77886378290005,0.09168175427376535,0.31907214930051775,8.91151682164401e-10,3.5145966376353073e-10,7.035826402455198e-08,AMZN
NN2_ensemble,9.894561816896362e-05,3.544724025012968e-05,0.8644293278581653,0.11473310777897482,17.43669113912288,0.00016355756181396508,0.18259789656177927,4.538317219954352e-09,4.640687246670728e-10,8.445974554991748e-08,AMZN
NN3_ensemble,0.00011205488300642101,3.0129802035579964e-05,0.8468884076099203,0.10011970675438113,24.15646444098597,5.681858258776984e-06,0.1954344631255336,6.0874097879525e-09,6.600531955679554e-10,8.313338103342196e-08,AMZN
NN4_ensemble,6.127736691513959e-05,2.2741167292092368e-05,0.9420882533479414,0.11503707838762696,32.89765368905074,7.183982531078215e-08,0.3857913144492391,2.170104253634104e-09,1.5063178189334874e-10,6.346436971224082e-08,AMZN
HAR,-1.7938768662037696e-05,1.900793940005204e-05,1.2700708494241633,0.14452412344920318,13.764698862871752,0.0010257313266026635,0.608276180456103,1.0953466748724557e-09,6.5044609776828205e-09,9.263838144781792e-08,JPM
LogHAR,-9.222107883303039e-05,4.0790252380699944e-05,1.7619976462595597,0.2903087943024215,14.275420440378348,0.0007945694040349949,0.6036669052620824,1.9092934883608363e-09,2.6699612426899007e-08,9.37284244125751e-08,JPM
LevHAR,-4.3191143866541707e-05,2.2570971436252226e-05,1.440062069645055,0.16971449007922554,15.918124736331272,0.00034948064806539225,0.6074270756759625,1.4339122138044013e-09,1.3414379092991047e-08,9.28391854035318e-08,JPM
SHAR,-1.1667580196453106e-05,2.0373586264286666e-05,1.2377410723024966,0.1592933959300891,10.607535761506757,0.0049728215644826435,0.5465117500145776,1.1040213555718693e-09,4.7682532256559684e-09,1.072449909560457e-07,JPM
HARQ,-4.399036692478383e-05,3.069632100573244e-05,1.428712464210801,0.2137433817940418,15.567851911773069,0.0004163742944797155,0.6381996137549253,1.2848196804100458e-09,1.3589706220867875e-08,8.556181808898937e-08,JPM
HAR-X,-0.00011593669850491759,2.818881177884502e-05,1.6414769380720937,0.17652304199879212,18.226026380642708,0.00011022209411037931,0.5651544868746228,2.608716689652338e-10,2.041130076100556e-08,1.0283618842143595e-07,JPM
RR,-0.00013348288729812485,2.9350804473345973e-05,1.7318834078248064,0.18132061466521096,23.49161140430444,7.922484497546733e-06,0.6006583764925602,2.8120416395186033e-10,2.5367929154248753e-08,9.443990842718578e-08,JPM
LA,-0.00014920204157451976,2.655642350662341e-05,1.9602205348473165,0.17771015850412836,31.87113060271178,1.200250577815254e-07,0.6249816145568228,1.066933554625113e-09,3.546584645677635e-08,8.868772974051105e-08,JPM
EN,-0.00015171367783713225,2.671574707098559e-05,1.9872342420517513,0.17975786244261488,32.419796598607746,9.122851729603809e-08,0.6248782769029168,1.154280121758119e-09,3.647108657104236e-08,8.871216796081536e-08,JPM
P-LA,-0.00011488692420765505,2.4314473868972078e-05,1.5927029153398624,0.14888729516466748,30.758883785343272,2.0931157773684816e-07,0.6261972722276326,1.1035262464272209e-10,2.0508161384270065e-08,8.840024005160323e-08,JPM
A-LA,0.00022206417655300353,2248.446832944053,2.3967056999781496e-08,23029137.85811774,1.8855785560919302e-15,0.9999999999999991,0.0,1.3026949633596816e-08,0.0,2.3648901809361814e-07,JPM
BG,-0.00016619892811943162,9.314920412417579e-05,1.7155741440096095,0.4947940183643832,19.177808650379006,6.848441716689191e-05,0.39987201381813575,1.808407437036079e-11,1.6452135699049992e-08,1.4192367818264962e-07,JPM
RF,-0.0001903783951788911,9.933497856883281e-05,1.9376815918443302,0.5633081985248974,14.364916109682355,0.0007597979199512883,0.36333037509956445,8.483408511401602e-11,2.012142058059355e-08,1.5056537444273619e-07,JPM
GB,-0.00014276565948157297,8.263409072170067e-05,1.764078260218979,0.48477593447002637,7.282955297429609,0.026213580869539177,0.4519647199726019,2.3267591042244002e-10,2.0051898796369187e-08,1.2960432525434045e-07,JPM
NN1_ensemble,1.9580719894106992e-05,0.00013219646577344404,1.5515165877614598,1.1524520080634764,12.121374708186972,0.002332796878847354,0.026510572992530013,8.38275435593479e-09,7.921992092562247e-10,2.302195587175155e-07,JPM
NN2_ensemble,-0.0002798326570093455,0.00020325915011817021,3.461516976025888,1.5286794586720116,8.728439034444087,0.012724582618236835,0.209275719329597,5.93991743724675e-09,2.502664079859707e-08,1.869976087185261e-07,JPM
NN3_ensemble,-0.0004987143445731506,0.00022461749373594653,4.85836574575599,1.6188323642830362,10.419510057688512,0.005463011804049622,0.33782204507806346,5.432567515694399e-09,5.0387793305018594e-08,1.565978143627289e-07,JPM
NN4_ensemble,-0.0001630901063181679,0.0001656131114915741,2.7890694519114523,1.353291405973185,10.638220458123566,0.004897109092664387,0.12453448311190818,7.0509591578701164e-09,1.211815053743651e-08,2.0703798046368673e-07,JPM
