,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN1_top1,NN2_ensemble,NN2_top1,NN3_ensemble,NN3_top1,NN4_ensemble,NN4_top1
HAR,1.0,0.9694125209727922,0.9670405391887382,0.9807736194096246,0.9768354356002146,0.8502494310351599,0.846080563836888,0.9257054572304869,0.874843482209931,0.9175961674601439,0.6788100972929026,0.801320818380877,0.8540525014348554,0.9003186765837236,0.8866571757375609,0.8596055087674643,0.8846141441502032,0.7695047335577936,0.8640684755235024,0.7547233188831095,0.842206893668766,0.7591998203945128
LogHAR,0.9694125209727922,1.0,0.9464647359571756,0.9613484084439989,0.9379774131025767,0.8198347121246394,0.8199968823582205,0.8998789424977827,0.8475635815842686,0.8819661376842486,0.6675720825978988,0.812116987709966,0.872589585515042,0.9169058169831921,0.8776064936877601,0.8855049625240443,0.896499357380305,0.767034440091818,0.8690707428769232,0.7661814103620079,0.8371663027902994,0.7457376266758111
LevHAR,0.9670405391887382,0.9464647359571756,1.0,0.9461689486403463,0.9527431459312017,0.8279100871092144,0.8264249860130372,0.8947851788084304,0.8477541836755436,0.8926053725657869,0.6269519200355381,0.7805230601282946,0.8323297802211679,0.8708742649143069,0.862267242557014,0.8359816868642169,0.8591098012439452,0.7436193406545084,0.8361982358153122,0.7307311540929758,0.810555528304024,0.7287746777839433
SHAR,0.9807736194096246,0.9613484084439989,0.9461689486403463,1.0,0.9473897600726914,0.8344718431785564,0.830410773097035,0.9145994142078685,0.8655874709744691,0.8995306699232216,0.683342419832442,0.7919654976639064,0.8459788562384107,0.897987851613026,0.8703758047498731,0.8534138186801276,0.8744175758642184,0.7622083282450263,0.8542376545424962,0.7427295170482352,0.8327822785863336,0.7472068310857228
HARQ,0.9768354356002146,0.9379774131025767,0.9527431459312017,0.9473897600726914,1.0,0.8337324394053879,0.8249386993332574,0.8689070031752331,0.8166058571910613,0.8877123882521805,0.567976080616067,0.7852051110146974,0.8281602889327602,0.8538309291075719,0.8486134391724152,0.8244030959698839,0.8419422062916702,0.7269067782053106,0.8186945877129844,0.7112564859324204,0.7779769653019998,0.7175720909484047
HAR-X,0.8502494310351599,0.8198347121246394,0.8279100871092144,0.8344718431785564,0.8337324394053879,1.0,0.9951923831357384,0.8899859123795673,0.8831971156718831,0.9194174529576623,0.5428900161861255,0.7503460174043701,0.8160297756767144,0.8382876581281434,0.9258955000692656,0.8803557099851005,0.892327578302862,0.8342468670963716,0.8751648895153781,0.7882171415814211,0.8364204758044149,0.7610552339784138
RR,0.846080563836888,0.8199968823582205,0.8264249860130372,0.830410773097035,0.8249386993332574,0.9951923831357384,1.0,0.8991528340859674,0.8990220085426421,0.9266437264434537,0.5465412857794215,0.7508917379610202,0.8162200212400895,0.841708538842088,0.9325700181360087,0.8776505990930822,0.8978920736172181,0.8442312715241929,0.8847324976438132,0.7987041004443776,0.8499046888003832,0.7742835951561972
LA,0.9257054572304869,0.8998789424977827,0.8947851788084304,0.9145994142078685,0.8689070031752331,0.8899859123795673,0.8991528340859674,1.0,0.9865046266964845,0.9765374660627898,0.7313498347883304,0.7901510866164234,0.8517340403115833,0.9078222080600001,0.9373164491934979,0.8770700498173275,0.9234720373077127,0.8621354306261375,0.9188131395184191,0.8165474255528431,0.9314311389723934,0.7972309277429609
EN,0.874843482209931,0.8475635815842686,0.8477541836755436,0.8655874709744691,0.8166058571910613,0.8831971156718831,0.8990220085426421,0.9865046266964845,1.0,0.9714473253256847,0.6882070923043523,0.7604775156030477,0.8194132290028975,0.8718313947513242,0.9214741149483068,0.8487451896193359,0.9050978303662174,0.8662999087925498,0.9128781700513344,0.8170671138285681,0.928710173972582,0.791114340496443
P-LA,0.9175961674601439,0.8819661376842486,0.8926053725657869,0.8995306699232216,0.8877123882521805,0.9194174529576623,0.9266437264434537,0.9765374660627898,0.9714473253256847,1.0,0.6411280861353793,0.7763589447227213,0.831842983627684,0.8742465047404274,0.9294836925285398,0.846212014276035,0.9071872540244027,0.858948330863208,0.9014805791005103,0.799753817827578,0.8937291084574914,0.7746835733681556
A-LA,0.6788100972929026,0.6675720825978988,0.6269519200355381,0.683342419832442,0.567976080616067,0.5428900161861255,0.5465412857794215,0.7313498347883304,0.6882070923043523,0.6411280861353793,1.0,0.4920584918862383,0.5667699025018522,0.6537593226017755,0.6513085317456648,0.5831105990432668,0.6421141109274828,0.600606915719012,0.614519791349074,0.5429853388434871,0.6593173753030777,0.54118777924691
BG,0.801320818380877,0.812116987709966,0.7805230601282946,0.7919654976639064,0.7852051110146974,0.7503460174043701,0.7508917379610202,0.7901510866164234,0.7604775156030477,0.7763589447227213,0.4920584918862383,1.0,0.9673318224811097,0.867001493877628,0.8045323318968467,0.8008936319808726,0.8344765745609809,0.7412278913719152,0.8410111306413829,0.7547610237121138,0.8178757766554583,0.771106738308018
RF,0.8540525014348554,0.872589585515042,0.8323297802211679,0.8459788562384107,0.8281602889327602,0.8160297756767144,0.8162200212400895,0.8517340403115833,0.8194132290028975,0.831842983627684,0.5667699025018522,0.9673318224811097,1.0,0.9174196545193009,0.8736836527861064,0.8751105880585598,0.9022061092345824,0.807702822457288,0.8962968573511747,0.8146660165805925,0.8724536745784087,0.8046575831017511
