,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB
AAPL,4.876088741731789e-09,3.603803211251371e-09,4.150549619434169e-09,4.92227444356321e-09,5.1829032650838665e-09,5.7881880873327164e-09,5.483360727417962e-09,5.20429069177629e-09,5.20429069177629e-09,4.60947280355708e-09,8.100840541648714e-09,3.425563159848617e-08,1.5335469818007688e-08,1.8274824916666285e-08
AMZN,5.731576279833794e-09,6.498918576544161e-09,5.405351505647119e-09,5.744619390660457e-09,6.53306364103913e-09,7.920127047337464e-09,7.920126957611791e-09,5.977765439023735e-09,7.642020739064883e-09,7.930985643224398e-09,9.894822344587912e-09,3.559563438457879e-08,1.9645392972498787e-08,2.1789323225764034e-08
JPM,4.755464785843084e-09,3.1395017175397365e-09,5.4988628059766416e-09,4.711148957159362e-09,7.282620285263417e-09,8.73201936112883e-09,7.934983694949918e-09,5.30970608795099e-09,5.23251847308015e-09,3.7745609069951866e-09,8.088623908475838e-09,6.167252699370132e-08,2.4777800864799785e-08,1.0497560494453264e-08
